Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
SEAS;Consultoria em informática;012/2021;137295;11/2022;23.135,08;1198 dias;0,00;Suspenso;TramitarReverter Status
SEAS;Desenvolvimento de Sistemas de Informação;012/2021;137294;11/2022;23.135,08;1198 dias;0,00;Suspenso;TramitarReverter Status
SEAS;Consultoria em informática;012/2021;137999;12/2022;23.135,08;1169 dias;0,00;Suspenso;TramitarReverter Status
SEAS;Desenvolvimento de Sistemas de Informação;012/2021;137998;12/2022;23.135,08;1169 dias;0,00;Suspenso;TramitarReverter Status
SEAS;Acesso Gerenciado à Rede Mundial;005/2019;143136;08/2023;330,28;947 dias;0,00;Suspenso;TramitarReverter Status
SEAS;Consultoria em informática;012/2021;143825;08/2023;2.744,84;924 dias;0,00;Suspenso;TramitarReverter Status
SEAS;Acesso Gerenciado à Rede Mundial;005/2019;144773;10/2023;9.908,36;874 dias;0,00;Suspenso;TramitarReverter Status
SEAS;Fornecimento de circuito de transmissão de dados;005/2019;144772;10/2023;1.977,04;869 dias;0,00;Suspenso;TramitarReverter Status
SEAS;Acesso à MetroMao;005/2019;144771;10/2023;2.582,09;869 dias;0,00;Suspenso;TramitarReverter Status
SEAS;Suporte Técnico em Sistemas de Informação;012/2021;144777;10/2023;6.862,10;869 dias;0,00;Suspenso;TramitarReverter Status
SEAS;Acesso a Armazém de Informações;012/2021;144779;10/2023;6.321,85;869 dias;0,00;Suspenso;TramitarReverter Status
SEAS;Hospedagem de Sistemas;012/2021;144778;10/2023;12.448,25;869 dias;0,00;Suspenso;TramitarReverter Status
SEAS;Fornecimento de circuito de transmissão de dados;005/2019;145442;11/2023;1.977,04;847 dias;0,00;Suspenso;TramitarReverter Status
SEAS;Acesso à MetroMao;005/2019;145441;11/2023;2.582,09;847 dias;0,00;Suspenso;TramitarReverter Status
SEAS;Suporte Técnico em Sistemas de Informação;012/2021;145447;11/2023;6.862,10;847 dias;0,00;Suspenso;TramitarReverter Status
SEAS;Hospedagem de Sistemas;012/2021;145448;11/2023;12.448,25;847 dias;0,00;Suspenso;TramitarReverter Status
SEAS;Acesso a Armazém de Informações;012/2021;145449;11/2023;6.321,85;847 dias;0,00;Suspenso;TramitarReverter Status
SEAS;Acesso Gerenciado à Rede Mundial;005/2019;145443;11/2023;9.908,36;847 dias;0,00;Suspenso;TramitarReverter Status
SEAS;Instalação e Configuração de Softwares;003/2021;146024;11/2023;3.869,10;833 dias;0,00;Suspenso;TramitarReverter Status
SEAS;Acesso Gerenciado à Rede Mundial;005/2019;146200;12/2023;9.908,36;818 dias;0,00;Suspenso;TramitarReverter Status
SEAS;Fornecimento de circuito de transmissão de dados;005/2019;146199;12/2023;1.977,04;815 dias;0,00;Suspenso;TramitarReverter Status
SEAS;Acesso à MetroMao;005/2019;146198;12/2023;2.582,09;815 dias;0,00;Suspenso;TramitarReverter Status
SEAS;Hospedagem de Sistemas;012/2021;146205;12/2023;12.448,25;815 dias;0,00;Suspenso;TramitarReverter Status
SEAS;Suporte Técnico em Sistemas de Informação;012/2021;146204;12/2023;6.862,10;815 dias;0,00;Suspenso;TramitarReverter Status
SEAS;Acesso a Armazém de Informações;012/2021;146206;12/2023;6.321,85;815 dias;0,00;Suspenso;TramitarReverter Status
