numero;contrato;data_emissao;valor;situacao;descricao
2020NE00468;;31/12/2020;61,75;Ativo;ANULAÇÃO saldo remanescente 4º TAC nº 003/2016-SEAS -Prestação dos Serviços de Licença de Uso de Sistema de Informação SPROWEB, em cumprimento a Comunicação 14 de 16/11/2020/SEFAZ/AM.
2024NE0000771;12/2021;31/10/2024;71837,72;Ativo;Contrato de prestação de serviços de processamento de dados para a geração de relação de benefícios e gestão das entregas do cartão emergencial a famílias com vulnerabilidade social. TC: 0012/2021 AD:
2022NE0000744;1/2021;31/10/2022;4196,7;Ativo;1º Termo Aditivo ao Contrato nº 001/2021-SEAS. Objeto: Serviços de Licença de Uso de Sistema de Informática compreendendo a disponibilização de gestor de conteúdo web para a publicação de informações,
2022NE0000744;1/2021;31/10/2022;4196,7;Ativo;1º Termo Aditivo ao Contrato nº 001/2021-SEAS. Objeto: Serviços de Licença de Uso de Sistema de Informática compreendendo a disponibilização de gestor de conteúdo web para a publicação de informações,
2016NE00705;3/2014;31/10/2016;9997,25;Ativo;2º Termo Aditivo ao Termo de Contrato 03/2014 Objeto: Reequilibrio econômico-financeiro de 10,96% mais prorrogação de prazo Vigência:12 (doze) meses Valor Global: R$ 119.967,00 Valor Mensal: R$ 9.997,
2016NE00712;1/2016;31/10/2016;3984,0;Ativo;Termo de Contrato n. 001/2016-SEAS. Objeto: Contratação, por dispensa de licitação, de pessoa jurídica especializada em Serviços Técnicos em Informática, para atender as necessidades desta Secretaria 
2016NE00706;2/2016;31/10/2016;454,46;Ativo;Termo de Contrato nº 02/2016 Objeto: Contratação, por dispensa de licitação, compreendendo o desenvolvimento de Website de transparência a esta Secretaria e hospedagem para armazenamento de dados. Val
2016NE00713;;31/10/2016;9997,25;Ativo;Anulação da NE 0705/2016, em virtude de descrição incorreta
2016NE00711;;31/10/2016;3984,0;Ativo;Anulação da NE 0707/2016, em virtude do valor na descrição estar incorreto
2016NE00714;3/2014;31/10/2016;9997,25;Ativo;2º Termo Aditivo ao Termo de Contrato 03/2014 Objeto: Reequilibrio econômico-financeiro de 10,96% mais prorrogação de prazo Vigência:12 (doze) meses Valor Global: R$ 119.967,00 Valor Mensal: R$ 9.997,
2016NE00707;1/2016;31/10/2016;3984,0;Ativo;Termo de Contrato n. 001/2016-SEAS. Objeto: Contratação, por dispensa de licitação, de pessoa jurídica especializada em Serviços Técnicos em Informática, para atender as necessidades desta Secretaria 
2016NE00704;3/2016;31/10/2016;1500,0;Ativo;Termo de Contrato n. 003/2016-SEAS Objeto: Contratação, por dispensa de licitação, de pessoa jurídica especializada em Licença de uso de Sistema de Informação, para atender as necessidades da Secretar
2025NE0000630;5/2024;31/07/2025;30448,02;Ativo;Contratação de empresa prestadora de serviços de tecnologia da informação, para atender as necessidades desta SEAS. TC: 0005/2024 AD: 01.
2020NE00226;5/2019;31/07/2020;66294,0;Ativo;Prestação de Serviços de Acesso à Internet por Fibra Ótica com garantia de 100% em download e upload para atender as necessidades da SEAS e suas Unidades.
2019NE00201;5/2019;31/07/2019;19888,2;Ativo;Termo de Contrato nº 005/2019 - SEAS. Objeto: Contratação de Pessoa Jurídica Especializada no Serviços de Acesso a Internet por Fibra Ótica com com garantia de 100% em download e upload, para atender 
2022NE0000413;16/2017;31/05/2022;50845,92;Ativo;Reforço 2022NE000038 - 4º Termo Aditivo ao Contrato nº 016/2017 - SEAS. Objeto do Contrato: Serviço de Desenvolvimento e Hospedagem de Sistemas de Informações para Implantação das Plataformas Eletrôni
2023NE0000047;5/2019;31/01/2023;57869,96;Ativo;Contratação de Serviços de rede, contemplando o fornecimento de circuito de transmissão de dados, contemplando manutenção à metromao, através de rede de governo, por meio de fibra ótica, para atender 
2022NE0000043;;31/01/2022;3503,52;Ativo;Anulação que se faz a NE 000041/2022, por erro de digitação na data.
2022NE0000044;1/2021;31/01/2022;3503,52;Ativo;Contratação de Empresa Especializada na Prestação dos Serviços de Licença de Uso de Sistema de Informação SPROWEB, para atender as necessidades da SEAS, pelo período de 12 meses.
2023NE0000855;5/2019;30/10/2023;964,49;Ativo;Contratação de Serviços de rede, contemplando o fornecimento de circuito de transmissão de dados, contemplando manutenção à metromao, através de rede de governo, por meio de fibra ótica, para atender 
2023NE0000856;7/2021;30/10/2023;909,29;Ativo;Serviços de Licença de Uso de Sistema de Informática compreendendo a disponibilização de gestor de conteúdo web para a publicação de informações, noticias, vídeos e imagens website. TC: 0007/2021 AD: 
2023NE0000858;12/2021;30/10/2023;143806,62;Ativo;Contrato de prestação de serviços de processamento de dados para a geração de relação de benefícios e gestão das entregas do cartão emergencial a famílias com vulnerabilidade social. TC: 0012/2021 AD:
2023NE0000810;;30/09/2023;26801,73;Ativo;Anulação saldo remanescente dos meses de maio a agosto/2023, do CT.03/2021-2ºAD, para ajuste orçamentário
2019NE00292;;30/09/2019;1213,91;Ativo;Anulação de Saldo remanescente 3º Termo Aditivo ao Contrato nº 003/2016 - SEAS. Objeto: Serviços de Licenciamento de Softwares, Licença de Uso de Sistema de Protocolo em Plataforma Web. Trimestre (abr
2019NE00293;;30/09/2019;1741,95;Ativo;Anulação saldo remanescente do CT 03/16 - 3º TA - trimestre janeiro a março 2019- 3º Termo Aditivo ao Contrato nº 003/2016-SEAS. Objeto: Contratação de Empresa Especializada na Prestação dos Serviços 
2016NE00550;3/2014;30/05/2016;9009,78;Ativo;Reconhecimento da Divida - RD nº 0130/2016: Termo de Contrato n. 003/2014-SEAS-Contratação de serviços técnicos especializados em telecomunicações para disponibilização de link de dados dedicado para 
2016NE00553;3/2014;30/05/2016;9009,78;Ativo;Reconhecimento da Divida - RD nº 0134/2016: Termo de Contrato n. 003/2014-SEAS-Contratação de serviços técnicos especializados em telecomunicações para disponibilização de link de dados dedicado para 
2016NE00551;3/2014;30/05/2016;9009,78;Ativo;Reconhecimento da Divida - RD nº 0131/2016: Termo de Contrato n. 003/2014-SEAS-Contratação de serviços técnicos especializados em telecomunicações para disponibilização de link de dados dedicado para 
2016NE00554;3/2014;30/05/2016;9009,78;Ativo;Reconhecimento da Divida - RD nº 0129/2016: Termo de Contrato n. 003/2014-SEAS-Contratação de serviços técnicos especializados em telecomunicações para disponibilização de link de dados dedicado para 
2016NE00549;49/2010;30/05/2016;1978,43;Ativo;Reconhecimento da Divida - RD nº 0041/2016: Termo de Contrato n. 049/2010-SEAS-Contratação de Empresa para Prestação de Serviços de Informática, conforme NFS-e nº 15479, emitida em 29/08/2015. Fundame
