id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
137295;33860;12/2021;11/2022;23135,08;Emitida;COMPLETA;79
137294;33861;12/2021;11/2022;23135,08;Emitida;COMPLETA;79
137999;34559;12/2021;12/2022;23135,08;Emitida;COMPLETA;79
137998;34560;12/2021;12/2022;23135,08;Emitida;COMPLETA;79
144778;41092;12/2021;10/2023;12448,25;Emitida;COMPLETA;79
145448;41534;12/2021;11/2023;12448,25;Emitida;COMPLETA;79
146205;42234;12/2021;12/2023;12448,25;Emitida;FORTE;79
144773;144773;5/2019;10/2023;9908,36;Emitida;FORTE;92
145443;145443;5/2019;11/2023;9908,36;Emitida;FORTE;92
146200;146200;5/2019;12/2023;9908,36;Emitida;FORTE;92
144777;41093;12/2021;10/2023;6862,1;Emitida;COMPLETA;79
145447;41533;12/2021;11/2023;6862,1;Emitida;COMPLETA;79
146204;42235;12/2021;12/2023;6862,1;Emitida;FORTE;79
144779;41094;12/2021;10/2023;6321,85;Emitida;COMPLETA;79
145449;41535;12/2021;11/2023;6321,85;Emitida;COMPLETA;79
146206;42236;12/2021;12/2023;6321,85;Emitida;FORTE;79
146024;41943;3/2021;11/2023;3869,1;Emitida;COMPLETA;105
143825;39982;12/2021;08/2023;2744,84;Emitida;COMPLETA;79
144771;41088;5/2019;10/2023;2582,09;Emitida;COMPLETA;92
145441;41529;5/2019;11/2023;2582,09;Emitida;COMPLETA;92
146198;42230;5/2019;12/2023;2582,09;Emitida;COMPLETA;92
144772;41087;5/2019;10/2023;1977,04;Emitida;COMPLETA;92
145442;41528;5/2019;11/2023;1977,04;Emitida;COMPLETA;92
146199;42229;5/2019;12/2023;1977,04;Emitida;COMPLETA;92
143136;143136;5/2019;08/2023;330,28;Emitida;FORTE;92
