Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
CNB - SEÇÃO AMAZONAS;Execução de sistemas;072/2025;165704;05/2025;6.106,38;57 dias;0,00;Pendente;
SEC;Acesso Gerenciado à Rede Mundial;059/2014;105401;08/2018;16.380,00;2754 dias;0,00;Suspenso;TramitarReverter Status
SEC;Acesso Gerenciado à Rede Mundial;059/2014;106090;09/2018;16.380,00;2725 dias;0,00;Suspenso;TramitarReverter Status
SEC;Acesso Gerenciado à Rede Mundial;059/2014;106659;10/2018;16.380,00;2695 dias;0,00;Suspenso;TramitarReverter Status
SEC;Manutenção corretiva e preventiva em equipamentos de TI;007/2022;146059;11/2023;51.281,37;833 dias;0,00;Suspenso;TramitarReverter Status
SEC;Acesso à MetroMao;007/2019;146746;12/2023;2.406,08;805 dias;0,00;Suspenso;TramitarReverter Status
SEC;Hospedagem de Servidores;010/2019;146747;12/2023;2.248,47;805 dias;0,00;Suspenso;TramitarReverter Status
SEC;Manutenção corretiva e preventiva em equipamentos de TI;007/2022;154799;11/2024;29.555,44;475 dias;0,00;Suspenso;TramitarReverter Status
SECT;Acesso Gerenciado à Rede Mundial;001/2018;142319;06/2023;3.343,21;982 dias;0,00;Suspenso;TramitarReverter Status
SECT;Fornecimento de circuito de transmissão de dados;001/2023;143852;07/2023;95,66;924 dias;0,00;Suspenso;TramitarReverter Status
SECT;Acesso Gerenciado à Rede Mundial;001/2023;143851;07/2023;198,72;924 dias;0,00;Suspenso;TramitarReverter Status
SECT;Acesso Gerenciado à Rede Mundial;001/2023;146211;12/2023;5.962,80;818 dias;0,00;Suspenso;TramitarReverter Status
SECT;Licença de uso de sistemas de informação;008/2022;146208;12/2023;2.455,16;815 dias;0,00;Suspenso;TramitarReverter Status
SECT;Licença de uso de VPN;011/2022;146210;12/2023;321,76;815 dias;0,00;Suspenso;TramitarReverter Status
SECT;Hospedagem de Servidores;011/2022;146209;12/2023;23.499,60;815 dias;0,00;Suspenso;TramitarReverter Status
SECT;Fornecimento de circuito de transmissão de dados;001/2023;146212;12/2023;2.870,24;815 dias;0,00;Suspenso;TramitarReverter Status
