numero;contrato;data_emissao;valor;situacao;descricao
2022NE0000755;2/2021;31/10/2022;2668,77;Ativo;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE INFORMÁTICA DE FORMA EVENTUAL PELO PERÍODO DE DOZE MESES, TERMO DE CONTRATO Nº 002/2021.
2019NE00598;15/2019;31/10/2019;8856,4;Ativo;Contrato a ser firmado, objetivando por força deste Contrato a Contratada obriga-se a prestar a Contratante a prestação dos serviços de licença de uso, compreendendo disponibilização de plataforma de 
2018NE00477;;31/10/2018;23121,18;Ativo;Anulação parcial da Nota de Empenho nº 000203 de 01/03/2018, conforme autorização superior constante nos autos do processo nº 1768/2018, fl. nº 95.
2022NE0000301;7/2019;31/05/2022;4804,0;Ativo;Terceiro Termo Aditivo ao Contrato nº 07/2019-SEC, objetivando a prorrogação e reajuste de 14,77% ao referido Contrato, pelo prazo de 12 (doze) meses, consoante Projeto Básico e DP nº 177/2022 que int
2021NE0000086;1/2017;31/03/2021;14328,4;Ativo;OBS: REFORSO DA NE N.º 2021NE000039, SUPLEMENTAÇÃO ORÇAMENTÁRIA PARA COBERTURA DOS MESES DE MAIO A AGOSTO/2021. 5º TERMO ADITIVO AO CONTRATO Nº 001/2017
2016NE00472;;30/12/2016;5298,2;Ativo;ANULAÇÃO DA NE Nº 283 EM RAZÃO DO FINAL DO EXERCÍCIO DE 2016 CONFORME DECRETO Nº33.421 DE 14/12/2013 E INSTRUÇÃO NORMATIVA Nº 001/2016-SET/SEFAZ DE 14/12/2016.
2016NE00473;;30/12/2016;2125,06;Ativo;ANULAÇÃO DA NE Nº 306 EM RAZÃO DO FINAL DO EXERCÍCIO DE 2016 CONFORME DECRETO Nº33.421 DE 14/12/2013 E INSTRUÇÃO NORMATIVA Nº 001/2016-SET/SEFAZ DE 14/12/2016.
2016NE00460;;30/12/2016;1345,71;Ativo;ANULAÇÃO
2025NE0000965;17/2024;30/10/2025;13630,42;Ativo;Contratação de empresa especializada para prestação de serviço de de licença de uso, compreendendo disponibilização de plataforma de comunicação e colaboração corporativa em plataforma web.
2025NE0000957;8/2024;30/10/2025;1819,33;Ativo;Contratação de serviço de hospedagem de sistema de informação TC: 0008/2024 AD: 01.
2025NE0000956;7/2024;30/10/2025;2329,22;Ativo;Contratação de serviços de fornecimento de links de dados, via fibra óptica, através da Rede Metropolitana de Manaus - REPAM/METROMAO, para acesso a Rede de Governo - REDGOV TC: 0007/2024 AD: 01.
2025NE0000605;3/2023;30/10/2025;18282,0;Ativo;CONTRATAÇÃO DE PESSOA JURÍDICA DESTINADA À PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO DE LICENÇA DE USO DE SISTEMA DE INFORMAÇÃO, COMPREENDENDO A DISPONIBILIZAÇÃO DO SISTEMA GESTOR DE CONTEÚDO WEB - GERWEB
2025NE0000606;2/2021;30/10/2025;7244,38;Ativo;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE INFORMÁTICA DE FORMA EVENTUAL. TC: 0002/2021 AD: 04.
2025NE0000604;2/2023;30/10/2025;32518,39;Ativo;CONTRATAÇÃO DE PESSOA JURÍDICA DESTINADA À PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO DE ACESSO GERENCIADO À REDE MUNDIAL DE INTERNET ATRAVÉS DA REDE DE GOVERNO E SERVIÇO DE GESTÃO DE SEGURANÇA E ATIVOS DE
2024NE0000654;2/2021;30/10/2024;3335,96;Ativo;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE INFORMÁTICA DE FORMA EVENTUAL. TC: 0002/2021 AD: 03.
2024NE0000652;2/2023;30/10/2024;8913,06;Ativo;CONTRATAÇÃO DE PESSOA JURÍDICA DESTINADA À PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO DE ACESSO GERENCIADO À REDE MUNDIAL DE INTERNET ATRAVÉS DA REDE DE GOVERNO E SERVIÇO DE GESTÃO DE SEGURANÇA E ATIVOS DE
2024NE0000653;3/2023;30/10/2024;4994,53;Ativo;CONTRATAÇÃO DE PESSOA JURÍDICA DESTINADA À PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO DE LICENÇA DE USO DE SISTEMA DE INFORMAÇÃO, COMPREENDENDO A DISPONIBILIZAÇÃO DO SISTEMA GESTOR DE CONTEÚDO WEB - GERWEB
2025NE0000859;17/2024;30/09/2025;58416,1;Ativo;Contratação de empresa especializada para prestação de serviço de de licença de uso, compreendendo disponibilização de plataforma de comunicação e colaboração corporativa em plataforma web.
2025NE0000858;7/2024;30/09/2025;2329,22;Ativo;Contratação de serviços de fornecimento de links de dados, via fibra óptica, através da Rede Metropolitana de Manaus - REPAM/METROMAO, para acesso a Rede de Governo - REDGOV TC: 0007/2024 AD: 01.
2025NE0000860;8/2024;30/09/2025;1819,33;Ativo;Contratação de serviço de hospedagem de sistema de informação TC: 0008/2024 AD: 01.
2025NE0000552;2/2021;30/09/2025;3622,19;Ativo;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE INFORMÁTICA DE FORMA EVENTUAL. TC: 0002/2021 AD: 04.
2025NE0000550;3/2023;30/09/2025;13015,78;Ativo;CONTRATAÇÃO DE PESSOA JURÍDICA DESTINADA À PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO DE LICENÇA DE USO DE SISTEMA DE INFORMAÇÃO, COMPREENDENDO A DISPONIBILIZAÇÃO DO SISTEMA GESTOR DE CONTEÚDO WEB - GERWEB
2025NE0000551;2/2023;30/09/2025;23227,41;Ativo;CONTRATAÇÃO DE PESSOA JURÍDICA DESTINADA À PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO DE ACESSO GERENCIADO À REDE MUNDIAL DE INTERNET ATRAVÉS DA REDE DE GOVERNO E SERVIÇO DE GESTÃO DE SEGURANÇA E ATIVOS DE
2025NE0000211;5/2025;30/07/2025;2784,24;Ativo;Contratação de empresa especializada na prestação de serviços de Licença de Uso de Sistema de Informação, compreendendo a disponibilização de Gestor de Conteúdo Web – GERWEB, para a publicação de info
2025NE00354;3/2023;30/06/2025;46454,82;Ativo;Primeiro Termo Aditivo ao Contrato 002/2023 - Prestação de Serviços de Fornecimento de Acesso Gerenciado à Rede Mundial de Internet.
2025NE0000354;2/2023;30/06/2025;46454,82;Ativo;CONTRATAÇÃO DE PESSOA JURÍDICA DESTINADA À PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO DE ACESSO GERENCIADO À REDE MUNDIAL DE INTERNET ATRAVÉS DA REDE DE GOVERNO E SERVIÇO DE GESTÃO DE SEGURANÇA E ATIVOS DE
