id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
154799;49943;7/2022;11/2024;77102,64;Parcialmente Paga;COMPLETA;75
146059;41926;7/2022;11/2023;51281,37;Emitida;COMPLETA;75
146209;42239;11/2022;12/2023;23499,6;Emitida;COMPLETA;92
105401;3697;59/2014;08/2018;16380,0;Emitida;FORTE;26
106090;4219;59/2014;09/2018;16380,0;Emitida;FORTE;26
106659;4709;59/2014;10/2018;16380,0;Emitida;FORTE;26
146211;146211;1/2023;12/2023;5962,8;Emitida;FORTE;200
142319;142319;1/2018;06/2023;3343,21;Emitida;FORTE;376
146212;42240;1/2023;12/2023;2870,24;Emitida;COMPLETA;200
146208;42237;8/2022;12/2023;2455,16;Emitida;FORTE;160
146746;42533;7/2019;12/2023;2406,08;Emitida;COMPLETA;94
146747;42534;10/2019;12/2023;2248,47;Emitida;COMPLETA;137
146210;42238;11/2022;12/2023;321,76;Emitida;COMPLETA;92
143851;143851;1/2023;07/2023;198,72;Emitida;FORTE;200
165191;60104;31/2021;12/2025;169,98;Emitida;COMPLETA;2
165775;176;31/2021;01/2026;169,98;Emitida;COMPLETA;2
143852;39972;1/2023;07/2023;95,66;Emitida;COMPLETA;200
