numero;contrato;data_emissao;valor;situacao;descricao
2021NE0000086;1/2017;31/03/2021;14328,4;Ativo;OBS: REFORSO DA NE N.º 2021NE000039, SUPLEMENTAÇÃO ORÇAMENTÁRIA PARA COBERTURA DOS MESES DE MAIO A AGOSTO/2021. 5º TERMO ADITIVO AO CONTRATO Nº 001/2017
2016NE00460;;30/12/2016;1345,71;Ativo;ANULAÇÃO
2025NE0000211;5/2025;30/07/2025;2784,24;Ativo;Contratação de empresa especializada na prestação de serviços de Licença de Uso de Sistema de Informação, compreendendo a disponibilização de Gestor de Conteúdo Web – GERWEB, para a publicação de info
2017NE00141;15/2012;30/05/2017;19407,96;Ativo;RECONHECIMENTO DE DIVIDA REF. A SERV. DE FORNECIMENTO DE LINK DE INTERNET REF. AOS MESES DE SET. A DEZ. DE 2015 DO 4º T.A. CONT. 0015/2012
2021NE0000167;1/2018;30/04/2021;15605,44;Ativo;CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇOS DE REDE, COMPREENDENDO FORNECIMENTO DE CIRCUITO DE TRANSMISSÃO DE DADOS ENTRE A CONTRATADA E A CONTRATANTE, POSSIBILITANDO O ACESSO AOS SISTEMAS CONTRATADOS E RESI
2019NE00092;1/2018;30/04/2019;11149,94;Ativo;CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇOS DE FORNECIMENTO DE CIRCUITO DE TRANSMISSÃO DE DADOS ENTRE O CLIENTE PRODAM, POSSIBILITANDO O ACESSO AOS SITEMAS CONTRATADOS RESIDENTES NA DATA CENTER DA PRODAM, IN
2015NE00107;3/2012;30/03/2015;6295,96;Ativo;Anulação Total da Nota de Empenho, conforme orientação SEO/SEFAZ, fundamentada na LEI nº 4.163 de 09 de Março de 2015, Reforma Administrativa.
2015NE00109;6/2013;30/03/2015;1090,51;Ativo;Anulação Total da Nota de Empenho, conforme orientação SEO/SEFAZ, fundamentada na LEI nº 4.163 de 09 de Março de 2015, Reforma Administrativa.
2017NE00556;;29/12/2017;1439,43;Ativo;ANULAÇÃO DE SALDO DE EMPENHO PARA ACERTO DE ENCERRAMENTO DE EXERCÍCIO DE 2017
2017NE00557;;29/12/2017;380,07;Ativo;ANULAÇÃO DE SALDO DE EMPENHO PARA ACERTO DE ENCERRAMENTO DE EXERCÍCIO DE 2017
2025NE0000287;;29/10/2025;25247,7;Ativo;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE HOSPEDAGEM DE SERVIDORES E LICENÇA DE USO DE VPN NA SECRETARIA DE ESTADO DAS CIDADES E TERRITÓRIOS.
2025NE0000286;;29/10/2025;19124,7;Ativo;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE ACESSO A INTERNET E TRANSMISSÃO DE DADOS, PARA ATENDER AS NECESSIDADES DESTA SECRETARIA DE ESTADO DAS CIDADAES E TERRITÓRIOS - SECT. TC: 0001/2023 A
2025NE0000288;;29/10/2025;5568,48;Ativo;Contratação de empresa especializada na prestação de serviços de Licença de Uso de Sistema de Informação, compreendendo a disponibilização de Gestor de Conteúdo Web – GERWEB, para a publicação de info
2024NE0000267;1/2023;29/10/2024;9118,35;Ativo;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE ACESSO A INTERNET E TRANSMISSÃO DE DADOS, PARA ATENDER AS NECESSIDADES DESTA SECRETARIA DE ESTADO DAS CIDADAES E TERRITÓRIOS - SECT. TC: 0001/2023 A
2014NE00346;12/2014;29/08/2014;1753,12;Ativo;Contrato No. 12/2014
