Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
SEDECTI;Desenvolvimento de Sistemas de Informação;011/2021;143748;08/2023;101.525,64;926 dias;0,00;Suspenso;TramitarReverter Status
SEDECTI;Desenvolvimento de Sistemas de Informação;011/2021;144514;09/2023;80.299,38;896 dias;0,00;Suspenso;TramitarReverter Status
SEDECTI;Desenvolvimento de Sistemas de Informação;011/2021;144516;09/2023;3.829,60;896 dias;0,00;Suspenso;TramitarReverter Status
SEDECTI;Desenvolvimento de Sistemas de Informação;011/2021;144515;09/2023;5.333,80;896 dias;0,00;Suspenso;TramitarReverter Status
SEDECTI;Desenvolvimento de Sistemas de Informação;011/2021;145251;10/2023;30.110,61;864 dias;0,00;Suspenso;TramitarReverter Status
SEDECTI;Desenvolvimento de Sistemas de Informação;011/2021;145250;10/2023;46.853,49;864 dias;0,00;Suspenso;TramitarReverter Status
SEDECTI;Desenvolvimento de Sistemas de Informação;011/2021;145894;11/2023;3.829,60;836 dias;0,00;Suspenso;TramitarReverter Status
SEDECTI;Desenvolvimento de Sistemas de Informação;011/2021;145895;11/2023;9.354,75;836 dias;0,00;Suspenso;TramitarReverter Status
SEDECTI;Desenvolvimento de Sistemas de Informação;011/2021;145996;11/2023;68.419,91;834 dias;0,00;Suspenso;TramitarReverter Status
SEDECTI;Desenvolvimento de Sistemas de Informação;011/2021;146006;11/2023;13.553,76;834 dias;0,00;Suspenso;TramitarReverter Status
SEDECTI;Desenvolvimento de Sistemas de Informação;300/2023;146792;12/2023;31.093,92;804 dias;0,00;Suspenso;TramitarReverter Status
SEDECTI;Desenvolvimento de Sistemas de Informação;300/2023;146791;12/2023;3.829,60;804 dias;0,00;Suspenso;TramitarReverter Status
SEDECTI;Desenvolvimento de Sistemas de Informação;300/2023;146789;12/2023;7.345,61;804 dias;0,00;Suspenso;TramitarReverter Status
SEDECTI;Desenvolvimento de Sistemas de Informação;300/2023;146790;12/2023;32.422,72;804 dias;0,00;Suspenso;TramitarReverter Status
SEDECTI;Desenvolvimento de Sistemas de Informação;003/2024;152744;08/2024;110.206,88;562 dias;0,00;Suspenso;TramitarReverter Status
SEDECTI;Hospedagem de Servidores;007/2022;153041;09/2024;14.311,54;542 dias;0,00;Suspenso;TramitarReverter Status
SEDECTI;Hospedagem de Sistemas;007/2022;153039;09/2024;225,48;542 dias;0,00;Suspenso;TramitarReverter Status
SEDECTI;Licença de uso de sistemas de informação;007/2022;153040;09/2024;2.610,76;542 dias;0,00;Suspenso;TramitarReverter Status
SEDECTI;Desenvolvimento de Sistemas de Informação;003/2024;153421;09/2024;110.206,88;533 dias;0,00;Suspenso;TramitarReverter Status
