numero;contrato;data_emissao;valor;situacao;descricao
2025NE0000777;3/2024;31/10/2025;115396,96;Ativo;Contratação de Empresa especializa em tecnologia da informação e comunicação (TIC), serviços de desenvolvimento, manutenção corretiva e preventiva, e suporte, sob demanda, de sistemas de informação e 
2015NE00396;;31/07/2015;34222,35;Ativo;PRODAM JULHO/AGOSTO.
2019NE00414;;30/12/2019;1945,92;Ativo;Encerramento de Exercício de 2019 conforme Decreto N° 41.554 de 26 de Novembro de 2019.
2019NE00419;;30/12/2019;6347,93;Ativo;Anulação da NE 016, para Encerramento do Exercício de 2019 conforme Decreto N° 41.554 de 26 de Novembro de 2019.
2019NE00428;;30/12/2019;20242,63;Ativo;Anulação da NE 08, para Encerramento do Exercício de 2019 conforme Decreto N° 41.554 de 26 de Novembro de 2019.
2019NE00420;;30/12/2019;5407,08;Ativo;Anulação da NE 033, para Encerramento do Exercício de 2019 conforme Decreto N° 41.554 de 26 de Novembro de 2019.
2019NE00430;;30/12/2019;98,43;Ativo;Anulação da NE 0285, para Encerramento do Exercício de 2019 conforme Decreto N° 41.554 de 26 de Novembro de 2019.
2016NE00461;;30/12/2016;1706,74;Ativo;Anulação para encerramento do exercício de 2016. Conforme AVISO Nº 02 DE 06/01/2017, COMUNICAÇÃO Nº 13 DE 15/12/2016. Publicada no Diário oficial no dia 14/12/2016.
2016NE00462;;30/12/2016;10322,86;Ativo;Anulação para encerramento do exercício de 2016. Conforme AVISO Nº 02 DE 06/01/2017, COMUNICAÇÃO Nº 13 DE 15/12/2016. Publicada no Diário oficial no dia 14/12/2016.
2016NE00458;;30/12/2016;576,96;Ativo;Anulação para encerramento do exercício de 2016. Conforme AVISO Nº 02 DE 06/01/2017, COMUNICAÇÃO Nº 13 DE 15/12/2016. Publicada no Diário oficial no dia 14/12/2016.
2016NE00449;;30/12/2016;1815,74;Ativo;Anulação para encerramento do exercício de 2016. Conforme AVISO Nº 02 DE 06/01/2017, COMUNICAÇÃO Nº 13 DE 15/12/2016. Publicada no Diário oficial no dia 14/12/2016.
2016NE00448;;30/12/2016;19358,12;Ativo;Anulação para encerramento do exercício de 2016. Conforme AVISO Nº 02 DE 06/01/2017, COMUNICAÇÃO Nº 13 DE 15/12/2016. Publicada no Diário oficial no dia 14/12/2016.
2016NE00459;;30/12/2016;13556,82;Ativo;Anulação para encerramento do exercício de 2016. Conforme AVISO Nº 02 DE 06/01/2017, COMUNICAÇÃO Nº 13 DE 15/12/2016. Publicada no Diário oficial no dia 14/12/2016.
2016NE00614;;30/12/2016;563,4;Ativo;ajuste orçamentário.
2016NE00613;;30/12/2016;79,65;Ativo;ajuste orçamentário.
2016NE00612;;30/12/2016;26,55;Ativo;ajuste orçamentário.
