id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
163087;58080;3/2024;09/2025;115352,8;Emitida;COMPLETA;119
152744;48067;3/2024;08/2024;110206,88;Emitida;COMPLETA;119
153421;48752;3/2024;09/2024;110206,88;Emitida;COMPLETA;119
154296;49537;3/2024;10/2024;110206,88;Emitida;COMPLETA;119
143748;39864;11/2021;08/2023;101525,64;Emitida;FORTE;83
163945;58854;3/2024;10/2025;99238,44;Emitida;COMPLETA;119
164764;59693;3/2024;11/2025;86827,38;Emitida;COMPLETA;119
144514;40548;11/2021;09/2023;80299,38;Emitida;COMPLETA;83
145996;41861;11/2021;11/2023;68419,91;Emitida;FORTE;83
154800;49944;3/2024;11/2024;66931,0;Emitida;FORTE;119
145250;41204;11/2021;10/2023;46853,49;Emitida;FORTE;83
146790;42595;300/2023;12/2023;32422,72;Emitida;COMPLETA;1
146792;42592;300/2023;12/2023;31093,92;Emitida;COMPLETA;1
145251;41203;11/2021;10/2023;30110,61;Emitida;FORTE;83
165144;60055;3/2024;12/2025;20918,64;Emitida;FORTE;119
165011;59909;8/2021;12/2025;19680,48;Emitida;COMPLETA;213
164253;59203;7/2022;11/2025;18983,94;Emitida;COMPLETA;75
165015;59911;7/2022;12/2025;18983,94;Emitida;COMPLETA;75
154666;50576;8/2021;11/2024;14356,8;Emitida;COMPLETA;213
155443;50625;8/2021;12/2024;14356,8;Emitida;COMPLETA;213
153041;48321;7/2022;09/2024;14311,54;Emitida;COMPLETA;75
146006;41879;11/2021;11/2023;13553,76;Emitida;COMPLETA;83
145895;41794;11/2021;11/2023;9354,75;Emitida;FORTE;83
165016;59913;4/2024;12/2025;7736,66;Emitida;COMPLETA;81
146789;42594;300/2023;12/2023;7345,61;Emitida;COMPLETA;1
154670;49812;4/2024;11/2024;7343,82;Emitida;FORTE;81
155447;50534;4/2024;12/2024;7343,82;Emitida;COMPLETA;81
165012;59908;8/2021;12/2025;7026,48;Emitida;COMPLETA;213
155528;50653;3/2024;12/2024;6078,72;Emitida;COMPLETA;119
154665;50575;8/2021;11/2024;5966,08;Emitida;COMPLETA;213
155442;50626;8/2021;12/2024;5966,08;Emitida;COMPLETA;213
144515;40547;11/2021;09/2023;5333,8;Emitida;COMPLETA;83
165017;59914;8/2025;12/2025;4780,22;Emitida;COMPLETA;19
144516;40549;11/2021;09/2023;3829,6;Emitida;COMPLETA;83
145894;41795;11/2021;11/2023;3829,6;Emitida;COMPLETA;83
146791;42593;300/2023;12/2023;3829,6;Emitida;COMPLETA;1
153040;48323;7/2022;09/2024;2610,76;Emitida;COMPLETA;75
164252;59201;7/2022;11/2025;2563,95;Emitida;FORTE;75
165014;59910;7/2022;12/2025;2563,95;Emitida;COMPLETA;75
164251;59205;7/2022;11/2025;488,74;Emitida;COMPLETA;75
165013;59912;7/2022;12/2025;488,74;Emitida;COMPLETA;75
153039;48322;7/2022;09/2024;225,48;Emitida;COMPLETA;75
