Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
SEDUC;Licença de uso de sistemas de informação;023/2021;141565;05/2023;85.610,89;1016 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Hospedagem de Sistemas;054/2017;142846;07/2023;1.953,43;961 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Suporte Técnico em Sistemas de Informação;054/2017;142845;07/2023;706,41;961 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Licença de uso de sistemas de informação;023/2021;145317;10/2023;1.448.755,22;863 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Acesso Gerenciado à Rede Mundial;014/2018;145907;11/2023;123.025,58;836 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Licença de uso de sistemas de informação;023/2021;146031;11/2023;1.454.992,31;833 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Licença de uso de sistemas de informação;023/2021;146667;12/2023;1.458.649,43;805 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Implantação de Sistemas de Informação;020/2022;154425;10/2024;390.085,64;497 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Software como Serviço;020/2022;154422;10/2024;1.273.521,48;497 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Execução de sistemas;002/2021;155127;11/2024;195.120,54;469 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Software como Serviço;020/2022;155273;11/2024;1.377.022,68;468 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Implantação de Sistemas de Informação;020/2022;155272;11/2024;283.141,89;468 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Execução de sistemas;002/2021;155525;12/2024;195.120,54;461 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Implantação de Sistemas de Informação;020/2022;155527;12/2024;283.141,89;461 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Software como Serviço;020/2022;155536;12/2024;1.167.705,65;456 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Software como Serviço;020/2022;156790;01/2025;172.513,94;405 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Desenvolvimento de Sistemas de Informação;014/2018;156806;01/2025;234.215,23;405 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Hospedagem de Servidores;014/2018;156803;01/2025;134.008,96;405 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Execução de sistemas;014/2018;156807;01/2025;987.736,23;405 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Fornecimento de circuito de transmissão de dados;014/2018;156804;01/2025;353.200,00;405 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Acesso Gerenciado à Rede Mundial;014/2018;156805;01/2025;123.025,58;405 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Serviços de Firewall;014/2018;156802;01/2025;9.051,74;405 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Desenvolvimento de Sistemas de Informação;014/2018;157623;02/2025;241.750,08;377 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Execução de sistemas;014/2018;157624;02/2025;891.324,20;377 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Fornecimento de circuito de transmissão de dados;014/2018;157428;02/2025;353.200,00;377 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Acesso Gerenciado à Rede Mundial;014/2018;157429;02/2025;123.025,58;377 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Software como Serviço;020/2022;157625;02/2025;1.434.464,68;377 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Hospedagem de Servidores;014/2018;157427;02/2025;134.008,96;377 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Serviços de Firewall;014/2018;157426;02/2025;9.051,74;377 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Software como Serviço;020/2022;158371;03/2025;1.434.464,68;346 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Fornecimento de circuito de transmissão de dados;014/2018;158194;03/2025;353.200,00;346 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Hospedagem de Servidores;014/2018;158193;03/2025;134.008,96;346 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Acesso Gerenciado à Rede Mundial;014/2018;158195;03/2025;123.025,58;346 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Serviços de Firewall;014/2018;158192;03/2025;9.051,74;346 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Execução de sistemas;014/2018;158373;03/2025;897.306,14;346 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Desenvolvimento de Sistemas de Informação;014/2018;158372;03/2025;218.922,71;346 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Software como Serviço;020/2022;159169;04/2025;1.434.464,68;316 dias;0,00;Suspenso;TramitarReverter Status
SEDUC;Desenvolvimento de Sistemas de Informação;014/2018;159166;04/2025;79.226,57;316 dias;0,00;Suspenso;TramitarReverter Status
