numero;contrato;data_emissao;valor;situacao;descricao
2020NE05432;14/2018;31/12/2020;9428517,0;Ativo;Para atender ao 2º termo aditivo ao contrato nº14/2018.
2021NE0003649;54/2017;31/08/2021;7737,28;Ativo;PARA ATENDER DESPESAS DO 3º TA AO CT-054/2017-SEDUC-CUSTOMIZAÇÃO, IMPLANTAÇÃO E HOSPEDAGEM PARA USO E MANUTENÇÃO DO SISTEMA DE GESTÃO DE PROJETOS - SIGPRO. PROC. 028101.6652/2021-24
2020NE02645;14/2018;31/07/2020;3771406,8;Ativo;ATENDER AO CONTRATO Nº 14/2018, REFERENTE PRESTAÇÃO DE SERVIÇOS TÉCNICOS PARA MANUTENÇÃO OPERACIONAL, CORRETIVA E EVOLUTIVA DO SIGEAM.
2020NE02643;2/2015;31/07/2020;407376,7;Ativo;ATENDER AO CONTRATO Nº 02/2015, REFERENTE PRESTAÇÃO DE SERVIÇOS DE PROCESSAMENTO DO SISTEMA CFPP - CADASTRO E FOLHA DE PAGAMENTO DE PESSOAL.
2023NE0004433;23/2021;31/05/2023;1459368,39;Ativo;2º TERMO ADITIVO AO CONTRATO Nº 23/2021. OBJETO: SERVIÇOS DE CONTACT CENTER, COM ADOÇÃO DE PLATAFORMA DE INTEGRAÇÃO DE MULTICANAIS E MÓDULO DE GESTÃO DE ATENDIMENTO, UTILIZANDO MODELO OMNICHANNEL, DES
2023NE0000552;54/2017;31/01/2023;4206,28;Ativo;ATENDER DESPESAS PARCIAIS DO CT-054/2017-SEDUC, REFERENTE A SERVIÇOS DE MANUTENÇÃO DO SISTEMA SIGPRO. PROC. ADM 028101.035985/2022-41(SIGED)
2022NE0000458;54/2017;31/01/2022;12006,12;Ativo;PARA ATENDER DESPESAS PARCIAIS DO CT Nº 0054/2017-SEDUC, REF. A CUSTOMIZAÇÃO, IMPLANTAÇÃO E HOSPEDAGEM PARA USO E MANUTENÇÃO DO SISTEMA DE GESTÃO DE PROJETOS - SIGPRO.
2017NE00580;2/2015;31/01/2017;1135000,0;Ativo;SERV. PROCESSAMENTO DE DADOS
2017NE00579;;31/01/2017;1135000,0;Ativo;ANULAÇÃO
2017NE00578;2/2015;31/01/2017;1135000,0;Ativo;PROCESSAMENTO DE DADOS
2019NE07576;2/2015;30/12/2019;244426,02;Ativo;ATENDER AO CT. 02/2015
2019NE07578;14/2018;30/12/2019;9428517,0;Ativo;ATENDER AO CT. 14/2018
2014NE10962;235/2010;30/12/2014;1485253,11;Ativo;Cobertura Financeira 2015
2024NE0009311;20/2022;30/10/2024;3358031,83;Ativo;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A SOLUÇÃO DE SISTEMA DE GESTÃO EDUCACIONAL QUE PROPORCIONE A INFORMATIZAÇÃO DOS PROCESSOS ADMINISTRATIVOS, PEDAGÓGICOS, MATRÍCULA ONLINE E DE GESTÃO DE PESSOA
2024NE0009309;2/2021;30/10/2024;1184079,76;Ativo;CONTRATAÇÃO DE SERVIÇOS ESPECIALIZADOS EM INFORMÁTICA-FOLHA DE PAGAMENTO DE PESSOAL E CADASTRO DE SERVIDORES DA SEDUC/AM TC: 0002/2021 AD: 03.
2024NE0009310;23/2021;30/10/2024;5835123,56;Ativo;CONTRATAÇÃO DE SERVIÇOS ESPECIALIZADOS EM CONTACT CENTER COM ADOÇÃO DE PLATAFORMA DE INTEGRAÇÃO DE MULTICANAIS E MODULO DES GESTÃO DE ATENDIMENTO DA SEDUC/AM TC: 0023/2021 AD: 04.
2021NE0004781;54/2021;30/09/2021;369600,0;Ativo;"OUTROS SERVICOS DE TERCEIROS - PESSOA JURIDICA;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE IMPLANTAÇÃO DE REPOSITÓRIO ARQUIVÍSTICO CONFIÁVEL MEDIANTE TRATAMENTO ARQUIVÍSTICO DE DOCUMENTOS PÚB"
2018NE02969;161/2016;30/05/2018;1781358,83;Ativo;PARA ATENDER EM PAGAMENTO/EXERCÍCIOS ANTERIORES, PERÍODO: DEZEMBRO DE 2017, DE MANUTENÇÃO OPERACIONAL CORRETIVA E EVOLUTIVA DO SIGEAM, NAS ESCOLAS EST. DO ESTADO AMAZONAS
2016NE02476;235/2010;30/03/2016;2970506,22;Ativo;PROCESSAMENTO DE DADOS
2026NE0000723;;30/01/2026;312406,99;Ativo;ANULAÇÃO TOTAL DO VALOR DA NOTA DE EMPENHO
2020NE00259;2/2015;30/01/2020;611065,05;Ativo;5º TERMO ADITIVO AO CONTRATO Nº 02/2015 REFERENTE A PRESTAÇÃO DE SERVIÇOS DE INFORMÁTICA - SISTEMA CFPP DE FOLHA DE PAGAMENTO DE PESSOAL E CADASTRO DE SERVIDORES.
2025NE0011395;;29/12/2025;251,86;Ativo;ANULAÇÃO DO SALDO DA NOTA DE EMPENHO 2025NE0000648,EM ATENDIMENTO AO DECRETO DE ENCERRAMENTO Nº 52770 DE 21 DE OUTUBRO DE 2025.
2025NE0011396;;29/12/2025;2,35;Ativo;ANULAÇÃO DO SALDO DA NOTA DE EMPENHO 2025NE0000824,EM ATENDIMENTO AO DECRETO DE ENCERRAMENTO Nº 52770 DE 21 DE OUTUBRO DE 2025.
2025NE0011398;;29/12/2025;12,28;Ativo;ANULAÇÃO DO SALDO DA NOTA DE EMPENHO 2025NE000497702812,EM ATENDIMENTO AO DECRETO DE ENCERRAMENTO Nº 52770 DE 21 DE OUTUBRO DE 2025.
2017NE08739;2/2015;29/12/2017;244426,03;Ativo;DESPESAS CT- 02/2015
2015NE09172;235/2010;29/12/2015;49508,44;Ativo;SERV. PROC. DADOS
2023NE0008924;14/2018;29/11/2023;83395,57;Ativo;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS TÉCNICOS ESPECIALIZADOS PARA A MANUTENÇÃO OPERACIONAL, CORRETIVA E EVOLUTIVA DO SIGEAM - SISTEMA DE GESTÃO EDUCACIONAL. TC: 0014/2018 AD: 05.
