id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
165304;60220;20/2022;11/2025;1468611,61;Emitida;FORTE;22
164103;59054;20/2022;10/2025;1466825,77;Emitida;COMPLETA;22
163239;58223;20/2022;09/2025;1466822,97;Emitida;COMPLETA;22
166073;382;20/2022;12/2025;1466822,97;Emitida;FORTE;22
164099;59049;23/2021;10/2025;1458776,53;Emitida;COMPLETA;31
166074;381;23/2021;12/2025;1458764,46;Emitida;FORTE;31
165291;60114;23/2021;11/2025;1458761,44;Emitida;FORTE;31
163238;58226;23/2021;09/2025;1458753,43;Emitida;COMPLETA;31
146667;42489;23/2021;12/2023;1458649,43;Emitida;FORTE;31
146031;41899;23/2021;11/2023;1454992,31;Emitida;COMPLETA;31
141565;37928;23/2021;05/2023;1449441,38;Parcialmente Paga;COMPLETA;31
145317;41278;23/2021;10/2023;1448755,22;Emitida;COMPLETA;31
161637;56684;20/2022;07/2025;1440272,24;Emitida;COMPLETA;22
162718;57731;20/2022;08/2025;1440272,24;Emitida;COMPLETA;22
160535;55579;20/2022;05/2025;1439753,04;Emitida;COMPLETA;22
160790;55863;20/2022;06/2025;1439753,04;Emitida;FORTE;22
157625;52792;20/2022;02/2025;1434464,68;Emitida;COMPLETA;22
158371;53510;20/2022;03/2025;1434464,68;Emitida;COMPLETA;22
159169;54292;20/2022;04/2025;1434464,68;Emitida;COMPLETA;22
155273;50425;20/2022;11/2024;1377022,68;Emitida;COMPLETA;22
156790;51924;20/2022;01/2025;1377022,68;Parcialmente Paga;COMPLETA;22
154422;49673;20/2022;10/2024;1273521,48;Emitida;FORTE;22
155536;50725;20/2022;12/2024;1167705,65;Emitida;COMPLETA;22
163248;58228;14/2018;09/2025;1003760,37;Emitida;COMPLETA;34
162442;57463;14/2018;08/2025;1002289,26;Emitida;COMPLETA;34
164105;59055;14/2018;10/2025;989383,85;Emitida;COMPLETA;34
156807;51968;14/2018;01/2025;987736,23;Emitida;COMPLETA;34
159167;54295;14/2018;04/2025;898750,69;Emitida;COMPLETA;34
158373;53512;14/2018;03/2025;897306,14;Emitida;COMPLETA;34
159999;55043;14/2018;05/2025;892813,84;Emitida;COMPLETA;34
157624;52787;14/2018;02/2025;891324,2;Emitida;COMPLETA;34
161610;56641;14/2018;07/2025;886264,1;Emitida;COMPLETA;34
160788;55846;14/2018;06/2025;883929,5;Emitida;COMPLETA;34
166072;384;14/2018;12/2025;519857,73;Emitida;FORTE;34
165305;60221;14/2018;11/2025;519741,03;Emitida;FORTE;34
154425;49672;20/2022;10/2024;390085,64;Emitida;COMPLETA;22
156804;51969;14/2018;01/2025;353200,0;Emitida;COMPLETA;34
157428;52790;14/2018;02/2025;353200,0;Emitida;COMPLETA;34
158194;53513;14/2018;03/2025;353200,0;Emitida;COMPLETA;34
158975;54296;14/2018;04/2025;353200,0;Emitida;COMPLETA;34
159797;55047;14/2018;05/2025;353200,0;Emitida;COMPLETA;34
160731;55850;14/2018;06/2025;353200,0;Emitida;COMPLETA;34
161431;56642;14/2018;07/2025;353200,0;Emitida;FORTE;34
162438;57465;14/2018;08/2025;353200,0;Emitida;COMPLETA;34
163245;58230;14/2018;09/2025;353200,0;Emitida;COMPLETA;34
163870;59057;14/2018;10/2025;353200,0;Emitida;COMPLETA;34
164630;60073;14/2018;11/2025;353200,0;Emitida;COMPLETA;34
164942;385;14/2018;12/2025;353200,0;Emitida;FORTE;34
