numero;contrato;data_emissao;valor;situacao;descricao
2025NE0000096;32/2024;31/10/2025;1110,8;Ativo;Contratação para fornecimento de licença de uso, compreendendo a disponibilização de Plataforma de Comunicação e Colaboração em plataforma Web – APLICAÇÃO POWER BI.
2025NE0000095;32/2024;31/10/2025;583,89;Ativo;Contratação para fornecimento de licença de uso, compreendendo a disponibilização de Plataforma de Comunicação e Colaboração em plataforma Web – APLICAÇÃO POWER BI. TC: 0032/2024 AD: 01.
2017NE01120;;31/10/2017;682123,23;Ativo;Cessão de servidores da PRODAM para prestar serviços na Sefaz/AM.
2023NE0000487;;31/05/2023;2451155,28;Ativo;Convênio de cessão de técnicos, por disposição da PRODAM. para o exercício de funções que visam atuar nos diversos projetos de desenvolvimento, manutenção e suporte técnico dos sistemas da SEFAZ. TC: 
2019NE01366;;30/12/2019;21158,53;Ativo;Anulação do saldo da NE acima descrita devido ao encerramento do exercício, conforme memorando Nº 199/2019-GORF/SEFAZ
2016NE01697;;30/12/2016;636597,39;Ativo;ANULAÇÃO DO SALDO DA NE ACIMA DESCRITA EM VIRTUDE DO ENCERRAMENTO DO EXERCÍCIO 2016.
2016NE01696;;30/12/2016;182951,22;Ativo;ANULAÇÃO DO SALDO DA NE ACIMA DESCRITA EM VIRTUDE DO ENCERRAMENTO DO EXERCÍCIO 2016.
2016NE01698;;30/12/2016;318705,8;Ativo;ANULAÇÃO DO SALDO DA NE ACIMA DESCRITA EM VIRTUDE DO ENCERRAMENTO DO EXERCÍCIO 2016.
2016NE01699;;30/12/2016;96598,67;Ativo;ANULAÇÃO DO SALDO DA NE ACIMA DESCRITA EM VIRTUDE DO ENCERRAMENTO DO EXERCÍCIO 2016.
2016NE01501;;30/11/2016;1339,49;Ativo;4º TACT nº 003/2015-SEFAZ, cujo objeto é a prorrogação da vigência do contrato por mais 06 (seis) meses, referente a prestação de serviços técnicos especializados na área de Tecnologia da Informação -
2016NE01502;3/2015;30/11/2016;98660,51;Ativo;4º TACT nº 003/2015-SEFAZ, cujo objeto é a prorrogação da vigência do contrato por mais 06 (seis) meses, referente a prestação de serviços técnicos especializados na área de Tecnologia da Informação -
2024NE0001080;;30/10/2024;1496625,2;Ativo;Convênio de cessão de técnicos, por disposição da PRODAM. para o exercício de funções que visam atuar nos diversos projetos de desenvolvimento, manutenção e suporte técnico dos sistemas da SEFAZ. TC: 
2017NE01251;;29/11/2017;297176,23;Ativo;Anulação do saldo da 2017NE00317.
2017NE01252;;29/11/2017;740348,49;Ativo;Anulação do saldo da 2017NE00573.
2017NE01250;;29/11/2017;1711203,6;Ativo;Anulação do saldo da 2017NE00031.
2018NE01096;;29/10/2018;1593617,44;Ativo;5º Termo Aditivo ao Convênio nº 005/2015. Cessão de servidores da PRODAM para prestar serviços na SEFAZ.
2015NE01444;;29/10/2015;1392778,36;Ativo;1º Termo Aditivo ao Convênio nº 02/2014, cujo objeto é a prorrogação do termo por mais 12 (doze) meses, conforme plano de trabalho.
