Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
SEINFRA;Licença de uso de sistemas de informação;120/2024;155098;09/2024;2.687,37;472 dias;0,00;Suspenso;TramitarReverter Status
SEINFRA;Licença de uso de sistemas de informação;120/2024;155099;10/2024;2.687,37;472 dias;0,00;Suspenso;TramitarReverter Status
SEINFRA;Licença de uso de sistemas de informação;120/2024;155097;08/2024;2.687,37;472 dias;0,00;Suspenso;TramitarReverter Status
SEINFRA;Gestão de Segurança e Ativos de Rede;042/2021;158997;04/2025;312,53;321 dias;0,00;Suspenso;TramitarReverter Status
SEINFRA;Hospedagem de Sistemas;042/2021;158996;04/2025;15.721,93;321 dias;0,00;Suspenso;TramitarReverter Status
SEINFRA;Gestão de Segurança e Ativos de Rede;042/2021;159823;05/2025;407,65;290 dias;0,00;Suspenso;TramitarReverter Status
SEINFRA;Hospedagem de Sistemas;042/2021;159822;05/2025;20.506,86;290 dias;0,00;Suspenso;TramitarReverter Status
SEINFRA;Gestão de Segurança e Ativos de Rede;042/2021;160309;06/2025;407,65;261 dias;0,00;Suspenso;TramitarReverter Status
SEINFRA;Hospedagem de Sistemas;042/2021;160310;06/2025;20.506,86;261 dias;0,00;Suspenso;TramitarReverter Status
SEINFRA;Licença de uso de sistemas de informação;011/2024;164068;11/2025;268,74;115 dias;0,00;Suspenso;TramitarReverter Status
SEINFRA;Licença de uso de sistemas de informação;011/2024;165022;12/2025;2.805,55;100 dias;0,00;Suspenso;TramitarReverter Status
SEINFRA;Licença de uso de sistemas de informação;011/2024;166243;01/2026;2.805,55;42 dias;0,00;Suspenso;TramitarReverter Status
