numero;contrato;data_emissao;valor;situacao;descricao
2022NE0002069;41/2021;31/10/2022;1292,8;Ativo;CT.041/2021-SEINFRA, destinados a Prestação de serviços para aquisição do Programa de Execução de Sistema de Protocolo em Plataforma WEB (SPROWEB), para atender as necessidades desta SEINFRA.
2022NE0002070;42/2021;31/10/2022;20914,51;Ativo;Parte do Saldo do CT. nº042-2021-SEINFRA, destinados para prestação de serviço de Hospedagem do Sistema Integrado de Controle e Gestão de Obras E-Obras para a Secretaria de Infraestrutura e Região Met
2022NE0002067;19/2019;31/10/2022;2401,81;Ativo;Parte do Saldo do CT.019/2019-SEINFRA, destinados a Prestação de Serviços de Uso do Sistema Gestão de Conteúdo Web, para esta Secretaria de Estado de Infraestrutura - SEINFRA.
2022NE0002066;6/2018;31/10/2022;5879,68;Ativo;Parte do Saldo do CT. n°006/2018-SEINFRA, destinados a Prestação de Serviços de Locação de Equipamentos de Segurança para a Rede interna desta SEINFRA.
2020NE00748;;31/07/2020;7933,35;Ativo;Anulação total da NE n° 747/2020, em virtude de erro no Sistema AFI.
2020NE00746;;31/07/2020;7933,35;Ativo;Anulação Total da NE N. 744/2020 - SEINFRA, em virtude de descrição indevida.
2020NE00759;11/2016;31/07/2020;12729,59;Ativo;4º Termo Aditivo ao Contrato nº 011/2016-SEINFRA - Prestação de serviços para aquisição do Programa de Execução de Sistema de Protocolo em Plataforma WEB (SPROWEB).
2020NE00744;19/2019;31/07/2020;7933,35;Ativo;1ª Termo aditivo ao CT. N°019/2019-SEINFRA - Prestação de Serviços de Uso do Sistema Gestão de Conteúdo Web, para esta Secretaria de Estado de Infraestrutura - SEINFRA
2020NE00747;19/2019;31/07/2020;7933,35;Ativo;Termo aditivo ao Contrato N°019/2020-SEINFRA - Prestação de serviços de uso do Sistema de Gestão de Conteúdo Web, para esta SEINFRA.
2020NE00749;19/2019;31/07/2020;7933,35;Ativo;Termo aditivo ao CT. N° 019/2019-SEINFRA, Prestação de serviços de uso do Sistema de Gestão de Conteúdo Web para esta SEINFRA.
2017NE00101;1/2017;31/01/2017;10530,67;Ativo;Contrato nº 001/2017-SEINFRA-Serviços de licença de uso do Sistema Gestor de Conteúdo Web.
2014NE02215;30/2011;30/09/2014;5193,6;Ativo;Contrato No. 30/2011 - Serviços Eventuais de Informatica
2019NE00663;19/2019;30/07/2019;3173,34;Ativo;Contrato n° 019/2019 - SEINFRA, Contratação de empresa para Prestação de Serviços de Uso do Sistema Gestão de Conteúdo Web, para esta Secretaria de Estado de Infraestrutura - SEINFRA
2015NE00869;30/2011;30/06/2015;3116,52;Ativo;NE 869 DE 30/06/2015 R$ 3.116,52 Supressão de 40% no valor mensal do Contrato 030/2011 - Serviços Eventuais
2015NE00540;29/2014;30/04/2015;23391,0;Ativo;1° Termo Aditivo ao Contrato nº 029/2014 - SEINFRA - Sistema Sproweb.
2016NE01172;;29/12/2016;1250,66;Ativo;Anulação parcial da NE N°00053/2016, conforme Instrução Normativa N°01/2016, de 14 de Dezembro de 2016-SET/SEFAZ.
2016NE01166;9/2016;29/12/2016;7577,32;Ativo;Parte do Saldo do CT. N°009/2016 - Prestação de Serviços para Hospedagem e Suporte ao Sistema Integrado de Controle de Gestão de Obras - SICOP ao Sistema de Administração Financeira Integrada - AFI ao
2016NE00845;61/2012;29/08/2016;3379,93;Ativo;Apostilamento ao CT. Nº 061/2012-SEINFRA, tendo como objeto: Serviços de locação de bens, compreendendo a instalação e configuração de firewall UTM tipo 6 para até 250 usuários Manaus/AM.
2023NE0000850;4/2023;29/06/2023;14242,04;Ativo;Contratação de empresa para prestação dos serviços de Firewall para a Secretaria de Infraestrutura e Região Metropolitana de Manaus – SEINFRA.
2021NE0000686;11/2016;29/06/2021;5312,35;Ativo;Saldo do CT. N°011/2016 - SEINFRA, destinados a Contratação de empresa especializada para a Prestação de serviços para aquisição do Programa de Execução de Sistema de Protocolo em Plataforma WEB (SPRO
2023NE0000770;19/2019;29/05/2023;4803,62;Ativo;Contratação de empresa para Prestação de Serviços de Uso do Sistema Gestão de Conteúdo Web, para esta Secretaria de Estado de Infraestrutura - SEINFRA. TC: 019/2019 AD: 02.
2023NE0000767;4/2023;29/05/2023;14242,04;Ativo;Contratação de empresa para prestação dos serviços de Firewall para a Secretaria de Infraestrutura e Região Metropolitana de Manaus – SEINFRA.
2018NE01500;;28/12/2018;5185,28;Ativo;Anulação parcial da NE N° 215/2018, referente ao Contrato n° 006/2018-SEINFRA, em virtude do encerramento do exercício, conforme Instrução Normativa N°01/2018/SET/SEFAZ publicado no D.O.E em 30/11/201
2018NE01507;;28/12/2018;8506,68;Ativo;Anulação total da NE N° 869/2018, referente ao Contrato n° 059/2018-SEINFRA, em virtude do encerramento do exercício, conforme Instrução Normativa N°01/2018/SET/SEFAZ publicado no D.O.E em 30/11/2018.
2018NE01498;;28/12/2018;5550,23;Ativo;Anulação parcial da NE N° 210/2018, referente ao Contrato n° 011/2016-SEINFRA, em virtude do encerramento do exercício, conforme Instrução Normativa N°01/2018/SET/SEFAZ publicado no D.O.E em 30/11/201
2018NE01480;;28/12/2018;8807,39;Ativo;Anulação total da NE N°1124/2018, referente ao CT-00021/2016-SEINFRA, em virtude do encerramento do exercício, conforme Instrução Normativa N°01/2018/SET/SEFAZ publicado no D.O.E em 30/11/2018.
2018NE01488;;28/12/2018;2950,58;Ativo;Anulação total da NE N° 207/2018, referente ao Contrato n°001/2017-SEINFRA, em virtude do encerramento do exercício, conforme Instrução Normativa N°01/2018/SET/SEFAZ publicado no D.O.E em 30/11/2018.
