id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
159822;54920;42/2021;05/2025;20506,86;Emitida;COMPLETA;29
160310;55574;42/2021;06/2025;20506,86;Emitida;COMPLETA;29
158996;54114;42/2021;04/2025;15721,93;Emitida;COMPLETA;29
165022;59918;11/2024;12/2025;2805,55;Emitida;COMPLETA;29
166243;487;11/2024;01/2026;2805,55;Emitida;COMPLETA;29
155098;50194;120/2024;09/2024;2687,37;Emitida;COMPLETA;1
155099;50195;120/2024;10/2024;2687,37;Emitida;COMPLETA;1
155097;50193;120/2024;08/2024;2687,37;Emitida;COMPLETA;1
159823;54919;42/2021;05/2025;407,65;Emitida;COMPLETA;29
160309;55573;42/2021;06/2025;407,65;Emitida;COMPLETA;29
158997;54113;42/2021;04/2025;312,53;Emitida;COMPLETA;29
164068;59170;11/2024;11/2025;268,74;Emitida;FORTE;29
