numero;contrato;data_emissao;valor;situacao;descricao
2018NE00334;6/2017;31/07/2018;60372,9;Ativo;REFERENTE AO PRIMEIRO TERMO ADITIVO AO CONTRATO Nº 006/2017 COM A EMPRESA PRODAM - PROCESSAMENTO DE DADOS AMAZONAS S/A, COM O OBJETO DE PRESTAÇÃO DE SERVIÇO DE REDE - INTERNET.
2018NE00339;26/2015;31/07/2018;8426,43;Ativo;REFERENTE AO SEGUNDO TERMO ADITIVO AO CONTRATO Nº 026/2015 COM A EMPRESA PRODAM - PROCESSAMENTO DE DADOS AMAZONAS S/A, COM O OBJETO DE PRESTAÇÃO DE SERVIÇO DE HOSPEDAGEM DE WEBSITE.
2014NE00928;4/2012;31/07/2014;5830,92;Ativo;Contrato No. 4/2012 - Sistema de Protocolo em Plataforma Web - SPROWEB
2016NE00837;;30/12/2016;925,56;Ativo;ANULAÇÃO DA NE 27 PARA AJUSTES ORÇAMENTÁRIO DE ENCERRAMENTO DE EXERCÍCIO.
2016NE00836;;30/12/2016;17588,5;Ativo;ANULAÇÃO DA NE 26 PARA AJUSTES ORÇAMENTÁRIO DE ENCERRAMENTO DE EXERCÍCIO.
2016NE00838;;30/12/2016;2202,92;Ativo;ANULAÇÃO DA NE 71 PARA AJUSTES ORÇAMENTÁRIO DE ENCERRAMENTO DE EXERCÍCIO.
2016NE00521;;30/09/2016;3225,66;Ativo;CANCELAMENTO DE NE PARA ALTERAÇÃO NA MODALIDADE.
2016NE00523;4/2012;30/09/2016;3225,66;Ativo;SERVIÇO ESPECIALIZADO EM CESSÃO DE USO DE PROGRAMA DE COMPUTAÇÃO PARA DISPONIBILIZAÇÃO DO SISTEMA DE PROTOCOLO EM PLATAFORMA WEB (SPROWEB).
2016NE00521;;30/09/2016;3225,66;Ativo;CANCELAMENTO DE NE PARA ALTERAÇÃO NA MODALIDADE.
2016NE00523;4/2012;30/09/2016;3225,66;Ativo;SERVIÇO ESPECIALIZADO EM CESSÃO DE USO DE PROGRAMA DE COMPUTAÇÃO PARA DISPONIBILIZAÇÃO DO SISTEMA DE PROTOCOLO EM PLATAFORMA WEB (SPROWEB).
