Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
SEJUSC;Fornecimento de circuito de transmissão de dados;242/2015;91337;01/2016;24.813,96;3706 dias;0,00;Suspenso;TramitarReverter Status
SEJUSC;Acesso Gerenciado à Rede Mundial;012/2016;99969;10/2017;19.198,80;3069 dias;0,00;Suspenso;TramitarReverter Status
SEJUSC;Fornecimento de circuito de transmissão de dados;012/2016;100407;11/2017;46.261,48;3038 dias;0,00;Suspenso;TramitarReverter Status
SEJUSC;Acesso Gerenciado à Rede Mundial;012/2016;100405;11/2017;19.198,80;3038 dias;0,00;Suspenso;TramitarReverter Status
SEJUSC;Fornecimento de circuito de transmissão de dados;012/2016;100849;12/2017;46.261,48;3019 dias;0,00;Suspenso;TramitarReverter Status
SEJUSC;Acesso Gerenciado à Rede Mundial;012/2016;100847;12/2017;19.198,80;3019 dias;0,00;Suspenso;TramitarReverter Status
SEJUSC;Acesso Gerenciado à Rede Mundial;012/2016;105918;09/2018;36.787,61;2731 dias;0,00;Suspenso;TramitarReverter Status
SEJUSC;Fornecimento de circuito de transmissão de dados;012/2016;105919;09/2018;30.211,78;2731 dias;0,00;Suspenso;TramitarReverter Status
SEJUSC;Fornecimento de circuito de transmissão de dados;012/2016;106365;10/2018;30.211,78;2705 dias;0,00;Suspenso;TramitarReverter Status
SEJUSC;Acesso Gerenciado à Rede Mundial;012/2016;106364;10/2018;36.787,61;2705 dias;0,00;Suspenso;TramitarReverter Status
SEJUSC;Fornecimento de circuito de transmissão de dados;012/2016;106994;11/2018;30.211,78;2668 dias;0,00;Suspenso;TramitarReverter Status
SEJUSC;Acesso Gerenciado à Rede Mundial;012/2016;106993;11/2018;36.787,61;2668 dias;0,00;Suspenso;TramitarReverter Status
SEJUSC;Fornecimento de circuito de transmissão de dados;012/2016;107506;12/2018;30.211,78;2655 dias;0,00;Suspenso;TramitarReverter Status
SEJUSC;Acesso Gerenciado à Rede Mundial;012/2016;107505;12/2018;36.787,61;2655 dias;0,00;Suspenso;TramitarReverter Status
SEJUSC;Instalação de Circuito de Transmissão de Dados;012/2016;113985;11/2019;25.353,17;2306 dias;0,00;Suspenso;TramitarReverter Status
SEJUSC;Instalação de Circuito de Transmissão de Dados;012/2016;114697;12/2019;25.353,17;2291 dias;0,00;Suspenso;TramitarReverter Status
SEJUSC;Instalação de Circuito de Transmissão de Dados;012/2016;115252;01/2020;25.353,17;2247 dias;0,00;Suspenso;TramitarReverter Status
SEJUSC;Acesso Gerenciado à Rede Mundial;058/2020;117591;05/2020;65.456,80;2113 dias;0,00;Suspenso;TramitarReverter Status
