numero;contrato;data_emissao;valor;situacao;descricao
2018NE00188;7/2016;31/08/2018;43648,48;Ativo;6º TERMO ADITIVO AO CONTRATO Nº 07/2018 Contratação de empresa especializada em prestação de serviços de firewall, prodam Rh, internet, link e gestor de conteúdo.
2018NE00510;;31/08/2018;4775,48;Ativo;REFORÇO NE 114 CT. 002/2016 - CRONOGRAMA: SETEMBRO A DEZEMBRO/18
2017NE00280;7/2016;31/08/2017;20511,84;Ativo;1º TERMO ADITIVO AO CONTRATO Nº 07/2016 Contratação de empresa em prestação de serviços de link de comunicação, sistema de transmissão de dados, execução de sistema de informação, desenvolvimento de w
2019NE00080;;31/01/2019;2568,0;Ativo;anulação por equivoco na descrição.
2019NE00082;2/2016;31/01/2019;2568,0;Ativo;3º TERMO ADITIVO AO CONTRATO Nº 002/2016-SEJUSC OBJETO: PRORROGAÇÃO DO PRAZO DE VIGÊNCIA DO CONTRATO ORIGINAL DE PRESTAÇÃO DE EXECUÇÃO DE SISTEMAS SPROWEB, POR MAIS 12(DOZE) MESES, CFE CLÁUSULA OITAVA
2019NE00081;1/2016;31/01/2019;3570,76;Ativo;EMPENHO REF. CRONOGRAMA FEVEREIRO E MARÇO/19, 3º TERMO ADITIVO, CT. 001/2016-SERVIÇO PREST. INFORMATICA EM GERAL, VIGÊNCIA: 31/01/2019 A 31/01/2020.
2019NE00079;2/2016;31/01/2019;2568,0;Ativo;3º TERMO ADITIVO AO CONTRATO Nº 002/2016-SEJUSC. OBJETO: PRORROGAÇÃO DO PRAZO DE VIGÊNCIA DO CONTRATO ORIGINAL DE PRESTAÇÃO DE EXECUÇÃO DE SISTEMAS SPROWEB, POR MAIS 12(DOZE) MESES, CFE CLÁUSULA OITAV
2021NE0000739;7/2021;30/09/2021;2308,04;Ativo;CT 07/21
2021NE0000738;3/2017;30/09/2021;4882,47;Ativo;CT 3/17
2019NE00194;7/2016;30/08/2019;43648,48;Ativo;Atender despesas com a prorrogação do 3º termo aditivo ao CT 07/2019 por mais 12(doze) meses.
2020NE00340;;30/07/2020;8756,56;Ativo;Anulação de empenho para ajustes na descrição e valor empenhado.
