id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
140858;140858;7/2020;04/2023;81855,48;Emitida;FORTE;144
141604;141604;7/2020;05/2023;81855,48;Emitida;FORTE;144
143109;143109;7/2020;07/2023;81855,48;Emitida;FORTE;144
143896;143896;7/2020;08/2023;81855,48;Emitida;FORTE;144
134664;31287;7/2020;08/2022;71414,73;Emitida;COMPLETA;144
135352;32113;7/2020;09/2022;71414,73;Emitida;COMPLETA;144
136061;32650;7/2020;10/2022;71414,73;Emitida;COMPLETA;144
136733;33329;7/2020;11/2022;71414,73;Emitida;COMPLETA;144
137362;33943;7/2020;12/2022;71414,73;Emitida;FORTE;144
127563;24440;7/2020;10/2021;65841,84;Emitida;COMPLETA;144
128310;25228;7/2020;11/2021;65841,84;Emitida;FORTE;144
128986;25805;7/2020;12/2021;65841,84;Emitida;COMPLETA;144
117591;15045;58/2020;05/2020;65456,8;Emitida;FORTE;1
117585;15041;58/2020;04/2020;65456,8;Emitida;MEDIA;0
117892;15382;7/2020;06/2020;65456,8;Emitida;FORTE;144
118313;15689;7/2020;07/2020;65456,8;Emitida;FORTE;144
134665;31288;7/2020;08/2022;50799,95;Emitida;FORTE;144
135353;32112;7/2020;09/2022;50799,95;Emitida;COMPLETA;144
136062;32649;7/2020;10/2022;50799,95;Emitida;COMPLETA;144
136734;33328;7/2020;11/2022;50799,95;Emitida;FORTE;144
137363;33945;7/2020;12/2022;50799,95;Emitida;COMPLETA;144
140859;37278;7/2020;04/2023;50799,95;Emitida;COMPLETA;144
141569;37955;7/2020;05/2023;50799,95;Emitida;COMPLETA;144
143110;39320;7/2020;07/2023;50799,95;Emitida;FORTE;144
143897;40039;7/2020;08/2023;50799,95;Emitida;COMPLETA;144
100407;25786;12/2016;11/2017;46261,48;Emitida;COMPLETA;63
100849;26197;12/2016;12/2017;46261,48;Emitida;COMPLETA;63
127561;24442;7/2020;10/2021;45063,02;Emitida;COMPLETA;144
128308;25230;7/2020;11/2021;45063,02;Emitida;FORTE;144
128984;25806;7/2020;12/2021;45063,02;Emitida;COMPLETA;144
117890;15384;7/2020;06/2020;41882,0;Emitida;FORTE;144
118311;15687;7/2020;07/2020;41882,0;Emitida;FORTE;144
117589;15046;58/2020;05/2020;39639,71;Emitida;COMPLETA;1
117586;15042;58/2020;04/2020;39639,71;Emitida;MEDIA;0
105918;3943;12/2016;09/2018;36787,61;Emitida;FORTE;63
106364;4437;12/2016;10/2018;36787,61;Emitida;FORTE;63
106993;5011;12/2016;11/2018;36787,61;Emitida;FORTE;63
107505;5431;12/2016;12/2018;36787,61;Emitida;FORTE;63
105919;3942;12/2016;09/2018;30211,78;Emitida;FORTE;63
106365;4439;12/2016;10/2018;30211,78;Emitida;FORTE;63
106994;5014;12/2016;11/2018;30211,78;Emitida;FORTE;63
107506;5433;12/2016;12/2018;30211,78;Emitida;COMPLETA;63
113985;11602;12/2016;11/2019;25353,17;Emitida;FORTE;63
114697;12178;12/2016;12/2019;25353,17;Emitida;FORTE;63
115252;12692;12/2016;01/2020;25353,17;Emitida;FORTE;63
91337;17293;242/2015;01/2016;24813,96;Emitida;COMPLETA;4
99969;25351;12/2016;10/2017;19198,8;Emitida;COMPLETA;63
100405;25784;12/2016;11/2017;19198,8;Emitida;COMPLETA;63
100847;26195;12/2016;12/2017;19198,8;Emitida;COMPLETA;63
140857;37276;7/2020;04/2023;2263,06;Emitida;FORTE;144
141567;37954;7/2020;05/2023;2263,06;Emitida;COMPLETA;144
143108;39319;7/2020;07/2023;2263,06;Emitida;COMPLETA;144
143895;40037;7/2020;08/2023;2263,06;Emitida;FORTE;144
140860;37277;7/2020;04/2023;1476,64;Emitida;COMPLETA;144
141570;37956;7/2020;05/2023;1476,64;Emitida;COMPLETA;144
143111;39321;7/2020;07/2023;1476,64;Emitida;COMPLETA;144
143898;40038;7/2020;08/2023;1476,64;Emitida;COMPLETA;144
140862;37279;7/2021;04/2023;1212,1;Emitida;COMPLETA;71
