numero;contrato;data_emissao;valor;situacao;descricao
2020NE00363;;31/12/2020;9000,0;Ativo;Cancelamento por força do Decreto de nº 43.042 de 18 de Novembro de 2020.
2020NE00361;;31/12/2020;3856,14;Ativo;Cancelamento por força do Decreto de nº 43.042 de 18 de Novembro de 2020.
2021NE00221;9/2019;31/05/2021;247000,0;Ativo;3º Termo Aditivo ao Contrato 009/2019 - PRODAM RH
2017NE00270;10/2014;31/05/2017;174000,0;Ativo;NE 270 DE 31/05/2017 NO VALOR DE R$ 174.000,00 4º TERMO ADITIVO AO CONTRATO 10/2014 - CFPP SUPRESSÃO DE 12,99%
2017NE00270;10/2014;31/05/2017;174000,0;Ativo;4º Termo Aditivo ao Contrato 10/2014 - CFPP - Prorrogação de prazo por 12 meses.
2016NE00238;10/2014;31/05/2016;150000,0;Ativo;NE 238 DE 31/05/2016 R$ 150.000,00 - 2º Termo Aditivo ao Contrato 10/2014 - CFPP
2014NE00038;2/2014;31/01/2014;22000,0;Ativo;Contrato No. 2/2014 - Serviços Eventuais
2019NE00535;;30/12/2019;3646,7;Ativo;ANULAÇÃO DO SALDO DA NOTA DE EMPENHO Nº 2019NE00018, CONFORME ESTABELECIDO PELO DECRETO Nº 41.554, DE 26 DE NOVEMBRO DE 2019, EM SEU ARTIGO. 3º.- ANEXO ÚNICO.
2024NE0000325;2/2020;30/08/2024;1439,73;Ativo;Contratação para prestação de serviços de Protocolo em Plataforma WEB(SPROWEB), p/ atender as necessidades de registro eletrônico, acesso a localização e disp. de histórico de trâmites de doc. e proce
2019NE00329;;30/07/2019;1581,36;Ativo;SERVIÇO DE CONTRATAÇÃO DE SITE DESTA SEMA
2025NE0000160;2/2025;30/04/2025;2748,84;Ativo;Contratação para prestação de serviços de Protocolo em Plataforma WEB(SPROWEB), p/ atender as necessidades de registro eletrônico, acesso a localização e disp. de histórico de trâmites de doc. e proce
2019NE00136;4/2018;30/04/2019;16990,07;Ativo;contratação de serviço de acesso a internet.
