id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
165509;60316;7/2023;12/2025;776814,69;Emitida;COMPLETA;29
155724;50916;7/2023;12/2024;679938,71;Emitida;FORTE;29
121314;18476;9/2019;12/2020;465404,58;Emitida;COMPLETA;116
164760;59694;7/2023;11/2025;445615,44;Emitida;COMPLETA;29
163832;58814;7/2023;10/2025;439209,02;Emitida;COMPLETA;29
129504;26298;9/2019;12/2021;424595,97;Emitida;FORTE;116
155111;50282;7/2023;11/2024;389549,95;Emitida;COMPLETA;29
165653;60572;17/2025;12/2025;213718,26;Emitida;COMPLETA;1
167399;1690;1/2026;03/2026;40389,92;Emitida;FORTE;4
167398;1689;1/2026;02/2026;25580,28;Emitida;FORTE;4
146786;42587;38/2023;12/2023;13494,72;Emitida;COMPLETA;34
164660;59563;9/2021;11/2025;3922,88;Emitida;COMPLETA;12
146213;42241;2/2020;12/2023;1439,73;Emitida;COMPLETA;127
