Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
SEMIG;Certificado Digital;003/2024;150429;05/2024;943,71;653 dias;0,00;Suspenso;TramitarReverter Status
SEMIG;Fornecimento de circuito de transmissão de dados;003/2024;155179;12/2024;212,33;470 dias;0,00;Suspenso;TramitarReverter Status
SEMIG;Licença de uso de VPN;003/2024;160607;06/2025;369,62;260 dias;0,00;Suspenso;TramitarReverter Status
SEMIG;Assistência Técnica em Informática;003/2024;160606;06/2025;48.438,75;260 dias;0,00;Suspenso;TramitarReverter Status
SEMIG;Hospedagem de Servidores;003/2024;160605;06/2025;5.457,96;260 dias;0,00;Suspenso;TramitarReverter Status
SEMIG;Licença de uso de sistemas de informação;003/2024;160609;06/2025;2.036,21;260 dias;0,00;Suspenso;TramitarReverter Status
SEMIG;Acesso Gerenciado à Rede Mundial;003/2024;160610;06/2025;6.455,44;260 dias;0,00;Suspenso;TramitarReverter Status
SEMIG;Licença de uso de sistemas de informação;003/2024;160611;06/2025;2.847,29;260 dias;0,00;Suspenso;TramitarReverter Status
SEMIG;Fornecimento de circuito de transmissão de dados;003/2024;160608;06/2025;3.007,15;260 dias;0,00;Suspenso;TramitarReverter Status
SEMIG;Licença de uso de VPN;003/2024;161467;07/2025;369,62;230 dias;0,00;Suspenso;TramitarReverter Status
SEMIG;Licença de uso de sistemas de informação;003/2024;161471;07/2025;2.847,29;230 dias;0,00;Suspenso;TramitarReverter Status
SEMIG;Acesso Gerenciado à Rede Mundial;003/2024;161470;07/2025;6.455,44;230 dias;0,00;Suspenso;TramitarReverter Status
SEMIG;Assistência Técnica em Informática;003/2024;161466;07/2025;48.438,75;230 dias;0,00;Suspenso;TramitarReverter Status
SEMIG;Fornecimento de circuito de transmissão de dados;003/2024;161468;07/2025;3.007,15;230 dias;0,00;Suspenso;TramitarReverter Status
SEMIG;Licença de uso de sistemas de informação;003/2024;161469;07/2025;2.036,21;230 dias;0,00;Suspenso;TramitarReverter Status
SEMIG;Hospedagem de Servidores;003/2024;161465;07/2025;5.457,96;230 dias;0,00;Suspenso;TramitarReverter Status
SEMIG;Fornecimento de circuito de transmissão de dados;003/2024;165026;12/2025;3.007,15;100 dias;0,00;Suspenso;TramitarReverter Status
SEMIG;Acesso Gerenciado à Rede Mundial;003/2024;165028;12/2025;6.455,44;100 dias;0,00;Suspenso;TramitarReverter Status
SEMIG;Licença de uso de sistemas de informação;003/2024;165029;12/2025;2.847,29;100 dias;0,00;Suspenso;TramitarReverter Status
SEMIG;Assistência Técnica em Informática;003/2024;165024;12/2025;48.438,75;100 dias;0,00;Suspenso;TramitarReverter Status
SEMIG;Licença de uso de sistemas de informação;003/2024;165027;12/2025;2.036,21;100 dias;0,00;Suspenso;TramitarReverter Status
SEMIG;Hospedagem de Servidores;003/2024;165023;12/2025;5.457,96;100 dias;0,00;Suspenso;TramitarReverter Status
SEMIG;Licença de uso de VPN;003/2024;165025;12/2025;369,62;100 dias;0,00;Suspenso;TramitarReverter Status
