numero;contrato;data_emissao;valor;situacao;descricao
2026NE0000078;3/2024;27/03/2026;71299,91;Ativo;CT - Prestação de Serviços de Tecnologia da Informação e Comunicação (TIC) para atender às necessidades da Secretaria de Estado - SEMIG. TC: 0003/2024 AD: 02.
2024NE0000068;3/2024;25/04/2024;65527,02;Ativo;CT - Prestação de Serviços de Tecnologia da Informação e Comunicação (TIC) para atender às necessidades da Secretaria de Estado - SEMIG.
2024NE0000066;3/2024;24/04/2024;2516,56;Ativo;CT - Prestação de Serviços de Tecnologia da Informação e Comunicação (TIC) para atender às necessidades da Secretaria de Estado - SEMIG.
2026NE0000002;3/2024;22/01/2026;205875,21;Ativo;CT - Prestação de Serviços de Tecnologia da Informação e Comunicação (TIC) para atender às necessidades da Secretaria de Estado - SEMIG. TC: 0003/2024 AD: 01.
2025NE0000010;;22/01/2025;131054,04;Ativo;Anulação para atualização de ndata de emissão de NE.
2025NE0000009;3/2024;22/01/2025;131054,04;Ativo;CT - Prestação de Serviços de Tecnologia da Informação e Comunicação (TIC) para atender às necessidades da Secretaria de Estado - SEMIG.
2025NE0000270;3/2024;15/09/2025;274500,12;Ativo;CT - Prestação de Serviços de Tecnologia da Informação e Comunicação (TIC) para atender às necessidades da Secretaria de Estado - SEMIG. TC: 0003/2024 AD: 01.
2025NE0000076;3/2024;13/03/2025;314,58;Ativo;CT - Prestação de Serviços de Tecnologia da Informação e Comunicação (TIC) para atender às necessidades da Secretaria de Estado - SEMIG.
2025NE0000075;3/2024;13/03/2025;98290,55;Ativo;CT - Prestação de Serviços de Tecnologia da Informação e Comunicação (TIC) para atender às necessidades da Secretaria de Estado - SEMIG.
2024NE0000277;3/2024;10/10/2024;259932,38;Ativo;CT - Prestação de Serviços de Tecnologia da Informação e Comunicação (TIC) para atender às necessidades da Secretaria de Estado - SEMIG.
2024NE0000276;3/2024;10/10/2024;67702,72;Ativo;CT - Prestação de Serviços de Tecnologia da Informação e Comunicação (TIC) para atender às necessidades da Secretaria de Estado - SEMIG.
2024NE0000159;3/2024;10/07/2024;131054,04;Ativo;CT - Prestação de Serviços de Tecnologia da Informação e Comunicação (TIC) para atender às necessidades da Secretaria de Estado - SEMIG.
2025NE0000095;3/2024;09/04/2025;68625,03;Ativo;CT - Prestação de Serviços de Tecnologia da Informação e Comunicação (TIC) para atender às necessidades da Secretaria de Estado - SEMIG. TC: 0003/2024 AD: 01.
2024NE00057;3/2024;09/04/2024;314,57;Ativo;Serviço em TI
2024NE00056;3/2024;09/04/2024;32763,51;Ativo;Serviço em TI
2024NE0000057;3/2024;09/04/2024;314,57;Ativo;CT - Prestação de Serviços de Tecnologia da Informação e Comunicação (TIC) para atender às necessidades da Secretaria de Estado - SEMIG.
2024NE0000056;3/2024;09/04/2024;32763,51;Ativo;CT - Prestação de Serviços de Tecnologia da Informação e Comunicação (TIC) para atender às necessidades da Secretaria de Estado - SEMIG.
2025NE0000132;3/2024;08/05/2025;137250,06;Ativo;CT - Prestação de Serviços de Tecnologia da Informação e Comunicação (TIC) para atender às necessidades da Secretaria de Estado - SEMIG. TC: 0003/2024 AD: 01.
2025NE0000208;3/2024;07/07/2025;45741,61;Ativo;CT - Prestação de Serviços de Tecnologia da Informação e Comunicação (TIC) para atender às necessidades da Secretaria de Estado - SEMIG. TC: 0003/2024 AD: 01.
2025NE0000251;3/2024;05/08/2025;137250,06;Ativo;CT - Prestação de Serviços de Tecnologia da Informação e Comunicação (TIC) para atender às necessidades da Secretaria de Estado - SEMIG. TC: 0003/2024 AD: 01.
2025NE0000013;3/2024;02/01/2025;131054,04;Ativo;CT - Prestação de Serviços de Tecnologia da Informação e Comunicação (TIC) para atender às necessidades da Secretaria de Estado - SEMIG.
2025NE0000011;3/2024;02/01/2025;629,14;Ativo;CT - Prestação de Serviços de Tecnologia da Informação e Comunicação (TIC) para atender às necessidades da Secretaria de Estado - SEMIG.
