id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
160606;55669;3/2024;06/2025;48438,75;Emitida;COMPLETA;119
161466;56466;3/2024;07/2025;48438,75;Emitida;COMPLETA;119
165024;59925;3/2024;12/2025;48438,75;Emitida;COMPLETA;119
167401;167401;3/2024;04/2026;16146,25;Emitida;FORTE;119
160610;55672;3/2024;06/2025;6455,44;Emitida;COMPLETA;119
161470;56465;3/2024;07/2025;6455,44;Emitida;COMPLETA;119
165028;59922;3/2024;12/2025;6455,44;Emitida;COMPLETA;119
160605;55670;3/2024;06/2025;5457,96;Emitida;FORTE;119
161465;56464;3/2024;07/2025;5457,96;Emitida;COMPLETA;119
165023;59920;3/2024;12/2025;5457,96;Emitida;COMPLETA;119
150429;45927;3/2024;05/2024;3774,84;Parcialmente Paga;COMPLETA;119
160608;55674;3/2024;06/2025;3007,15;Emitida;COMPLETA;119
161468;56467;3/2024;07/2025;3007,15;Emitida;COMPLETA;119
165026;59921;3/2024;12/2025;3007,15;Emitida;COMPLETA;119
155179;50320;3/2024;12/2024;2870,24;Parcialmente Paga;COMPLETA;119
160611;55673;3/2024;06/2025;2847,29;Emitida;COMPLETA;119
161471;56463;3/2024;07/2025;2847,29;Emitida;COMPLETA;119
165029;59924;3/2024;12/2025;2847,29;Emitida;COMPLETA;119
167405;167405;3/2024;04/2026;2151,81;Emitida;FORTE;119
160609;55671;3/2024;06/2025;2036,21;Emitida;COMPLETA;119
161469;56468;3/2024;07/2025;2036,21;Emitida;COMPLETA;119
165027;59926;3/2024;12/2025;2036,21;Emitida;COMPLETA;119
167400;167400;3/2024;04/2026;1819,32;Emitida;FORTE;119
167403;167403;3/2024;04/2026;1002,38;Emitida;FORTE;119
167406;167406;3/2024;04/2026;949,1;Emitida;FORTE;119
167404;167404;3/2024;04/2026;678,74;Emitida;FORTE;119
160607;55668;3/2024;06/2025;369,62;Emitida;COMPLETA;119
161467;56462;3/2024;07/2025;369,62;Emitida;COMPLETA;119
165025;59923;3/2024;12/2025;369,62;Emitida;COMPLETA;119
167402;167402;3/2024;04/2026;123,21;Emitida;FORTE;119
