numero;contrato;data_emissao;valor;situacao;descricao
2016NE01074;;30/12/2016;3118,8;Ativo;CANCELAMENTO DE SALDO DO EMPENHO N° 064/2016, DEVIDO ENCERRAMENTO DO EXERCÍCIO FINANCEIRO, CONFORME ORIENTAÇÃO DO ÓRGÃO CENTRALIZADOR (SEFAZ).
2016NE01075;;30/12/2016;901,96;Ativo;CANCELAMENTO DE SALDO DO EMPENHO N° 338/2016, DEVIDO ENCERRAMENTO DO EXERCÍCIO FINANCEIRO, CONFORME ORIENTAÇÃO DO ÓRGÃO CENTRALIZADOR (SEFAZ).
2016NE01076;;30/12/2016;2625,72;Ativo;CANCELAMENTO DE SALDO DO EMPENHO N° 517/2016, DEVIDO ENCERRAMENTO DO EXERCÍCIO FINANCEIRO, CONFORME ORIENTAÇÃO DO ÓRGÃO CENTRALIZADOR (SEFAZ).
2016NE01078;;30/12/2016;4349,48;Ativo;CANCELAMENTO DE SALDO DO EMPENHO N° 911/2016, DEVIDO ENCERRAMENTO DO EXERCÍCIO FINANCEIRO, CONFORME ORIENTAÇÃO DO ÓRGÃO CENTRALIZADOR (SEFAZ).
2016NE01079;;30/12/2016;1475,29;Ativo;CANCELAMENTO DE SALDO DO EMPENHO N° 913/2016, DEVIDO ENCERRAMENTO DO EXERCÍCIO FINANCEIRO, CONFORME ORIENTAÇÃO DO ÓRGÃO CENTRALIZADOR (SEFAZ).
2017NE01038;11/2016;30/11/2017;1554,66;Ativo;Reforço da NE n° 398/2017 referente ao 1° Termo Aditivo ao Contrato n° 11/2016-SEPROR, com vigência de 23/05/2017 até 22/05/2018, cujo objeto é Contratação de Empresa especializada em desenvolvimento 
2017NE01042;8/2016;30/11/2017;17640,0;Ativo;Prorrogação por mais 12 meses e supressão de 2% do contrato inicial.
2017NE01039;6/2017;30/11/2017;1642,29;Ativo;Contratação de empresa especializada na construção de circuito de fibra óptica para instalar link de acesso a rede mundial e fornecimento de acesso a rede METROMAO.
2017NE01041;12/2016;30/11/2017;3070,24;Ativo;PRORROGAÇÃO DO PRAZO DE VIGÊNCIA POR MAIS 12 MESES E REAJUSTE DE 3,36% NO SERVIÇO DE CESSÃO DE LICENÇA DE USO DO SISTEMA SGTI- CHAMADAS, FERRAMENTA PARA DAR SUPORTE À GESTÃO DE DEMANDAS EXTERNAS E INT
2025NE0000900;6/2021;30/10/2025;5026,28;Ativo;Contratação de empresa especializada no serviço de licença de informação - GERWEB (Gestor de Conteúdo Web). TC: 0006/2021 AD: 04.
2025NE0000901;2/2024;30/10/2025;2579,92;Ativo;Contratação de empresa especializada na prestação de serviços de Sistema de Protocolo via Web - (SPROWEB). TC: 0002/2024 AD: 01.
2025NE0000899;4/2021;30/10/2025;19500,0;Ativo;Contratação de empresa especializada na prestação de serviços de acesso gerenciado a Rede Mundial, conforme PARECER N.º 081/2023. TC: 0004/2021 AD: 06.
2025NE0000902;4/2022;30/10/2025;6327,94;Ativo;Contratação de empresa especializada no fornecimento de serviços de manutenção e acesso da Rede Metropolitana Manaus - REPAM/METROMAO. Funcionando como link principal no acesso aos serviços prestados.
2023NE0001603;3/2019;30/10/2023;1189,56;Ativo;Contratação de empresa especializada para a prestação de execução de sistema para o processamento de protocolo plataforma web (SPROWEB). TC: 0003/2019 AD: 04.
2023NE0001601;4/2022;30/10/2023;2916,1;Ativo;Contratação de empresa especializada no fornecimento de serviços de manutenção e acesso da Rede Metropolitana Manaus - REPAM/METROMAO. Funcionando como link principal no acesso aos serviços prestados.
2023NE0001600;6/2021;30/10/2023;2317,54;Ativo;Contratação de empresa especializada no serviço de licença de informação - GERWEB (Gestor de Conteúdo Web). TC: 006/2021 AD: 02.
2023NE0001602;4/2021;30/10/2023;12064,5;Ativo;Contratação de empresa especializada na prestação de serviços de acesso gerenciado a Rede Mundial, conforme PARECER N.º 081/2023. TC: 004/2021 AD: 02.
2025NE0000789;4/2022;30/09/2025;3163,97;Ativo;Contratação de empresa especializada no fornecimento de serviços de manutenção e acesso da Rede Metropolitana Manaus - REPAM/METROMAO. Funcionando como link principal no acesso aos serviços prestados.
2025NE0000787;2/2024;30/09/2025;1289,96;Ativo;Contratação de empresa especializada na prestação de serviços de Sistema de Protocolo via Web - (SPROWEB). TC: 0002/2024 AD: 01.
2025NE0000785;4/2021;30/09/2025;9750,0;Ativo;Contratação de empresa especializada na prestação de serviços de acesso gerenciado a Rede Mundial, conforme PARECER N.º 081/2023. TC: 0004/2021 AD: 06.
