Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
SES;Execução de sistemas;081/2010;88373;05/2015;104.884,80;3936 dias;0,00;Suspenso;TramitarReverter Status
SES;Execução de sistemas;081/2010;88593;06/2015;104.884,80;3913 dias;0,00;Suspenso;TramitarReverter Status
SES;Desenvolvimento de Sistemas de Informação;116/2013;89871;09/2015;56.764,21;3818 dias;0,00;Suspenso;TramitarReverter Status
SES;Execução de sistemas;081/2010;89900;09/2015;104.884,80;3817 dias;0,00;Suspenso;TramitarReverter Status
SES;Desenvolvimento de Sistemas de Informação;116/2013;90291;10/2015;56.764,21;3789 dias;0,00;Suspenso;TramitarReverter Status
SES;Execução de sistemas;081/2010;90389;10/2015;104.884,80;3787 dias;0,00;Suspenso;TramitarReverter Status
SES;Serviços de Firewall;002/2015;90648;11/2015;21.011,68;3760 dias;0,00;Suspenso;TramitarReverter Status
SES;Consultoria em informática;116/2013;90644;11/2015;38.949,96;3760 dias;0,00;Suspenso;TramitarReverter Status
SES;Desenvolvimento de Sistemas de Informação;116/2013;90643;11/2015;56.764,21;3760 dias;0,00;Suspenso;TramitarReverter Status
SES;Consultoria em informática;116/2013;91122;12/2015;38.949,96;3727 dias;0,00;Suspenso;TramitarReverter Status
SES;Serviços de Firewall;002/2015;91127;12/2015;21.011,68;3727 dias;0,00;Suspenso;TramitarReverter Status
SES;Desenvolvimento de Sistemas de Informação;024/2016;93732;07/2016;238.723,03;3513 dias;0,00;Suspenso;TramitarReverter Status
SES;Implantação de Sistemas de Informação;024/2016;93733;07/2016;57.575,19;3513 dias;0,00;Suspenso;TramitarReverter Status
SES;Desenvolvimento de Sistemas de Informação;116/2013;94457;09/2016;56.764,21;3450 dias;0,00;Suspenso;TramitarReverter Status
SES;Desenvolvimento de Sistemas de Informação;116/2013;94453;08/2016;56.764,21;3450 dias;0,00;Suspenso;TramitarReverter Status
SES;Hospedagem de Sistemas;116/2013;94455;08/2016;58.301,61;3450 dias;0,00;Suspenso;TramitarReverter Status
SES;Hospedagem de Sistemas;116/2013;94459;09/2016;58.301,61;3450 dias;0,00;Suspenso;TramitarReverter Status
SES;Consultoria em informática;116/2013;94458;09/2016;38.949,96;3450 dias;0,00;Suspenso;TramitarReverter Status
SES;Consultoria em informática;116/2013;94454;08/2016;38.949,96;3450 dias;0,00;Suspenso;TramitarReverter Status
SES;Consultoria em informática;116/2013;94827;10/2016;38.949,96;3419 dias;0,00;Suspenso;TramitarReverter Status
SES;Desenvolvimento de Sistemas de Informação;116/2013;94826;10/2016;56.764,21;3419 dias;0,00;Suspenso;TramitarReverter Status
SES;Hospedagem de Sistemas;116/2013;94828;10/2016;58.301,61;3419 dias;0,00;Suspenso;TramitarReverter Status
SES;Consultoria em informática;248/2016;95771;12/2016;38.949,96;3360 dias;0,00;Suspenso;TramitarReverter Status
SES;Consultoria em informática;248/2016;95773;11/2016;38.949,96;3360 dias;0,00;Suspenso;TramitarReverter Status
SES;Hospedagem de Sistemas;248/2016;95775;11/2016;58.301,64;3360 dias;0,00;Suspenso;TramitarReverter Status
SES;Hospedagem de Sistemas;248/2016;95789;12/2016;58.301,64;3360 dias;0,00;Suspenso;TramitarReverter Status
