numero;contrato;data_emissao;valor;situacao;descricao
2025NE0006464;18/2021;31/10/2025;545307,06;Ativo;"=CONTRATO 018/2021 - 2º TA;=VIGÊNCIA: 14/06/2023 a 13/06/2024=SERVIÇO DE DESENVOLVIMENTO DE SISTEMAS DE INFORMAÇAO, DE ACESSO, CONSULTORIA/ASSESSORIA E PRODUCAO DE REPOSITORIOS E ARMAZENS DE DADOS (DA"
2022NE0003608;;31/08/2022;675286,06;Ativo;"=ANULAÇÃO PARCIAL; =SALDO DE EMPENHO"
2022NE0003583;;31/08/2022;51901,56;Ativo;=ANULAÇÃO PARCIAL =MOTIVO: SALDO DE EMPENHO
2026NE0001322;18/2021;31/03/2026;263934,54;Ativo;restação de serviços de desenvolvimento de sistemas de informação, serviço de acesso, consultoria/assessoria e produção de repositórios e armazéns de dados (DataWarehouse) do Governo de Estado TC: 001
2026NE0001323;21/2021;31/03/2026;289705,28;Ativo;Contratação da prestação de serviços de fornecimento de circuito de transmissão de dados com link ponto a ponto entre as unidades da SES-AM TC: 0021/2021 AD: 05.
2024NE0007167;;30/12/2024;11391,98;Ativo;ANULAÇÃO PARCIAL MOTIVO: SALDO DE EMPENHO
2024NE0007218;;30/12/2024;24672,29;Ativo;=ANULAÇAO PARCIAL DA NE =MOTIVO: SALDO DE EMPENHO
2024NE0007164;;30/12/2024;3102,7;Ativo;=ANULAÇÃO PARCIAL =MOTIVO: SALDO DED EMPENHO
2024NE0007168;;30/12/2024;8782,22;Ativo;ANULAÇÃO PARCIAL MOTIVO: SALDO DE EMPENHO
2019NE04275;;30/12/2019;471,91;Ativo;=ANULAÇÃO PARCIAL DA NE =MOTIVO: SALDO DE EMPENHO =ENCERRAMENTO DO EXERCICIO - DECRETO 41.554/2019
2025NE0005682;21/2021;30/09/2025;297701,3;Ativo;Contratação da prestação de serviços de fornecimento de circuito de transmissão de dados com link ponto a ponto entre as unidades da SES-AM TC: 0021/2021 AD: 03.
2022NE0004146;18/2021;30/09/2022;638786,27;Ativo;REFORÇO
2021NE0003457;5/2021;30/09/2021;34245,6;Ativo;= REFORÇO DA NE 01057/2021 AO TERMO AO CONTRATO DE PRESTAÇÃO DE SERVIÇOS DE INFORMÁTICA Nº 005/2021 - SES-AM
2020NE02925;;30/09/2020;244342,56;Ativo;"=DESPESA SEM COBERTURA CONTRATUAL; =RI: 00384/2020; =SERVIÇO DE FIREWALL, TRANSMISSÃO DE DADOS E ACESSO GERENCIADO A REDE MUNDIAL; =ICAM, PSC ZONA OESTE E ZONA SUL, CENTRAL DE REGULAÇÃO, 28 DE AGOSTO,"
2015NE02920;116/2013;30/07/2015;154015,78;Ativo;2º Termo Aditivo ao Contrato 116/2013 NE 2920 DE 30/07/2015 R$ 154.015,78
2015NE02922;116/2013;30/07/2015;154015,78;Ativo;=ANULAÇÃO TOTAL DA NOTA DE EMPENHO =MOTIVO: AJUSTE ORÇAMENTARIO
2014NE02164;51/2008;30/06/2014;22211,31;Ativo;Contrato No. 51/2008 - Complexo Regulador
2014NE02177;52/2008;30/06/2014;296355,56;Ativo;Contrato No. 52/2008 - Instalação de Links nas unidades de Saíde
2025NE0003011;;30/05/2025;31920,75;Ativo;=ANULAÇÃO PARCIAL DA NE 0014/25 =MOTIVO: SALDO DE EMPENHO
2025NE0003009;;30/05/2025;370149,81;Ativo;=ANULAÇÃO PARCIAL DA NE 0008/25 =MOTIVO: SALDO DE EMPENHO
2025NE0002172;18/2024;30/04/2025;146012,35;Ativo;Contratação de pessoa jurídica especializada para prestação de serviços PRODAM-RH a fim de atender as necessidades da Secretaria de Estado de Saúde – SES/AM
2025NE0002175;5/2021;30/04/2025;36112,42;Ativo;Contratação da prestação de serviço de hospedagem de servidores em ambiente de máquinas virtuais em nuvem, a fim de atender às necessidades de Tecnologia da Informação da Secretaria de Saúde. TC: 0005
2014NE01495;51/2008;30/04/2014;22211,31;Ativo;Contrato No. 51/2008 - Complexo Regulador
2014NE01496;52/2008;30/04/2014;296355,56;Ativo;Contrato No. 52/2008 - Instalação de Links nas unidades de Saíde
2022NE0006062;;29/12/2022;13455,96;Ativo;"=ANULAÇÃO PARCIAL; =ENCERRAMENTO DO EXERCÍCIO, CONFORME DECRETO Nº 46.621 DE 11/11/2022."
2022NE0006059;;29/12/2022;17300,52;Ativo;"=ANULAÇÃO PARCIAL; =ENCERRAMENTO DO EXERCÍCIO, CONFORME DECRETO Nº 46.621 DE 11/11/2022."
2022NE0006079;;29/12/2022;2819,34;Ativo;"=ANULAÇÃO PARCIAL; =ENCERRAMENTO DO EXERCÍCIO, CONFORME DECRETO Nº 46.621 DE 11/11/2022."
2022NE0006071;;29/12/2022;8054,42;Ativo;"=ANULAÇÃO PARCIAL; =ENCERRAMENTO DO EXERCÍCIO, CONFORME DECRETO Nº 46.621 DE 11/11/2022."
2022NE0006069;;29/12/2022;7689,12;Ativo;"=ANULAÇÃO PARCIAL; =ENCERRAMENTO DO EXERCÍCIO, CONFORME DECRETO Nº 46.621 DE 11/11/2022."
2022NE0006077;;29/12/2022;8183,52;Ativo;"=ANULAÇÃO PARCIAL; =ENCERRAMENTO DO EXERCÍCIO, CONFORME DECRETO Nº 46.621 DE 11/11/2022."
2022NE0006081;;29/12/2022;17028,37;Ativo;"=ANULAÇÃO PARCIAL; =ENCERRAMENTO DO EXERCÍCIO, CONFORME DECRETO Nº 46.621 DE 11/11/2022."
2022NE0006065;;29/12/2022;9611,4;Ativo;"=ANULAÇÃO PARCIAL; =ENCERRAMENTO DO EXERCÍCIO, CONFORME DECRETO Nº 46.621 DE 11/11/2022."
2017NE04135;;29/12/2017;6485,3;Ativo;"=ANULAÇÃO TOTAL; =EM DECORRÊNCIA DO ENCERRAMENTO DO EXERCÍCIO FINANCEIRO."
2017NE04189;2/2015;29/12/2017;254621,91;Ativo;CONTRATAÇÃO DOS SERVIÇOS DE INFORMÁTICA COMUNICAÇÃO DE DADOS E REDES
2017NE04136;;29/12/2017;6485,3;Ativo;"=ANULAÇÃO TOTAL; =EM DECORRÊNCIA DO ENCERRAMENTO DO EXERCÍCIO FINANCEIRO."
2025NE0006407;21/2021;29/10/2025;304085,45;Ativo;"=SEGUNDO TERMO ADITIVO AO CONTRATO N. 021/2021;=VIGÊNCIA: 12/08/2023 A 11/08/2024; =FORNECIMENTO DE CIRCUITO DE TRANSMISSÃO DE DADOS COM LINK PONTO A PONTO, ACESSO GERENCIADO À REDE MUNDIAL, SERVIÇO D"
2025NE0006429;5/2021;29/10/2025;36112,42;Ativo;"=SEGUNDO TERMO ADITIVO AO CONTRATO 005/2021;=VIGÊNCIA: 08/02/2023 A 07/02/2024; =SERVIÇOS DE HOSPEDAGEM DE SERVIDORES EM AMBIENTE DE MÁQUINAS VIRTUAIS EM NUVEM; =SES/AM; =PERÍODO: 01/12/2023 A 31/12/2"
2025NE0006408;18/2021;29/10/2025;544872,49;Ativo;"=CONTRATO 018/2021 - 2º TA;=VIGÊNCIA: 14/06/2023 a 13/06/2024=SERVIÇO DE DESENVOLVIMENTO DE SISTEMAS DE INFORMAÇAO, DE ACESSO, CONSULTORIA/ASSESSORIA E PRODUCAO DE REPOSITORIOS E ARMAZENS DE DADOS (DA"
2025NE0006419;5/2021;29/10/2025;36112,42;Ativo;"=SEGUNDO TERMO ADITIVO AO CONTRATO 005/2021;=VIGÊNCIA: 08/02/2023 A 07/02/2024; =SERVIÇOS DE HOSPEDAGEM DE SERVIDORES EM AMBIENTES DE MÁQUNAS ESPECIALIZADAS VIRTUAIS EM NUVEM, AFIM DE ATENDER AS NECES"
2022NE0004104;54/2018;29/09/2022;146012,35;Ativo;prestação de Serviços PRODAM-RH visando manter o cadastro servidores e folha de pagamento de pessoal, processar folha de pagamento e fornecer relatórios para efetivação de pagamento
2014NE03705;81/2010;29/09/2014;104884,8;Ativo;Contrato No. 81/2010 - CFPP - Cadastro e Folha de Pagamento de Pessoal
2025NE0002978;18/2024;29/05/2025;146012,35;Ativo;Contratação de pessoa jurídica especializada para prestação de serviços PRODAM-RH a fim de atender as necessidades da Secretaria de Estado de Saúde – SES/AM
2025NE0002967;18/2021;29/05/2025;663084,71;Ativo;restação de serviços de desenvolvimento de sistemas de informação, serviço de acesso, consultoria/assessoria e produção de repositórios e armazéns de dados (DataWarehouse) do Governo de Estado TC: 001
2025NE0002066;;29/04/2025;721621,43;Ativo;"=ANULAÇAO PARCIAL DA NE 0008/2025; =MOTIVO: SALDO DE EMPENHO"
2025NE0002068;;29/04/2025;74107,52;Ativo;"=ANULAÇAO PARCIAL DA NE 0014/2025; =MOTIVO: SALDO DE EMPENHO"
2025NE0002120;18/2021;29/04/2025;663084,71;Ativo;restação de serviços de desenvolvimento de sistemas de informação, serviço de acesso, consultoria/assessoria e produção de repositórios e armazéns de dados (DataWarehouse) do Governo de Estado TC: 001
2025NE0002114;21/2021;29/04/2025;315103,97;Ativo;Contratação da prestação de serviços de fornecimento de circuito de transmissão de dados com link ponto a ponto entre as unidades da SES-AM TC: 0021/2021 AD: 03.
2022NE0000903;5/2021;29/03/2022;34245,6;Ativo;=REFORÇO DA NE 240/22 REF. AO PRIMEIRO TERMO ADITIVO DO CONTRATO 005/2021 =MES: MARÇO/22
2021NE0000938;;29/03/2021;281933,72;Ativo;"=DESPESA SEM COBERTURA CONTRATUAL; =PRESTAÇÃO DE SERVIÇOS DE FIREWALL, ACESSO À REDE MUNDIAL, FORNECIMENTO DE CIRCUITO DE TRANSMISSÃO DE DADOS; =69 UNIDADES DE SAÚDE, CEMA, PRÉDIO DO COMPLEXO REGULADO"
2024NE0000860;5/2021;29/02/2024;36112,42;Ativo;"=SEGUNDO TERMO ADITIVO AO CONTRATO 005/2021;=VIGÊNCIA: 08/02/2023 A 07/02/2024; =SERVIÇO DE HOSPEDAGEM DE SERVIDORES EM AMBIENTE DE MAQUINAS VIRTUAIS EM NUVEM, A FIM DE ATENDER AS NECESSIDADES DE AMPL"
2018NE05951;;28/12/2018;191268,1;Ativo;ANULAÇÃO DO SALDO DE EMPENHO, PARA AJUSTE ORÇAMENTARIO E EM CUMPRIMENTO AO ART. 42 DA LRF.
2018NE05953;;28/12/2018;33572,35;Ativo;=ANULAÇÃO DO SALDO, PARA AJUSTE ORÇAMENTÁRIO E EM CUMPRIMENTO AO ART 42 DA LRF.
2018NE06283;;28/12/2018;17600,0;Ativo;CANCELAMENTO DE SALDO DE EMPENHO A LIQUIDAR PARA AJUSTE ORÇAMENTÁRIO DE ENCERRAMENTO DO EXERCÍCIO DE 2018, EM CUMPRIMENTO AO ART. 42 DA LEI FEDERAL Nº 101/2000 (LEI DE RESPONSABILIDADE FISCAL.
2018NE05950;;28/12/2018;1049,88;Ativo;=ANULAÇÃO DO SALDO, PARA AJUSTE ORÇAMENTÁRIO E EM CUMPRIMENTO AO ART 42 DA LRF.
2018NE05988;;28/12/2018;34621,28;Ativo;=ANULAÇÃO DO SALDO, PARA AJUSTE ORÇAMENTÁRIO E EM CUMPRIMENTO AO ART. 42 DA LRF.
2017NE04057;;28/12/2017;254621,91;Ativo;"=ANULAÇÃO TOTAL; =AJUSTE ORÇAMENTÁRIO (FONTE)"
2016NE03497;;28/12/2016;4599,03;Ativo;=ANULAÇÃO TOTAL DA NOTA DE EMPENHO =MOTIVO:ENCERRAMENTO DO EXERCICIO
2016NE03494;;28/12/2016;11873,5;Ativo;=ANULAÇÃO TOTAL DA NOTA DE EMPENHO =MOTIVO:ENCERRAMENTO DO EXERCICIO
2025NE0007413;21/2021;28/11/2025;304085,45;Ativo;"=SEGUNDO TERMO ADITIVO AO CONTRATO 021/2021;=VIGÊNCIA: 12/08/2023 A 11/08/2024;=FORNECIMENTO DE CIRCUITO DE TRANSMISSÃO DE DADOS COM LINK PONTO A PONTO, ACESSO GERENCIADO À REDE MUNDIAL, SERVIÇO DE MA"
2025NE0007414;5/2021;28/11/2025;34245,6;Ativo;"= TERMO ADITIVO AO CONTRATO 005/2021;=VIGÊNCIA: 08/02/2021 A 07/02/2022;=SERVIÇOS DE HOSPEDAGEM DE SERVIDORES EM AMBIENTE DE MÁQUINAS VIRTUAIS EM NUVEM;=SES/AM; =PERÍODO: DEZEMBRO /2021"
2022NE0005298;;28/11/2022;282357,31;Ativo;ANULAÇÃO PARCIAL DA NOTA DE EMPENHO MOTIVO: SALDO DE EMPENHO
2022NE0005296;;28/11/2022;129819,09;Ativo;ANULAÇÃO PARCIAL DA NOTA DE EMPENHO MOTIVO: SALDO DE EMPENHO
2022NE0005297;;28/11/2022;131397,32;Ativo;ANULAÇÃO PARCIAL DA NOTA DE EMPENHO MOTIVO: SALDO DE EMPENHO
