id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
93732;19539;24/2016;07/2016;238723,03;Emitida;COMPLETA;14
161532;56524;18/2021;07/2025;185399,5;Emitida;COMPLETA;150
127265;24146;54/2018;09/2021;165777,43;Parcialmente Paga;COMPLETA;61
163045;58034;21/2021;09/2025;160469,55;Emitida;COMPLETA;68
163914;58880;21/2021;10/2025;160469,55;Emitida;FORTE;68
161534;56526;18/2021;07/2025;151234,43;Emitida;COMPLETA;150
137096;33688;54/2018;11/2022;146012,35;Emitida;COMPLETA;61
98319;23827;2/2015;06/2017;142812,78;Emitida;COMPLETA;137
98745;24324;2/2015;07/2017;142812,78;Emitida;COMPLETA;137
99269;24703;2/2015;08/2017;142812,78;Emitida;COMPLETA;137
99701;25097;2/2015;09/2017;142812,78;Emitida;COMPLETA;137
100205;25658;2/2015;10/2017;142812,78;Emitida;COMPLETA;137
100919;26168;2/2015;12/2017;142812,78;Emitida;COMPLETA;137
126765;23739;74/2021;08/2021;139166,79;Emitida;COMPLETA;4
98321;23825;2/2015;06/2017;120187,0;Emitida;COMPLETA;137
100921;26166;2/2015;12/2017;120187,0;Emitida;COMPLETA;137
96953;22517;125/2016;03/2017;116763,54;Emitida;COMPLETA;2
161533;56525;18/2021;07/2025;114100,0;Emitida;COMPLETA;150
163136;58126;18/2021;09/2025;114100,0;Emitida;COMPLETA;150
96575;22162;125/2016;02/2017;112899,15;Emitida;COMPLETA;2
88373;14713;81/2010;05/2015;104884,8;Emitida;COMPLETA;14
88593;14924;81/2010;06/2015;104884,8;Emitida;COMPLETA;14
89900;16004;81/2010;09/2015;104884,8;Emitida;COMPLETA;14
90389;16443;81/2010;10/2015;104884,8;Emitida;COMPLETA;14
97372;22949;125/2016;04/2017;87978,2;Emitida;COMPLETA;2
98811;24323;2/2015;07/2017;84130,9;Emitida;COMPLETA;137
99271;24701;2/2015;08/2017;84130,9;Emitida;COMPLETA;137
99703;25096;2/2015;09/2017;84130,9;Emitida;COMPLETA;137
100207;25660;2/2015;10/2017;84130,9;Emitida;COMPLETA;137
102109;838;254/2017;02/2018;81848,55;Emitida;COMPLETA;1
97942;23440;125/2016;05/2017;73266,06;Emitida;COMPLETA;2
163137;58122;18/2021;09/2025;69466,03;Emitida;COMPLETA;150
163046;58039;21/2021;09/2025;66565,09;Emitida;COMPLETA;68
163915;58879;21/2021;10/2025;66565,09;Emitida;COMPLETA;68
160785;55842;18/2021;06/2025;64656,67;Emitida;COMPLETA;150
95775;21407;248/2016;11/2016;58301,64;Emitida;COMPLETA;2
95789;21422;248/2016;12/2016;58301,64;Emitida;COMPLETA;2
96479;22105;248/2016;02/2017;58301,64;Emitida;COMPLETA;2
96887;22519;248/2016;03/2017;58301,64;Emitida;COMPLETA;2
97370;22952;248/2016;04/2017;58301,64;Emitida;COMPLETA;2
97944;23443;248/2016;05/2017;58301,64;Emitida;COMPLETA;2
94455;20218;116/2013;08/2016;58301,61;Emitida;COMPLETA;20
94459;20222;116/2013;09/2016;58301,61;Emitida;COMPLETA;20
94828;20555;116/2013;10/2016;58301,61;Emitida;COMPLETA;20
93733;19540;24/2016;07/2016;57575,19;Emitida;COMPLETA;14
89871;16001;116/2013;09/2015;56764,21;Emitida;COMPLETA;20
90291;16353;116/2013;10/2015;56764,21;Emitida;COMPLETA;20
90643;16671;116/2013;11/2015;56764,21;Emitida;COMPLETA;20
94457;20221;116/2013;09/2016;56764,21;Emitida;COMPLETA;20
94453;20219;116/2013;08/2016;56764,21;Emitida;COMPLETA;20
94826;20556;116/2013;10/2016;56764,21;Emitida;COMPLETA;20
96478;22107;248/2016;02/2017;56764,21;Emitida;COMPLETA;2
96886;22520;248/2016;03/2017;56764,21;Emitida;COMPLETA;2
97371;22951;248/2016;04/2017;56764,21;Emitida;COMPLETA;2
97943;23441;248/2016;05/2017;56764,21;Emitida;COMPLETA;2
161933;56939;21/2021;08/2025;54229,44;Emitida;COMPLETA;68
160786;55844;18/2021;06/2025;51804,33;Emitida;COMPLETA;150
160750;55796;18/2021;06/2025;49109,27;Emitida;COMPLETA;150
126766;23738;74/2021;08/2021;48637,5;Emitida;COMPLETA;4
161531;56527;18/2021;07/2025;42644,0;Emitida;COMPLETA;150
160661;55737;18/2021;06/2025;39664,57;Emitida;COMPLETA;150
90644;16673;116/2013;11/2015;38949,96;Emitida;COMPLETA;20
91122;17096;116/2013;12/2015;38949,96;Emitida;COMPLETA;20
94458;20220;116/2013;09/2016;38949,96;Emitida;COMPLETA;20
94454;20217;116/2013;08/2016;38949,96;Emitida;COMPLETA;20
94827;20557;116/2013;10/2016;38949,96;Emitida;COMPLETA;20
95771;21424;248/2016;12/2016;38949,96;Emitida;COMPLETA;2
95773;21421;248/2016;11/2016;38949,96;Emitida;COMPLETA;2
96480;22106;248/2016;02/2017;38949,96;Emitida;COMPLETA;2
96888;22518;248/2016;03/2017;38949,96;Emitida;COMPLETA;2
97369;22953;248/2016;04/2017;38949,96;Emitida;COMPLETA;2
97945;23442;248/2016;05/2017;38949,96;Emitida;COMPLETA;2
162227;57236;5/2021;08/2025;35990,46;Emitida;COMPLETA;144
163041;58036;5/2021;09/2025;35990,46;Emitida;COMPLETA;144
165033;59931;5/2021;12/2025;35990,46;Emitida;FORTE;144
163048;58038;21/2021;09/2025;32504,44;Emitida;COMPLETA;68
163917;58881;21/2021;10/2025;32504,44;Emitida;COMPLETA;68
126768;23737;74/2021;08/2021;32215,44;Emitida;COMPLETA;4
161932;56938;21/2021;08/2025;31546,53;Parcialmente Paga;COMPLETA;68
163047;58040;21/2021;09/2025;30166,2;Emitida;COMPLETA;68
163916;58878;21/2021;10/2025;30166,2;Emitida;COMPLETA;68
163135;58124;18/2021;09/2025;29478,52;Emitida;FORTE;150
122703;122703;74/2021;01/2021;29001,42;Emitida;FORTE;1
98320;23826;2/2015;06/2017;22858,6;Emitida;COMPLETA;137
