numero;contrato;data_emissao;valor;situacao;descricao
2016NE00612;;30/12/2016;26,55;Ativo;ajuste orçamentário.
2016NE00613;;30/12/2016;79,65;Ativo;ajuste orçamentário.
2016NE00614;;30/12/2016;563,4;Ativo;ajuste orçamentário.
2016NE00571;4/2014;30/11/2016;193,3;Ativo;RESERVA
2016NE00563;;30/11/2016;19,55;Ativo;resrva
2016NE00564;;30/11/2016;0,3;Ativo;RESERVA
2019NE00104;3/2017;30/03/2019;981,58;Ativo;1.º (Primeiro) Termo Aditivo ao Contrato n.º 003/2017-SETRAB. Prorrogação do Prazo Objeto: Contratação de Empresa Especializada na Prestação dos Serviços de Acesso a Rede Mundial, compreendendo o aces
2019NE00106;3/2017;30/03/2019;981,58;Ativo;1.º (Primeiro) Termo Aditivo ao Contrato n.º 003/2017-SETRAB. Prorrogação do Prazo Objeto: Contratação de Empresa Especializada na Prestação dos Serviços de Acesso a Rede Mundial, compreendendo o aces
2019NE00108;3/2017;30/03/2019;2780,0;Ativo;1.º (Primeiro) Termo Aditivo ao Contrato n.º 003/2017-SETRAB. Prorrogação do Prazo Objeto: Contratação de Empresa Especializada na Prestação dos Serviços de Acesso a Rede Mundial, compreendendo o aces
2019NE00112;3/2017;30/03/2019;981,58;Ativo;1.º (Primeiro) Termo Aditivo ao Contrato n.º 003/2017-SETRAB. Prorrogação do Prazo Objeto: Contratação de Empresa Especializada na Prestação dos Serviços de Acesso a Rede Mundial, compreendendo o aces
2019NE00103;3/2017;30/03/2019;5440,0;Ativo;1.º (Primeiro) Termo Aditivo ao Contrato n.º 003/2017-SETRAB. Prorrogação do Prazo Objeto: Contratação de Empresa Especializada na Prestação dos Serviços de Acesso a Rede Mundial, compreendendo o aces
2019NE00107;3/2017;30/03/2019;1815,33;Ativo;1.º (Primeiro) Termo Aditivo ao Contrato n.º 003/2017-SETRAB. Prorrogação do Prazo Objeto: Contratação de Empresa Especializada na Prestação dos Serviços de Acesso a Rede Mundial, compreendendo o aces
2019NE00102;3/2017;30/03/2019;2780,0;Ativo;1.º (Primeiro) Termo Aditivo ao Contrato n.º 003/2017-SETRAB. Prorrogação do Prazo Objeto: Contratação de Empresa Especializada na Prestação dos Serviços de Acesso a Rede Mundial, compreendendo o aces
2019NE00109;3/2017;30/03/2019;1815,33;Ativo;1.º (Primeiro) Termo Aditivo ao Contrato n.º 003/2017-SETRAB. Prorrogação do Prazo Objeto: Contratação de Empresa Especializada na Prestação dos Serviços de Acesso a Rede Mundial, compreendendo o aces
2019NE00105;3/2017;30/03/2019;5440,0;Ativo;1.º (Primeiro) Termo Aditivo ao Contrato n.º 003/2017-SETRAB. Prorrogação do Prazo Objeto: Contratação de Empresa Especializada na Prestação dos Serviços de Acesso a Rede Mundial, compreendendo o aces
2017NE00406;;29/12/2017;94,81;Ativo;Anulação da NE n.058/2017 Motivo: Em atenção ao Encerramento do Exercício de 2017 - Instrução Normativa n.0001/2017.
2017NE00405;;29/12/2017;26,55;Ativo;Anulação da NE n.024/2017 Motivo: Em atenção ao Encerramento do Exercício de 2017 - Instrução Normativa n.0001/2017.
2019NE00101;3/2017;29/03/2019;1815,33;Ativo;1.º (Primeiro) Termo Aditivo ao Contrato n.º 003/2017-SETRAB. Prorrogação do Prazo Objeto: Contratação de Empresa Especializada na Prestação dos Serviços de Acesso a Rede Mundial, compreendendo o aces
2019NE00110;3/2017;29/03/2019;2780,0;Ativo;1.º (Primeiro) Termo Aditivo ao Contrato n.º 003/2017-SETRAB. Prorrogação do Prazo Objeto: Contratação de Empresa Especializada na Prestação dos Serviços de Acesso a Rede Mundial, compreendendo o aces
2019NE00111;3/2017;29/03/2019;5440,0;Ativo;1.º (Primeiro) Termo Aditivo ao Contrato n.º 003/2017-SETRAB. Prorrogação do Prazo Objeto: Contratação de Empresa Especializada na Prestação dos Serviços de Acesso a Rede Mundial, compreendendo o aces
2018NE00584;;28/12/2018;66101,46;Ativo;CANCELAMENTO DE SALDO DE EMPENHO A LIQUIDAR PARA AJUSTE ORÇAMENTÁRIO DE ENCERRAMENTO DO EXERCÍCIO DE 2018, EM CUMPRIMENTO AO ART. 42 DA LEI FEDERAL Nº 101/2000 (LEI DE RESPONSABILIDADE FISCAL.
2018NE00568;;28/12/2018;4217,15;Ativo;ANULAÇÃO QUE SE FAZ DO SALDO DE EMPENHO EM ATENDIMENTO IN Nº 01/2018-SET-SEFAZ DE 30/11/2018 (ENCERRAMENTO DO EXERCÍCIO 2018)
2018NE00580;;28/12/2018;847,45;Ativo;CANCELAMENTO DE SALDO DE EMPENHO A LIQUIDAR PARA AJUSTE ORÇAMENTÁRIO DE ENCERRAMENTO DO EXERCÍCIO DE 2018, EM CUMPRIMENTO AO ART. 42 DA LEI FEDERAL Nº 101/2000 (LEI DE RESPONSABILIDADE FISCAL.
2018NE00576;;28/12/2018;1689,62;Ativo;ANULAÇÃO QUE SE FAZ DO SALDO DE EMPENHO EM ATENDIMENTO IN Nº 01/2018-SET-SEFAZ DE 30/11/2018 (ENCERRAMENTO DO EXERCÍCIO 2018)
2015NE00548;10/2013;28/08/2015;35904,8;Ativo;objeto: Contratação de Empresa especializada a Serviços de Acesso a Rede de Internet,da SETRAB,compreendendo o acesso Gerenciado a Internet através da Rede do Governo.
2014NE00069;4/2014;28/02/2014;8250,0;Ativo;Contrato N. 004/2014 - Serviços de SPROWEB
2018NE00559;;27/12/2018;206,39;Ativo;ANULAÇÃO QUE SE FAZ DO SALDO DE EMPENHO EM ATENDIMENTO IN Nº 01/2018-SET-SEFAZ DE 30/11/2018 (ENCERRAMENTO DO EXERCÍCIO 2018)
2019NE00490;;26/12/2019;1815,33;Ativo;ANULAÇÃO DE EMPENHO EM CUMPRIMENTO A LEI DELEGADA Nº 122 DE 15/10/2019.
2019NE00492;;26/12/2019;1815,33;Ativo;ANULAÇÃO DE EMPENHO EM CUMPRIMENTO A LEI DELEGADA Nº 122 DE 15/10/2019.
2019NE00488;;26/12/2019;981,58;Ativo;ANULAÇÃO DE EMPENHO EM CUMPRIMENTO A LEI DELEGADA Nº 122 DE 15/10/2019.
2019NE00486;;26/12/2019;362,67;Ativo;ANULAÇÃO DE EMPENHO EM CUMPRIMENTO A LEI DELEGADA Nº 122 DE 15/10/2019.
2019NE00473;;26/12/2019;1815,33;Ativo;ANULAÇÃO DE EMPENHO EM CUMPRIMENTO A LEI DELEGADA Nº 122 DE 15/10/2019.
2019NE00481;;26/12/2019;1694,31;Ativo;ANULAÇÃO DE EMPENHO EM CUMPRIMENTO A LEI DELEGADA Nº 122 DE 15/10/2019.
2019NE00495;;26/12/2019;2780,0;Ativo;ANULAÇÃO DE EMPENHO EM CUMPRIMENTO A LEI DELEGADA Nº 122 DE 15/10/2019.
2019NE00482;;26/12/2019;2594,67;Ativo;ANULAÇÃO DE EMPENHO EM CUMPRIMENTO A LEI DELEGADA Nº 122 DE 15/10/2019.
2019NE00533;3/2017;26/12/2019;981,58;Ativo;Contratação de Empresa Especializada na Prestação dos Serviços de Acesso a Rede Mundial, compreendendo o acesso a MetroMAO. 2019GR00048, 2019GR00049
2019NE00534;3/2017;26/12/2019;981,58;Ativo;Contratação de empresa especializada na prestação dos serviços de Acesso a Rede Mundial, compreendendo o acesso a Metromao, através de circuito de dados de transmissão. 2019GR00082 e 2019GR00083.
2019NE00471;;26/12/2019;5440,0;Ativo;ANULAÇÃO DE EMPENHO EM CUMPRIMENTO A LEI DELEGADA Nº 122 DE 15/10/2019.
2019NE00491;;26/12/2019;2780,0;Ativo;ANULAÇÃO DE EMPENHO EM CUMPRIMENTO A LEI DELEGADA Nº 122 DE 15/10/2019.
2019NE00568;;26/12/2019;1694,31;Ativo;Contratação de empresa especializada na prestação dos serviços de Acesso a Rede Mundial, compreendendo o acesso a Metromao, através de circuito de dados de transmissão, Competência: Julho/18.
2019NE00563;;26/12/2019;65,44;Ativo;Contratação de empresa especializada na prestação dos serviços de Acesso a Rede Mundial, compreendendo o acesso a Metromao, através de circuito de dados de transmissão.
2019NE00564;;26/12/2019;362,67;Ativo;Contratação de empresa especializada na prestação dos serviços de Acesso a Rede Mundial, compreendendo o acesso a Metromao, através de circuito de dados de transmissão.
2019NE00560;;26/12/2019;2594,67;Ativo;Contratação de empresa especializada na prestação dos serviços de Acesso a Rede Mundial, compreendendo o acesso a Metromao, através de circuito de dados de transmissão
2019NE00547;;26/12/2019;981,58;Ativo;Contratação de Empresa Especializada na Prestação dos Serviços de Acesso a Rede Mundial, compreendendo o acesso a MetroMAO, através do circuito de transmissão.
2019NE00561;;26/12/2019;916,14;Ativo;Contratação de empresa especializada na prestação dos serviços de Acesso a Rede Mundial, compreendendo o acesso a Metromao, através de circuito de dados de transmissão
2019NE00559;;26/12/2019;5077,33;Ativo;Contratação de empresa especializada na prestação dos serviços de Acesso a Rede Mundial, compreendendo o acesso a Metromao
2019NE00532;3/2017;26/12/2019;5440,0;Ativo;Contratação de Empresa Especializada na Prestação dos Serviços de Acesso a Rede Mundial, compreendendo o acesso a MetroMAO.2019GR00066 e 2019GR00120.
2019NE00558;;26/12/2019;981,58;Ativo;Contratação de Empresa Especializada na Prestação dos Serviços de Acesso a Rede Mundial, compreendendo o acesso a MetroMAO.
2019NE00545;;26/12/2019;981,58;Ativo;Contratação de Empresa Especializada na Prestação dos Serviços de Acesso a Rede Mundial, compreendendo o acesso a MetroMAO, através do circuito de transmissão. 2019GR00096 e 2019GR00109.
2019NE00493;;26/12/2019;5440,0;Ativo;ANULAÇÃO DE EMPENHO EM CUMPRIMENTO A LEI DELEGADA Nº 122 DE 15/10/2019.
2019NE00541;;26/12/2019;981,58;Ativo;Contratação de Empresa Especializada na Prestação dos Serviços de Acesso a Rede Mundial, compreendendo o acesso a MetroMAO, através do circuito de transmissão. 2019GR00096 e 2019GR00109.
2019NE00546;;26/12/2019;2780,0;Ativo;Contratação de Empresa Especializada na Prestação dos Serviços de Acesso a Rede Mundial, compreendendo o acesso a MetroMAO, através do circuito de transmissão. 2019GR00111 e 2019GR00121.
2019NE00543;;26/12/2019;981,58;Ativo;ANULAÇÃO TOTAL DA NOTA DE EMPENHO 541 EQUIVOCO NA MODALIDADE DE LICITAÇÃO
2019NE00554;;26/12/2019;2780,0;Ativo;Contratação de Empresa Especializada na Prestação dos Serviços de Acesso a Rede Mundial, compreendendo o acesso a MetroMAO. 2019GR00069 e 2019GR00070
2019NE00542;;26/12/2019;2780,0;Ativo;Contratação de Empresa Especializada na Prestação dos Serviços de Acesso a Rede Mundial, compreendendo o acesso a MetroMAO, através do circuito de transmissão. 2019GR00111 e 2019GR00121.
2019NE00477;;26/12/2019;5440,0;Ativo;ANULAÇÃO DE EMPENHO EM CUMPRIMENTO A LEI DELEGADA Nº 122 DE 15/10/2019.
2019NE00474;;26/12/2019;2780,0;Ativo;ANULAÇÃO DE EMPENHO EM CUMPRIMENTO A LEI DELEGADA Nº 122 DE 15/10/2019.
2019NE00475;;26/12/2019;1815,33;Ativo;ANULAÇÃO DE EMPENHO EM CUMPRIMENTO A LEI DELEGADA Nº 122 DE 15/10/2019.
2019NE00483;;26/12/2019;916,14;Ativo;ANULAÇÃO DE EMPENHO EM CUMPRIMENTO A LEI DELEGADA Nº 122 DE 15/10/2019.
2019NE00535;3/2017;26/12/2019;5440,0;Ativo;Contratação de empresa especializada na prestação dos serviços de Acesso a Rede Mundial, compreendendo o acesso a Metromao, através de circuito de dados de transmissão. 2019GR00055 e 2019GR00056
2019NE00539;3/2017;26/12/2019;5440,0;Ativo;Contratação de Empresa Especializada na Prestação dos Serviços de Acesso a Rede Mundial, compreendendo o acesso a MetroMAO, através do circuito de transmissão. 2019GR00107 e 2019GR00108.
2019NE00536;3/2017;26/12/2019;1815,33;Ativo;Contratação de empresa especializada na prestação dos serviços de Acesso a Rede Mundial, compreendendo o acesso a Metromao, através de circuito de dados de transmissão. 2019GR00052 e 2019GR00053
2019NE00537;3/2017;26/12/2019;2780,0;Ativo;Contratação de empresa especializada na prestação dos serviços de Acesso a Rede Mundial, compreendendo o acesso a Metromao, através de circuito de dados de transmissão. 2019GR00060 e 2019GR00086.
2019NE00538;3/2017;26/12/2019;1815,33;Ativo;Contratação de Empresa Especializada na Prestação dos Serviços de Acesso a Rede Mundial, compreendendo o acesso a MetroMAO. 2019GR00093 e 2019GR00094.
2019NE00487;;26/12/2019;185,33;Ativo;ANULAÇÃO DE EMPENHO EM CUMPRIMENTO A LEI DELEGADA Nº 122 DE 15/10/2019.
2019NE00494;;26/12/2019;981,58;Ativo;ANULAÇÃO DE EMPENHO EM CUMPRIMENTO A LEI DELEGADA Nº 122 DE 15/10/2019.
2019NE00468;;26/12/2019;1815,33;Ativo;ANULAÇÃO DE EMPENHO EM CUMPRIMENTO A LEI DELEGADA Nº 122 DE 15/10/2019.
2019NE00496;;26/12/2019;981,58;Ativo;ANULAÇÃO DE EMPENHO EM CUMPRIMENTO A LEI DELEGADA Nº 122 DE 15/10/2019.
2019NE00489;;26/12/2019;5440,0;Ativo;ANULAÇÃO DE EMPENHO EM CUMPRIMENTO A LEI DELEGADA Nº 122 DE 15/10/2019.
2019NE00478;;26/12/2019;981,58;Ativo;ANULAÇÃO DE EMPENHO EM CUMPRIMENTO A LEI DELEGADA Nº 122 DE 15/10/2019.
2019NE00555;;26/12/2019;1815,33;Ativo;Contratação de Empresa Especializada na Prestação dos Serviços de Acesso a Rede Mundial, compreendendo o acesso a MetroMAO. 2019GR00043 e 2019GR00044.
2019NE00484;;26/12/2019;121,02;Ativo;ANULAÇÃO DE EMPENHO EM CUMPRIMENTO A LEI DELEGADA Nº 122 DE 15/10/2019.
2019NE00531;3/2017;26/12/2019;5440,0;Ativo;Contratação de Empresa Especializada na Prestação dos Serviços de Acesso a Rede Mundial, compreendendo o acesso a MetroMAO. 2019GR00073 e 2019GR00075
2019NE00562;;26/12/2019;121,02;Ativo;Contratação de empresa especializada na prestação dos serviços de Acesso a Rede Mundial, compreendendo o acesso a Metromao.
2019NE00540;3/2017;26/12/2019;1815,33;Ativo;Contratação de Empresa Especializada na Prestação dos Serviços de Acesso a Rede Mundial, compreendendo o acesso a MetroMAO.
2019NE00485;;26/12/2019;65,44;Ativo;ANULAÇÃO DE EMPENHO EM CUMPRIMENTO A LEI DELEGADA Nº 122 DE 15/10/2019.
2019NE00480;;26/12/2019;5077,33;Ativo;ANULAÇÃO DE EMPENHO EM CUMPRIMENTO A LEI DELEGADA Nº 122 DE 15/10/2019.
2019NE00565;;26/12/2019;185,33;Ativo;Contratação de empresa especializada na prestação dos serviços de Acesso a Rede Mundial, compreendendo o acesso a Metromao, através de circuito de dados de transmissão
2019NE00469;;26/12/2019;2780,0;Ativo;ANULAÇÃO DE EMPENHO EM CUMPRIMENTO A LEI DELEGADA Nº 122 DE 15/10/2019.
2019NE00530;3/2017;26/12/2019;1815,33;Ativo;Contratação de Empresa Especializada na Prestação dos Serviços de Acesso a Rede Mundial, compreendendo o acesso a MetroMAO. 2019GR00051 E 2019GR00071
2019NE00556;;26/12/2019;2780,0;Ativo;Contratação de Empresa Especializada na Prestação dos Serviços de Acesso a Rede Mundial, compreendendo o acesso a MetroMAO. 2019GR00045 e 2019GR00063.
2019NE00544;;26/12/2019;2780,0;Ativo;ANULAÇÃO TOTAL DA NOTA DE EMPENHO 542 EQUIVOCO NA MODALIDADE DE LICITAÇÃO
