Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
SNPH;Acesso Gerenciado à Rede Mundial;002/2020;146221;12/2023;2.607,27;818 dias;0,00;Suspenso;TramitarReverter Status
SNPH;Execução de sistemas;004/2019;146402;12/2023;2.557,99;815 dias;0,00;Suspenso;TramitarReverter Status
SNPH;Fornecimento de circuito de transmissão de dados;002/2020;146220;12/2023;2.027,04;815 dias;0,00;Suspenso;TramitarReverter Status
SNPH;Hospedagem de Sistemas;005/2020;146222;12/2023;521,23;815 dias;0,00;Suspenso;TramitarReverter Status
SNPH;Execução de sistemas;106/2024;152833;08/2024;2.860,35;560 dias;0,00;Suspenso;TramitarReverter Status
SNPH;Suporte Técnico em Sistemas de Informação;106/2024;152975;09/2024;281,14;541 dias;0,00;Suspenso;TramitarReverter Status
SNPH;Suporte Técnico em Sistemas de Informação;106/2024;152867;08/2024;281,14;541 dias;0,00;Suspenso;TramitarReverter Status
SNPH;Execução de sistemas;106/2024;153511;09/2024;2.849,73;533 dias;0,00;Suspenso;TramitarReverter Status
SNPH;Suporte Técnico em Sistemas de Informação;106/2024;154785;10/2024;281,14;472 dias;0,00;Suspenso;TramitarReverter Status
SNPH;Suporte Técnico em Sistemas de Informação;106/2024;154867;11/2024;281,14;472 dias;0,00;Suspenso;TramitarReverter Status
SNPH;Execução de sistemas;106/2024;155516;10/2024;2.783,29;462 dias;0,00;Suspenso;TramitarReverter Status
SNPH;Acesso Gerenciado à Rede Mundial;006/2025;159876;05/2025;1.363,04;289 dias;0,00;Suspenso;TramitarReverter Status
SNPH;Fornecimento de circuito de transmissão de dados;006/2025;159875;05/2025;1.108,16;289 dias;0,00;Suspenso;TramitarReverter Status
