numero;contrato;data_emissao;valor;situacao;descricao
2020NE00446;;31/12/2020;1929,07;Ativo;ANULAÇÃO TOTAL DEVIDO AO ENCERRAMENTO DO EXERCÍCIO DE 2020 E O CALENDÁRIO DE COMUNICAÇÃO Nº 14 DE 16/11/2020 SEFAZ
2020NE00448;;31/12/2020;3079,17;Ativo;ANULAÇÃO TOTAL DEVIDO AO ENCERRAMENTO DO EXERCÍCIO DE 2020 E O CALENDÁRIO DE COMUNICAÇÃO Nº 14 DE 16/11/2020 SEFAZ
2020NE00449;;31/12/2020;1805,81;Ativo;ANULAÇÃO TOTAL DEVIDO AO ENCERRAMENTO DO EXERCÍCIO DE 2020 E O CALENDÁRIO DE COMUNICAÇÃO Nº 14 DE 16/11/2020 SEFAZ
2024NE0000234;5/2020;31/07/2024;486,48;Ativo;Contratação de prestação de serviço de informática - WEBSITE - Portal da Transparência da SNPH. Parecer nº 038/2023-PROJU/SNPH. TC: 0005/2020 AD: 04.
2020NE00219;4/2019;31/07/2020;12704,68;Ativo;REFERENTE AO 1º ADITIVO DO CONTRATO COM A EMPRESA ESPECIALIZADA EM PRESTAÇÃO DE SERVIÇO DE INFORMÁTICA ( CADASTRO DE PAGAMENTO DE PESSOAL - CFPP ) PARA ATENDER A NECESSIDADE DA SNPH, PERÍODO DE 12 (DO
2020NE00218;5/2020;31/07/2020;2571,4;Ativo;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM PRESTAÇÃO DE SERVIÇO DE HOSPEDAGEM DE SISTEMA DE INFORMAÇÃO (PORTAL DE TRANSPARÊNCIA), NO PERÍODO DE 12 (DOZE) MESES.
2019NE00497;;30/12/2019;2025,79;Ativo;ANULAÇÃO DE SALDO DEVIDO ENCERRAMENTO DE EXERCÍCIO ORÇAMENTÁRIO.
2024NE0000346;2/2020;30/10/2024;4634,31;Ativo;REFERENTE SERVIÇOS DE ACESSO À INTERNET POR FIBRA ÓPTICA E FORNECIMENTO DE CIRCUITO DE TRANSMISSÃO DE DADOS PARA CONEXÃO CLIENTE/FORNECEDOR PARA SNPH. PARECER Nº 023/2023-PROJU/SNPH. TC: 0002/2020 AD:
2024NE0000345;5/2020;30/10/2024;521,23;Ativo;Contratação de prestação de serviço de informática - WEBSITE - Portal da Transparência da SNPH. Parecer nº 038/2023-PROJU/SNPH. TC: 0005/2020 AD: 04.
2025NE0000303;2/2025;30/09/2025;4633,7;Ativo;Prestação de serviço, de forma dedicada, de acesso à internet por fibra óptica com garantia de 100% em download e upload e serviço de transmissão de circuito de transmissão de dados para conexão clien
2025NE0000192;5/2020;30/06/2025;1042,46;Ativo;Contratação de prestação de serviço de informática - WEBSITE - Portal da Transparência da SNPH. Parecer nº 038/2023-PROJU/SNPH. TC: 0005/2020 AD: 04.
2025NE0000193;2/2025;30/06/2025;9267,4;Ativo;Prestação de serviço, de forma dedicada, de acesso à internet por fibra óptica com garantia de 100% em download e upload e serviço de transmissão de circuito de transmissão de dados para conexão clien
2025NE0000191;5/2024;30/06/2025;5678,26;Ativo;Serviço de execução do sistema PRODAMRH - Cadastro e Folha de Pagamento de Pessoal, para atender as necessidades da SNPH.
2025NE0000126;5/2024;30/04/2025;5678,26;Ativo;Serviço de execução do sistema PRODAMRH - Cadastro e Folha de Pagamento de Pessoal, para atender as necessidades da SNPH.
2025NE0000123;2/2020;30/04/2025;9268,62;Ativo;REFERENTE SERVIÇOS DE ACESSO À INTERNET POR FIBRA ÓPTICA E FORNECIMENTO DE CIRCUITO DE TRANSMISSÃO DE DADOS PARA CONEXÃO CLIENTE/FORNECEDOR PARA SNPH. PARECER Nº 023/2023-PROJU/SNPH. TC: 0002/2020 AD:
2025NE0000127;5/2020;30/04/2025;1042,46;Ativo;Contratação de prestação de serviço de informática - WEBSITE - Portal da Transparência da SNPH. Parecer nº 038/2023-PROJU/SNPH. TC: 0005/2020 AD: 04.
2024NE0000344;5/2024;29/10/2024;3123,04;Ativo;Serviço de execução do sistema PRODAMRH - Cadastro e Folha de Pagamento de Pessoal, para atender as necessidades da SNPH.
2022NE0000132;;29/04/2022;2050,88;Ativo;REFERENTE SERVIÇO DE ACESSO À INTRNET E SERVIÇO DE TRANSMISSÃO DE DADOS DA SNPH.
2022NE0000131;;29/04/2022;7759,24;Ativo;REFEREMTE SERVIÇO DE EXECUÇÃO DO SISTEMA PRODAMRH-FOLHA DE PESSOAL DA SNPH.
2022NE0000130;;29/04/2022;1598,44;Ativo;REFERENTE PRESTAÇÃO DE SERVIÇO DE HOSPEDAGEM DE SISTEMA DE INFORMAÇÃO - PORTAL DA TRANSPARÊNCIA DA SNPH.
2022NE0000417;;28/12/2022;807,48;Ativo;ANULAÇÃO DE SALDO DE EMPENHO EM FUNÇÃO DO ENCERRAMENTO DO EXERCÍCIO ORÇAMENTÁRIO/FINANCEIRO DE 2022.
2018NE00348;;28/12/2018;1747,47;Ativo;CANCELAMENTO DE SALDO DE EMPENHO A LIQUIDAR PARA AJUSTE ORÇAMENTÁRIO DE ENCERRAMENTO DO EXERCÍCIO DE 2018, EM CUMPRIMENTO AO ART. 42 DA LEI COMPLEMENTAR FEDERAL 101/2000 ( LEI DE RESPONSABILIDADE FISC
2017NE00382;;28/12/2017;0,02;Ativo;REFERENTE A ANULAÇÃO TOTAL DO CONTRATO DEVIDO AO TERMINO DO EXERCÍCIO DE 2017, CONFORME INSTRUÇÃO NORMATIVA Nº 001/2017 GSEFAZ.
2022NE0000229;4/2019;28/07/2022;2472,72;Ativo;Terceira prorrogação de prazo do Contrato nº 0004/2019 do serviço de execução do Sistema PRODAMRH- Cadastro e Folha de Pagamento de Pessoal da SNPH.
2022NE0000228;5/2020;28/07/2022;486,48;Ativo;Segunda prorrogação de prazo do contrato de prestação de serviço de informática - WEBSITE - Portal da Transparência da SNPH.
2016NE00264;6/2015;28/07/2016;976,04;Ativo;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇO DE HOSPEDAGEM DE WEBSITE PARA ARMAZENAMENTO DE DADOS NA INFRAESTRUTURA TECNOLÓGICA DA PRODAM EM ATENDIMENTO A LEI DE TRANSPARÊNCIA
