id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
152833;48153;106/2024;08/2024;2860,35;Emitida;COMPLETA;1
153511;48779;106/2024;09/2024;2849,73;Emitida;COMPLETA;4
155516;50547;106/2024;10/2024;2783,29;Emitida;COMPLETA;3
146221;146221;2/2020;12/2023;2607,27;Emitida;FORTE;127
146402;42246;4/2019;12/2023;2557,99;Emitida;COMPLETA;55
146220;42247;2/2020;12/2023;2027,04;Emitida;COMPLETA;127
159876;54967;6/2025;05/2025;1363,04;Emitida;COMPLETA;20
159875;54968;6/2025;05/2025;1108,16;Emitida;COMPLETA;20
146222;42248;5/2020;12/2023;521,23;Emitida;COMPLETA;183
152975;48483;106/2024;09/2024;281,14;Emitida;COMPLETA;4
152867;48489;106/2024;08/2024;281,14;Emitida;COMPLETA;1
154785;50236;106/2024;10/2024;281,14;Emitida;COMPLETA;3
154867;50237;106/2024;11/2024;281,14;Emitida;COMPLETA;3
