Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
SSP;Fornecimento de circuito de transmissão de dados;068/2012;87217;01/2015;453.387,48;4038 dias;0,00;Suspenso;TramitarReverter Status
SSP;Acesso Gerenciado à Rede Mundial;068/2012;87218;01/2015;74.475,72;4038 dias;0,00;Suspenso;TramitarReverter Status
SSP;SERVICOS ESPECIALIZADOS EM INFORMATICA;094/2011;87214;02/2015;286.222,91;4038 dias;0,00;Suspenso;TramitarReverter Status
SSP;Fornecimento de circuito de transmissão de dados;068/2012;87220;02/2015;453.387,48;4038 dias;0,00;Suspenso;TramitarReverter Status
SSP;Hospedagem de Sistemas;068/2012;87219;01/2015;45.976,16;4038 dias;0,00;Suspenso;TramitarReverter Status
SSP;Hospedagem de Sistemas;067/2012;87216;02/2015;211.781,19;4038 dias;0,00;Suspenso;TramitarReverter Status
SSP;Hospedagem de Sistemas;067/2012;87215;01/2015;211.781,19;4038 dias;0,00;Suspenso;TramitarReverter Status
SSP;SERVICOS ESPECIALIZADOS EM INFORMATICA;094/2011;87213;01/2015;286.222,91;4038 dias;0,00;Suspenso;TramitarReverter Status
SSP;Hospedagem de Sistemas;068/2012;87222;02/2015;45.976,16;4038 dias;0,00;Suspenso;TramitarReverter Status
SSP;Acesso Gerenciado à Rede Mundial;068/2012;87221;02/2015;74.475,72;4038 dias;0,00;Suspenso;TramitarReverter Status
SSP;Fornecimento de circuito de transmissão de dados;068/2012;87433;03/2015;453.387,48;4020 dias;0,00;Suspenso;TramitarReverter Status
SSP;Hospedagem de Sistemas;067/2012;87432;03/2015;211.781,19;4020 dias;0,00;Suspenso;TramitarReverter Status
SSP;Hospedagem de Sistemas;068/2012;87435;03/2015;45.976,16;4020 dias;0,00;Suspenso;TramitarReverter Status
SSP;Acesso Gerenciado à Rede Mundial;068/2012;87434;03/2015;74.475,72;4020 dias;0,00;Suspenso;TramitarReverter Status
SSP;Acesso Gerenciado à Rede Mundial;068/2012;87879;04/2015;74.475,72;3985 dias;0,00;Suspenso;TramitarReverter Status
SSP;Hospedagem de Sistemas;067/2012;87876;04/2015;211.781,19;3985 dias;0,00;Suspenso;TramitarReverter Status
SSP;Hospedagem de Sistemas;068/2012;87880;04/2015;45.976,16;3985 dias;0,00;Suspenso;TramitarReverter Status
SSP;Fornecimento de circuito de transmissão de dados;068/2012;87878;04/2015;453.387,48;3985 dias;0,00;Suspenso;TramitarReverter Status
SSP;SERVICOS ESPECIALIZADOS EM INFORMATICA;094/2011;88104;04/2015;281.919,50;3963 dias;0,00;Suspenso;TramitarReverter Status
SSP;Suporte Técnico em Sistemas de Informação;054/2015;88354;05/2015;20.296,29;3940 dias;0,00;Suspenso;TramitarReverter Status
SSP;Serviços de Firewall;055/2015;88357;05/2015;27.470,92;3940 dias;0,00;Suspenso;TramitarReverter Status
SSP;Manutenção Evolutiva de Sistemas;054/2015;88355;05/2015;24.852,60;3940 dias;0,00;Suspenso;TramitarReverter Status
SSP;Suporte Técnico em Sistemas de Informação;054/2015;88542;06/2015;20.296,29;3920 dias;0,00;Suspenso;TramitarReverter Status
SSP;Manutenção Evolutiva de Sistemas;054/2015;88543;06/2015;24.852,60;3920 dias;0,00;Suspenso;TramitarReverter Status
SSP;Desenvolvimento de Sistemas de Informação;048/2021;138027;12/2022;5.630,07;1164 dias;0,00;Suspenso;TramitarReverter Status
SSP;Gestão de Segurança e Ativos de Rede;048/2021;137381;12/2022;30.748,43;1164 dias;0,00;Suspenso;TramitarReverter Status
SSP;Acesso a Armazém de Informações;048/2021;137377;12/2022;14.542,44;1164 dias;0,00;Suspenso;TramitarReverter Status
SSP;Hospedagem de Servidores;048/2021;137384;12/2022;91.242,60;1164 dias;0,00;Suspenso;TramitarReverter Status
SSP;Acesso Gerenciado à Rede Mundial;048/2021;137383;12/2022;215.061,76;1164 dias;0,00;Suspenso;TramitarReverter Status
SSP;Fornecimento de circuito de transmissão de dados;048/2021;137380;12/2022;130.664,92;1164 dias;0,00;Suspenso;TramitarReverter Status
SSP;Suporte Técnico em Sistemas de Informação;048/2021;147407;09/2023;5.489,68;777 dias;0,00;Suspenso;TramitarReverter Status
SSP;Hospedagem de Servidores;048/2021;147427;09/2023;42.579,88;777 dias;0,00;Suspenso;TramitarReverter Status
SSP;Fornecimento de circuito de transmissão de dados;048/2021;147426;09/2023;58.977,67;777 dias;0,00;Suspenso;TramitarReverter Status
SSP;Licença de uso de sistemas de informação;048/2021;147425;09/2023;884,42;777 dias;0,00;Suspenso;TramitarReverter Status
SSP;Acesso à MetroMao;048/2021;147424;09/2023;5.441,54;777 dias;0,00;Suspenso;TramitarReverter Status
SSP;Licença de uso de sistemas de informação;048/2021;147423;09/2023;387,77;777 dias;0,00;Suspenso;TramitarReverter Status
SSP;Acesso a Armazém de Informações;048/2021;147422;09/2023;6.786,47;777 dias;0,00;Suspenso;TramitarReverter Status
SSP;Gestão de Segurança e Ativos de Rede;048/2021;147428;09/2023;14.349,27;777 dias;0,00;Suspenso;TramitarReverter Status
SSP;Desenvolvimento de Sistemas de Informação;048/2021;147408;09/2023;4.666,23;777 dias;0,00;Suspenso;TramitarReverter Status
SSP;Suporte Técnico em Sistemas de Informação;048/2021;147451;09/2023;4.705,44;776 dias;0,00;Suspenso;TramitarReverter Status
SSP;Licença de uso de sistemas de informação;048/2021;147443;09/2023;413,54;776 dias;0,00;Suspenso;TramitarReverter Status
SSP;Desenvolvimento de Sistemas de Informação;048/2021;147452;09/2023;4.078,05;776 dias;0,00;Suspenso;TramitarReverter Status
SSP;Fornecimento de circuito de transmissão de dados;048/2021;147441;09/2023;56.550,59;776 dias;0,00;Suspenso;TramitarReverter Status
SSP;Hospedagem de Servidores;048/2021;147440;09/2023;35.301,06;776 dias;0,00;Suspenso;TramitarReverter Status
SSP;Gestão de Segurança e Ativos de Rede;048/2021;147439;09/2023;16.399,16;776 dias;0,00;Suspenso;TramitarReverter Status
SSP;Acesso à MetroMao;048/2021;147438;09/2023;6.218,91;776 dias;0,00;Suspenso;TramitarReverter Status
SSP;Licença de uso de sistemas de informação;048/2021;147437;09/2023;1.010,77;776 dias;0,00;Suspenso;TramitarReverter Status
SSP;Licença de uso de sistemas de informação;048/2021;147459;10/2023;1.895,19;773 dias;0,00;Suspenso;TramitarReverter Status
SSP;Suporte Técnico em Sistemas de Informação;048/2021;147466;10/2023;8.822,70;773 dias;0,00;Suspenso;TramitarReverter Status
SSP;Licença de uso de sistemas de informação;048/2021;147465;10/2023;775,39;773 dias;0,00;Suspenso;TramitarReverter Status
SSP;Desenvolvimento de Sistemas de Informação;048/2021;147467;10/2023;7.646,34;773 dias;0,00;Suspenso;TramitarReverter Status
SSP;Fornecimento de circuito de transmissão de dados;048/2021;147463;10/2023;106.032,36;773 dias;0,00;Suspenso;TramitarReverter Status
SSP;Hospedagem de Servidores;048/2021;147462;10/2023;66.189,48;773 dias;0,00;Suspenso;TramitarReverter Status
SSP;Gestão de Segurança e Ativos de Rede;048/2021;147461;10/2023;30.748,43;773 dias;0,00;Suspenso;TramitarReverter Status
SSP;Acesso à MetroMao;048/2021;147460;10/2023;11.660,45;773 dias;0,00;Suspenso;TramitarReverter Status
SSP;Suporte Técnico em Sistemas de Informação;048/2021;147476;11/2023;8.822,70;773 dias;0,00;Suspenso;TramitarReverter Status
SSP;Licença de uso de sistemas de informação;048/2021;147484;11/2023;775,39;773 dias;0,00;Suspenso;TramitarReverter Status
SSP;Fornecimento de circuito de transmissão de dados;048/2021;147482;11/2023;106.032,36;773 dias;0,00;Suspenso;TramitarReverter Status
SSP;Hospedagem de Servidores;048/2021;147481;11/2023;66.189,48;773 dias;0,00;Suspenso;TramitarReverter Status
SSP;Gestão de Segurança e Ativos de Rede;048/2021;147480;11/2023;30.748,43;773 dias;0,00;Suspenso;TramitarReverter Status
SSP;Acesso à MetroMao;048/2021;147479;11/2023;11.660,45;773 dias;0,00;Suspenso;TramitarReverter Status
SSP;Licença de uso de sistemas de informação;048/2021;147478;11/2023;1.895,19;773 dias;0,00;Suspenso;TramitarReverter Status
SSP;Desenvolvimento de Sistemas de Informação;048/2021;147477;11/2023;7.646,34;773 dias;0,00;Suspenso;TramitarReverter Status
SSP;Desenvolvimento de Sistemas de Informação;048/2021;147487;12/2023;7.646,34;772 dias;0,00;Suspenso;TramitarReverter Status
SSP;Fornecimento de circuito de transmissão de dados;048/2021;147492;12/2023;106.032,36;772 dias;0,00;Suspenso;TramitarReverter Status
SSP;Gestão de Segurança e Ativos de Rede;048/2021;147490;12/2023;30.748,43;772 dias;0,00;Suspenso;TramitarReverter Status
SSP;Hospedagem de Servidores;048/2021;147491;12/2023;66.189,48;772 dias;0,00;Suspenso;TramitarReverter Status
SSP;Licença de uso de sistemas de informação;048/2021;147488;12/2023;1.895,19;772 dias;0,00;Suspenso;TramitarReverter Status
SSP;Suporte Técnico em Sistemas de Informação;048/2021;147486;12/2023;8.822,70;772 dias;0,00;Suspenso;TramitarReverter Status
SSP;Acesso à MetroMao;048/2021;147489;12/2023;11.660,45;772 dias;0,00;Suspenso;TramitarReverter Status
SSP;Licença de uso de sistemas de informação;048/2021;147494;12/2023;775,39;772 dias;0,00;Suspenso;TramitarReverter Status
SSP;Acesso Gerenciado à Rede Mundial;048/2021;155126;09/2023;100.362,15;492 dias;0,00;Suspenso;TramitarReverter Status
SSP;Acesso Gerenciado à Rede Mundial;048/2021;155129;10/2023;168.193,86;491 dias;0,00;Suspenso;TramitarReverter Status
SSP;Acesso Gerenciado à Rede Mundial;048/2021;155130;11/2023;168.193,86;491 dias;0,00;Suspenso;TramitarReverter Status
SSP;Acesso Gerenciado à Rede Mundial;048/2021;155131;12/2023;168.193,86;491 dias;0,00;Suspenso;TramitarReverter Status
SSP;Acesso Gerenciado à Rede Mundial;048/2021;155128;09/2023;89.703,39;491 dias;0,00;Suspenso;TramitarReverter Status
SSP;Licença de uso de sistemas de informação;019/2025;164957;12/2025;92,72;43 dias;0,00;Suspenso;TramitarReverter Status
SSP;Licença de uso de sistemas de informação;018/2025;164955;12/2025;329,37;43 dias;0,00;Suspenso;TramitarReverter Status
SSP;Licença de uso de sistemas de informação;019/2025;164956;12/2025;34,24;43 dias;0,00;Suspenso;TramitarReverter Status
