numero;contrato;data_emissao;valor;situacao;descricao
2020NE01202;;31/12/2020;16195,31;Ativo;Anulação do saldo da 2020NE00919 no valor de R$ 16.195,31, conforme descrito no Memorando nº 062/2020-DOF/SSP, em razão do encerramento do exercício/2020.
2020NE01201;;31/12/2020;21287,04;Ativo;Anulação do saldo da 2020NE00598 no valor de R$ 21.287,04, conforme descrito no Memorando nº 062/2020-DOF/SSP, em razão do encerramento do exercício/2020.
2020NE01200;;31/12/2020;1064,35;Ativo;Anulação do saldo da 2020NE00438 no valor de R$ 1.064,35, conforme descrito no Memorando nº 062/2020-DOF/SSP de 28 de dezembro de 2020, em razão do encerramento do exercício/2020.
2016NE00901;;30/12/2016;0,01;Ativo;Anulação de Saldo da Nota de Empenho 2016NE00399, em atendimento a Instrução Normativa Nº 01/2016, de 14/12/2016-SET/SEFAZ (Encerramento do Exercício de 2016).
2025NE0001171;22/2025;30/07/2025;1487223,75;Ativo;Contratação de empresa especializada na prestação de serviço vinculado ao Sistema Único Integrado de Segurança Pública, para atender às necessidades do Sistema de Segurança Pública do Estado do Amazon
2025NE0001172;22/2025;30/07/2025;2025526,76;Ativo;Contratação de empresa especializada na prestação de serviço vinculado ao Sistema Único Integrado de Segurança Pública, para atender às necessidades do Sistema de Segurança Pública do Estado do Amazon
2019NE01739;18/2016;29/11/2019;164332,21;Ativo;Contratação de empresa especializada em serviço de informática, manutenção e suporte a operação, serviço técnico em telecomunicações, fornecimento de circuito de transmissão de dados e disponibilizaçã
2025NE0002017;22/2025;29/10/2025;1487223,75;Ativo;Contratação de empresa especializada na prestação de serviço vinculado ao Sistema Único Integrado de Segurança Pública, para atender às necessidades do Sistema de Segurança Pública do Estado do Amazon
2025NE0002020;;29/10/2025;1509828,59;Ativo;Anulação parcial da 2025NE0000885 no valor de R$ 1.509.828,59, conforme execução até 08/2025, nos termos do MEMORANDO Nº 142/2025-DOF/SSP-AM.
2025NE0002021;;29/10/2025;922698,81;Ativo;Anulação parcial da 2025NE0000887 no valor de R$ 922.698,81, conforme execução até 08/2025, nos termos do MEMORANDO Nº 142/2025-DOF/SSP-AM.
2025NE0002018;22/2025;29/10/2025;2025526,76;Ativo;Contratação de empresa especializada na prestação de serviço vinculado ao Sistema Único Integrado de Segurança Pública, para atender às necessidades do Sistema de Segurança Pública do Estado do Amazon
2020NE00919;18/2016;29/10/2020;482357,33;Ativo;Contratação de empresa especializada em serviço de informática, manutenção e suporte a operação, serviço técnico em telecomunicações, fornecimento de circuito de transmissão de dados e disponibilizaçã
2023NE0000626;;29/05/2023;53599,06;Ativo;Anulação do saldo da NE0000035/2023, conforme faturamento dos meses de janeiro e fevereiro/2023, bem como Despacho do fiscal do Contrato na fl.16 do MEMO CIRC. Nº 038/2023-GSE/SSP-AM.
2018NE01140;;28/12/2018;281919,5;Ativo;CANCELAMENTO DE SALDO DE EMPENHO A LIQUIDAR PARA AJUSTE ORÇAMENTÁRIO DE ENCERRAMENTO DO EXERCÍCIO DE 2018, EM CUMPRIMENTO AO ART. 42 DA LEI COMPLEMENTAR FEDERAL 101/2000 ( LEI DE RESPONSABILIDADE FISC
2018NE01136;;28/12/2018;945610,24;Ativo;CANCELAMENTO DE SALDO DE EMPENHO A LIQUIDAR PARA AJUSTE ORÇAMENTÁRIO DE ENCERRAMENTO DO EXERCÍCIO DE 2018, EM CUMPRIMENTO AO ART. 42 DA LEI COMPLEMENTAR FEDERAL 101/2000 ( LEI DE RESPONSABILIDADE FISC
2018NE01145;;28/12/2018;573839,36;Ativo;CANCELAMENTO DE SALDO DE EMPENHO A LIQUIDAR PARA AJUSTE ORÇAMENTÁRIO DE ENCERRAMENTO DO EXERCÍCIO DE 2018, EM CUMPRIMENTO AO ART. 42 DA LEI COMPLEMENTAR FEDERAL 101/2000 ( LEI DE RESPONSABILIDADE FISC
2018NE01143;;28/12/2018;151828,48;Ativo;CANCELAMENTO DE SALDO DE EMPENHO A LIQUIDAR PARA AJUSTE ORÇAMENTÁRIO DE ENCERRAMENTO DO EXERCÍCIO DE 2018, EM CUMPRIMENTO AO ART. 42 DA LEI COMPLEMENTAR FEDERAL 101/2000 ( LEI DE RESPONSABILIDADE FISC
2018NE01141;;28/12/2018;151828,48;Ativo;CANCELAMENTO DE SALDO DE EMPENHO A LIQUIDAR PARA AJUSTE ORÇAMENTÁRIO DE ENCERRAMENTO DO EXERCÍCIO DE 2018, EM CUMPRIMENTO AO ART. 42 DA LEI COMPLEMENTAR FEDERAL 101/2000 ( LEI DE RESPONSABILIDADE FISC
2018NE01150;;28/12/2018;261005,89;Ativo;CANCELAMENTO DE SALDO DE EMPENHO A LIQUIDAR PARA AJUSTE ORÇAMENTÁRIO DE ENCERRAMENTO DO EXERCÍCIO DE 2018, EM CUMPRIMENTO AO ART. 42 DA LEI COMPLEMENTAR FEDERAL 101/2000 ( LEI DE RESPONSABILIDADE FISC
2018NE01146;;28/12/2018;261005,89;Ativo;CANCELAMENTO DE SALDO DE EMPENHO A LIQUIDAR PARA AJUSTE ORÇAMENTÁRIO DE ENCERRAMENTO DO EXERCÍCIO DE 2018, EM CUMPRIMENTO AO ART. 42 DA LEI COMPLEMENTAR FEDERAL 101/2000 ( LEI DE RESPONSABILIDADE FISC
2018NE01153;;28/12/2018;211799,95;Ativo;CANCELAMENTO DE SALDO DE EMPENHO A LIQUIDAR PARA AJUSTE ORÇAMENTÁRIO DE ENCERRAMENTO DO EXERCÍCIO DE 2018, EM CUMPRIMENTO AO ART. 42 DA LEI COMPLEMENTAR FEDERAL 101/2000 ( LEI DE RESPONSABILIDADE FISC
2018NE01147;;28/12/2018;1747120,16;Ativo;CANCELAMENTO DE SALDO DE EMPENHO A LIQUIDAR PARA AJUSTE ORÇAMENTÁRIO DE ENCERRAMENTO DO EXERCÍCIO DE 2018, EM CUMPRIMENTO AO ART. 42 DA LEI COMPLEMENTAR FEDERAL 101/2000 ( LEI DE RESPONSABILIDADE FISC
2018NE01144;;28/12/2018;573839,36;Ativo;CANCELAMENTO DE SALDO DE EMPENHO A LIQUIDAR PARA AJUSTE ORÇAMENTÁRIO DE ENCERRAMENTO DO EXERCÍCIO DE 2018, EM CUMPRIMENTO AO ART. 42 DA LEI COMPLEMENTAR FEDERAL 101/2000 ( LEI DE RESPONSABILIDADE FISC
2018NE01138;;28/12/2018;211781,19;Ativo;CANCELAMENTO DE SALDO DE EMPENHO A LIQUIDAR PARA AJUSTE ORÇAMENTÁRIO DE ENCERRAMENTO DO EXERCÍCIO DE 2018, EM CUMPRIMENTO AO ART. 42 DA LEI COMPLEMENTAR FEDERAL 101/2000 ( LEI DE RESPONSABILIDADE FISC
2018NE01152;;28/12/2018;211799,95;Ativo;CANCELAMENTO DE SALDO DE EMPENHO A LIQUIDAR PARA AJUSTE ORÇAMENTÁRIO DE ENCERRAMENTO DO EXERCÍCIO DE 2018, EM CUMPRIMENTO AO ART. 42 DA LEI COMPLEMENTAR FEDERAL 101/2000 ( LEI DE RESPONSABILIDADE FISC
2018NE01154;;28/12/2018;436780,04;Ativo;CANCELAMENTO DE SALDO DE EMPENHO A LIQUIDAR PARA AJUSTE ORÇAMENTÁRIO DE ENCERRAMENTO DO EXERCÍCIO DE 2018, EM CUMPRIMENTO AO ART. 42 DA LEI COMPLEMENTAR FEDERAL 101/2000 ( LEI DE RESPONSABILIDADE FISC
2018NE01155;;28/12/2018;624634,32;Ativo;CANCELAMENTO DE SALDO DE EMPENHO A LIQUIDAR PARA AJUSTE ORÇAMENTÁRIO DE ENCERRAMENTO DO EXERCÍCIO DE 2018, EM CUMPRIMENTO AO ART. 42 DA LEI COMPLEMENTAR FEDERAL 101/2000 ( LEI DE RESPONSABILIDADE FISC
