id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
87217;13591;68/2012;01/2015;453387,48;Emitida;COMPLETA;7
87220;13594;68/2012;02/2015;453387,48;Emitida;COMPLETA;7
87433;13801;68/2012;03/2015;453387,48;Emitida;FORTE;7
87878;14231;68/2012;04/2015;453387,48;Emitida;COMPLETA;7
87214;13588;94/2011;02/2015;286222,91;Emitida;COMPLETA;9
87213;13587;94/2011;01/2015;286222,91;Emitida;COMPLETA;9
88104;14451;94/2011;04/2015;281919,5;Emitida;COMPLETA;9
137383;34591;48/2021;12/2022;215061,76;Emitida;COMPLETA;31
87216;13590;67/2012;02/2015;211781,19;Emitida;COMPLETA;5
87215;13589;67/2012;01/2015;211781,19;Emitida;COMPLETA;5
87432;13800;67/2012;03/2015;211781,19;Emitida;FORTE;5
87876;14229;67/2012;04/2015;211781,19;Emitida;COMPLETA;5
155129;50272;48/2021;10/2023;168193,86;Emitida;COMPLETA;31
155130;50273;48/2021;11/2023;168193,86;Emitida;COMPLETA;31
155131;50274;48/2021;12/2023;168193,86;Emitida;COMPLETA;31
137380;34593;48/2021;12/2022;130664,92;Emitida;COMPLETA;31
147463;43188;48/2021;10/2023;106032,36;Emitida;COMPLETA;31
147482;43207;48/2021;11/2023;106032,36;Emitida;COMPLETA;31
147492;43216;48/2021;12/2023;106032,36;Emitida;COMPLETA;31
155126;50270;48/2021;09/2023;100362,15;Emitida;COMPLETA;31
137384;34589;48/2021;12/2022;91242,6;Emitida;COMPLETA;31
155128;50271;48/2021;09/2023;89703,39;Emitida;COMPLETA;31
87218;13592;68/2012;01/2015;74475,72;Emitida;COMPLETA;7
87221;13595;68/2012;02/2015;74475,72;Emitida;COMPLETA;7
87434;13802;68/2012;03/2015;74475,72;Emitida;FORTE;7
87879;14232;68/2012;04/2015;74475,72;Emitida;COMPLETA;7
147462;43189;48/2021;10/2023;66189,48;Emitida;COMPLETA;31
147481;43208;48/2021;11/2023;66189,48;Emitida;COMPLETA;31
147491;43219;48/2021;12/2023;66189,48;Emitida;COMPLETA;31
147426;43142;48/2021;09/2023;58977,67;Emitida;COMPLETA;31
147441;43153;48/2021;09/2023;56550,59;Emitida;COMPLETA;31
87219;13593;68/2012;01/2015;45976,16;Emitida;COMPLETA;7
87222;13596;68/2012;02/2015;45976,16;Emitida;COMPLETA;7
87435;13803;68/2012;03/2015;45976,16;Emitida;FORTE;7
87880;14233;68/2012;04/2015;45976,16;Emitida;COMPLETA;7
147427;43141;48/2021;09/2023;42579,88;Emitida;COMPLETA;31
147440;43154;48/2021;09/2023;35301,06;Emitida;COMPLETA;31
137381;34586;48/2021;12/2022;30748,43;Emitida;COMPLETA;31
147461;43190;48/2021;10/2023;30748,43;Emitida;COMPLETA;31
147480;43209;48/2021;11/2023;30748,43;Emitida;COMPLETA;31
147490;43217;48/2021;12/2023;30748,43;Emitida;COMPLETA;31
88357;14697;55/2015;05/2015;27470,92;Emitida;COMPLETA;5
88355;14695;54/2015;05/2015;24852,6;Emitida;COMPLETA;7
88543;14878;54/2015;06/2015;24852,6;Emitida;COMPLETA;7
88354;14694;54/2015;05/2015;20296,29;Emitida;COMPLETA;7
88542;14877;54/2015;06/2015;20296,29;Emitida;COMPLETA;7
147439;43155;48/2021;09/2023;16399,16;Emitida;COMPLETA;31
137377;34588;48/2021;12/2022;14542,44;Emitida;COMPLETA;31
147428;43147;48/2021;09/2023;14349,27;Emitida;COMPLETA;31
147460;43191;48/2021;10/2023;11660,45;Emitida;COMPLETA;31
147479;43210;48/2021;11/2023;11660,45;Emitida;COMPLETA;31
147489;43218;48/2021;12/2023;11660,45;Emitida;COMPLETA;31
167170;1688;18/2025;03/2026;9881,0;Emitida;FORTE;10
164955;372;18/2025;12/2025;9881,0;Parcialmente Paga;COMPLETA;10
147466;43185;48/2021;10/2023;8822,7;Emitida;FORTE;31
147476;43205;48/2021;11/2023;8822,7;Emitida;COMPLETA;31
147486;43214;48/2021;12/2023;8822,7;Emitida;COMPLETA;31
147467;43187;48/2021;10/2023;7646,34;Emitida;COMPLETA;31
147477;43212;48/2021;11/2023;7646,34;Emitida;COMPLETA;31
147487;43215;48/2021;12/2023;7646,34;Emitida;COMPLETA;31
147422;43146;48/2021;09/2023;6786,47;Emitida;COMPLETA;31
138027;34585;48/2021;12/2022;6273,92;Parcialmente Paga;COMPLETA;31
147438;43156;48/2021;09/2023;6218,91;Emitida;COMPLETA;31
147407;43140;48/2021;09/2023;5489,68;Emitida;COMPLETA;31
147424;43144;48/2021;09/2023;5441,54;Emitida;COMPLETA;31
147451;43150;48/2021;09/2023;4705,44;Emitida;FORTE;31
147408;43148;48/2021;09/2023;4666,23;Emitida;FORTE;31
