Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
SUHAB;Instalação  de redes elétricas e lógicas;025/2013;92689;05/2016;29.148,16;3593 dias;0,00;Suspenso;TramitarReverter Status
SUHAB;Licença de uso de sistemas de informação;046/2021;122692;02/2021;33.380,89;1839 dias;0,00;Suspenso;TramitarReverter Status
SUHAB;Licença de uso de sistemas de informação;046/2021;122694;01/2021;33.380,89;1839 dias;0,00;Suspenso;TramitarReverter Status
SUHAB;Licença de uso de sistemas de informação;046/2021;123185;03/2021;33.380,89;1813 dias;0,00;Suspenso;TramitarReverter Status
SUHAB;Licença de uso de sistemas de informação;046/2021;123872;04/2021;33.380,89;1780 dias;0,00;Suspenso;TramitarReverter Status
SUHAB;Licença de uso de sistemas de informação;046/2021;124586;05/2021;33.380,89;1749 dias;0,00;Suspenso;TramitarReverter Status
SUHAB;Licença de uso de sistemas de informação;046/2021;125289;06/2021;33.380,89;1717 dias;0,00;Suspenso;TramitarReverter Status
SUHAB;Licença de uso de sistemas de informação;046/2021;126050;07/2021;33.380,89;1687 dias;0,00;Suspenso;TramitarReverter Status
SUHAB;Licença de uso de sistemas de informação;046/2021;126606;08/2021;33.380,89;1655 dias;0,00;Suspenso;TramitarReverter Status
SUHAB;Licença de uso de sistemas de informação;046/2021;127412;09/2021;33.380,89;1625 dias;0,00;Suspenso;TramitarReverter Status
SUHAB;Licença de uso de sistemas de informação;046/2021;128052;10/2021;33.380,89;1598 dias;0,00;Suspenso;TramitarReverter Status
SUHAB;Execução de sistemas;010/2018;154323;10/2024;420,77;497 dias;0,00;Suspenso;TramitarReverter Status
SUHAB;Execução de sistemas;004/2024;166426;01/2026;300,88;41 dias;0,00;Suspenso;TramitarReverter Status
