numero;contrato;data_emissao;valor;situacao;descricao
2020NE01061;;31/12/2020;3184,4;Ativo;ANULAÇÃO DO SALDO DA NE 00994, EM VIRTUDE DO ENCERRAMENTO DO EXERCÍCIO, CONFORME DECRETO Nº 43.042, DE 18/11/2020.
2020NE01051;;31/12/2020;2360,0;Ativo;ANULAÇÃO DO SALDO DA NE 0027, EM VIRTUDE DO ENCERRAMENTO DO EXERCÍCIO, CONFORME DECRETO Nº 43.042, DE 18/11/2020.
2020NE01052;;31/12/2020;24269,02;Ativo;ANULAÇÃO DO SALDO DA NE 00028, EM VIRTUDE DO ENCERRAMENTO DO EXERCÍCIO, CONFORME DECRETO Nº 43.042, DE 18/11/2020.
2020NE01048;;31/12/2020;40662,12;Ativo;ANULAÇÃO DO SALDO PARCIAL DA NE 00662, CONFORME DECRETO Nº 43.042, DE 18/11/2020.
2023NE00678;9/2022;31/10/2023;4006,35;Ativo;Cobertura Financeira
2023NE0000678;;31/10/2023;4006,35;Ativo;Contratação da PRODAM para prestação de serviço de Firewall, compreendendo a prestação de serviços de gestão continuada em Segurança de Tecnologia da Informação, com a disponibilização de appliance. T
2018NE00753;;31/10/2018;5110,98;Ativo;ANULAÇÃO DO SALDO DA NE Nº 176/2018, POR ENCERRAMENTO DO PRAZO DO 4º TERMO ADITIVO AO CONTRATO Nº 17/2013-SUHAB/PRODAM.
2018NE00754;;31/10/2018;86918,46;Ativo;ANULAÇÃO DO SALDO DA NE Nº 180/2018, POR ENCERRAMENTO DO PRAZO DO 1º TERMO ADITIVO AO CONTRATO Nº 17/2016-SUHAB/PRODOM PROCESSAMENTO DE DADOS AMAZONAS SA.
2016NE01104;14/2014;31/10/2016;3410,8;Ativo;PRORROGAÇÃO 2º TERMO ADITIVO AO CONTRATO Nº 014/2014- SUHAB/ PRODAM PROCESSAMENTO DE DADOS AMAZONAS ,REFERENTE A CONTRATAÇÃO DE SERVIÇOS DE SISTEMAS PRODAM-RH, PARA MANTER O CADASTRO DOS SERVIDORES E 
2016NE01104;;31/10/2016;3410,8;Ativo;PRORROGAÇÃO 2º TERMO ADITIVO AO CONTRATO Nº 014/2014- SUHAB/ PRODAM PROCESSAMENTO DE DADOS AMAZONAS ,REFERENTE A CONTRATAÇÃO DE SERVIÇOS DE SISTEMAS PRODAM-RH, PARA MANTER O CADASTRO DOS SERVIDORES E 
2020NE00758;28/2017;31/08/2020;16334,8;Ativo;3º TERMO ADITIVO AO CONTRATO Nº 028/2017-SUHAB/PRODAM PROCESSAMENTO DE DADOS AMAZONAS S/A, REFERENTE A CONTRATAÇÃO DOS SERVIÇOS DE FIREWALL, COMPREENDENDO A PRESTAÇÃO DE SERVIÇOS DE GESTÃO CONTINUADA 
2018NE00557;28/2017;31/08/2018;15608,96;Ativo;Contratação dos serviços de fireqall, compreendendo a prestação de serviços de gestão continuada em segurança de tecnologia da informação, com disponibilidade de appliance (conjunto de equipamentos e 
2025NE0000385;4/2024;31/07/2025;3606,6;Ativo;Contratação de solução tecnológica para gestão de margem consignável em folha de pagamento referente às parcelas de financiamentos da casa própria de servidores ativos, aposentados e pensionistas de Ó
2025NE0000383;1/2022;31/07/2025;10193,26;Ativo;Contratação para a prestação de serviços de fornecimento de Execução de Sistemas PRODAM-RH para controle de cadastro de pessoal, processamento de folha de pagamento de servidores para atender às neces
2025NE0000381;9/2020;31/07/2025;17941,56;Ativo;Contratação de empresa especializada na prestação dos serviços de Informática consistindo no fornecimento de Circuito de Transmissão de Dados e Acesso Gerenciado à Rede Mundial, para atender às necess
2025NE0000382;1/2021;31/07/2025;4744,06;Ativo;Contratação de empresa para prestação de serviço de Licença de Uso de Sistema de Informação, compreendendo a disponibilização de Gestor de Conteúdo Web, para a publicação de informações, notícias, víd
2025NE0000384;9/2022;31/07/2025;8354,04;Ativo;Contratação da PRODAM para prestação de serviço de Firewall, compreendendo a prestação de serviços de gestão continuada em Segurança de Tecnologia da Informação, com a disponibilização de appliance. T
2025NE0000070;1/2022;31/01/2025;5096,63;Ativo;Contratação para a prestação de serviços de fornecimento de Execução de Sistemas PRODAM-RH para controle de cadastro de pessoal, processamento de folha de pagamento de servidores para atender às neces
2024NE0000042;1/2021;31/01/2024;2226,42;Ativo;Contratação de empresa para prestação de serviço de Licença de Uso de Sistema de Informação, compreendendo a disponibilização de Gestor de Conteúdo Web, para a publicação de informações, notícias, víd
2018NE00107;1/2015;31/01/2018;110265,1;Ativo;4º TERMO ADITIVO AO TERMO DE CONTRATO 001/2015-SUHAB/PRODAM PROCESSAMENTO DE DADOS DA AMAZONAS S/A,REFERENTE A PRORROGAÇÃO DO PRAZO PELO PERÍODO DE 12(DOZE)MESES , CORRESPONDENTE A CONTRATAÇÃO DOS SER
2017NE00095;1/2015;31/01/2017;110265,1;Ativo;3º TERMO ADITIVO AO TERMO DE CONTRATO 001/2015-SUHAB,REFERENTE A PRORROGAÇÃO DO PRAZO PELO PERÍODO DE 12(DOZE)MESES E REJUSTE COM BASE IGPM NO PERCENTUAL DE 8,79%,CORRESPONDENTE A CONTRATAÇÃO DOS SERV
2019NE00759;;30/12/2019;26626,79;Ativo;ANULAÇÃO PARCIAL DO SALDO DA NE 31/2019 POR ENCERRAMENTO DO EXERCÍCIO CONFORME DECRETO Nº 41.554 DE 26 DE NOVEMBRO DE 2019
2025NE0000584;9/2020;30/11/2025;17941,56;Ativo;Contratação de empresa especializada na prestação dos serviços de Informática consistindo no fornecimento de Circuito de Transmissão de Dados e Acesso Gerenciado à Rede Mundial, para atender às necess
2025NE0000585;1/2021;30/11/2025;4744,06;Ativo;Contratação de empresa para prestação de serviço de Licença de Uso de Sistema de Informação, compreendendo a disponibilização de Gestor de Conteúdo Web, para a publicação de informações, notícias, víd
2022NE0000589;9/2020;30/11/2022;6538,93;Ativo;2º TERMO ADITIVO AO TERMO AO CONTRATO 009/2020 -SUHAB/PRODAM PROCESSAMENTO DE DADOS DA AMAZONAS S/A, PARA CONTINUIDADE DO SERVIÇO CIRCUITO DE TRANSMISSÃO DE DADOS E ACESSO GERENCIADO A REDE MUNDIAL, I
2022NE00589;;30/11/2022;6538,93;Ativo;2º T.A Contrato 009/2020
2021NE0000797;9/2020;30/11/2021;6021,7;Ativo;1º TERMO ADITIVO AO TERMO AO CONTRATO 009/2020 -SUHAB/PRODAM PROCESSAMENTO DE DADOS DA AMAZONAS S/A, PARA CONTINUIDADE DO SERVIÇO CIRCUITO DE TRANSMISSÃO DE DADOS E ACESSO GERENCIADO A REDE MUNDIAL, I
2025NE0000480;9/2020;30/09/2025;17941,56;Ativo;Contratação de empresa especializada na prestação dos serviços de Informática consistindo no fornecimento de Circuito de Transmissão de Dados e Acesso Gerenciado à Rede Mundial, para atender às necess
2025NE0000481;1/2021;30/09/2025;4744,06;Ativo;Contratação de empresa para prestação de serviço de Licença de Uso de Sistema de Informação, compreendendo a disponibilização de Gestor de Conteúdo Web, para a publicação de informações, notícias, víd
2025NE0000482;9/2022;30/09/2025;8354,04;Ativo;Contratação da PRODAM para prestação de serviço de Firewall, compreendendo a prestação de serviços de gestão continuada em Segurança de Tecnologia da Informação, com a disponibilização de appliance. T
2014NE00889;13/2009;30/09/2014;24660,12;Ativo;Contrato No. 13/2009 - Acesso Computador Central 3 Mbps /Internet link 2 Mbps
2015NE00178;1/2015;30/01/2015;134135,32;Ativo;Empenho de contrato: importado manualmente em 21/09/2015
2016NE01325;;29/12/2016;2587,37;Ativo;ANULAÇÃO DO SALDO NE Nº 52 POR ENCERRAMENTO DE EXERCÍCIO,CONFORME INSTRUÇÃO NORMATIVA Nº 01/2016, DE 14 DE DEZEMBRO/2016-SET/SEFAZ.
2016NE01343;;29/12/2016;44,25;Ativo;ANULAÇÃO DO SALDO NE 99 POR ENCERRAMENTO DO EXERCÍCIO, CONFORME INSTRUÇÃO NORMATIVA Nº 01/2016, DE 14 DE DEZEMBRO DE 2016-SET/SEFAZ.
2016NE01379;;29/12/2016;2045,28;Ativo;ANULAÇÃO DO SALDO NE Nº 1104 POR ENCERRAMENTO DO EXERCÍCIO,CONFORME INSTRUÇÃO NORMATIVA Nº 01/2016, DE 14 DE DEZEMBRO/2016-SET/SEFAZ.
2016NE01380;;29/12/2016;3583,11;Ativo;ANULAÇÃO DO SALDO NE 874 POR ENCERRAMENTO DO EXERCÍCIO, CONFORME INSTRUÇÃO NORMATIVA Nº 01/2016, DE 14 DE DEZEMBRO DE 2016-SET/SEFAZ.
2016NE01354;;29/12/2016;4451,16;Ativo;ANULAÇÃO DO SALDO NE 103 POR ENCERRAMENTO DO EXERCÍCIO, CONFORME INSTRUÇÃO NORMATIVA Nº 01/2016, DE 14 DE DEZEMBRO DE 2016-SET/SEFAZ.
2016NE01334;;29/12/2016;17045,7;Ativo;ANULAÇÃO DO SALDO NE Nº 74 POR ENCERRAMENTO DE EXERCÍCIO,CONFORME INSTRUÇÃO NORMATIVA Nº 01/2016, DE 14 DE DEZEMBRO/2016-SET/SEFAZ.
2016NE01352;;29/12/2016;28,14;Ativo;ANULAÇÃO DO SALDO NE Nº 177 POR ENCERRAMENTO DO EXERCÍCIO,CONFORME INSTRUÇÃO NORMATIVA Nº 01/2016, DE 14 DE DEZEMBRO/2016-SET/SEFAZ.
2018NE00390;17/2016;29/06/2018;327620,46;Ativo;Contratação dos serviços de execução de sistema em plataforma web (Sproweb), objetivando o controle e acompanhamento do registro de todos os documentos ou processos do cliente: Para atender as necessi
2018NE00099;17/2016;29/01/2018;54603,41;Ativo;Contratação de serviços de execução de sistema em plataforma Web (SPROWeb0, objetivando o controle e acompanhamento do registro de todos os documentos ou processos do cliente: Licença de uso de sistem
2023NE0000835;;28/12/2023;4185,29;Ativo;ANULAÇÃO DO SALDO DA NE Nº 94/2023 POR ENCERRAMENTO DE EXERCÍCIO, CONFORME DECRETO Nº 48.343/2023 DE 26/10/2023.
2022NE0000164;;28/12/2022;1787,87;Ativo;ANULAÇÃO DE SALDO DA NE Nº 100 DE ACORDO COM O DECRETO Nº 5.829 DE 24/03/22
2022NE0000636;;28/12/2022;3462,63;Ativo;ANULAÇÃO DO SAADO DA NE 188 CONTRATO 10/2018 POR ENCERRAMENTO DO PRAZO DO CONTRATO
2022NE0000647;;28/12/2022;11930,33;Ativo;ANUIAÇAO DO SAIDO DA NE 471 POR ENCERRAMENTO DO EXERCICIO CONFORME DECRETO 46.621 DE 11/11/2022
2022NE0000638;;28/12/2022;30207,49;Ativo;ANULAÇÃO DE SALDO DA NE Nº 189 DE ACORDO COM O DECRETO Nº 46.621 DE 11/11/2022
2022NE0000637;;28/12/2022;1522,76;Ativo;ANUIAÇAO DO SAADO DA NE 491 POR DETERMINAÇAO DO DECRETO 46.621 DE 11/11/2022
2022NE0000172;;28/12/2022;16,33;Ativo;ANUIAÇAO DO SAIDO DA NE 86 POR DETERMINAÇAO DA IEI 5.829 DE 24 DE MARÇO DE 2022
2022NE0000165;;28/12/2022;1629,0;Ativo;ANULAÇÃO DO SALDO DA NE 0083 DE ACORDO COM A LEI 5.829 DE 24/03/2022
2018NE00951;;28/12/2018;0,55;Ativo;CANCELAMENTO PARA AJUSTE ORÇAMENTÁRIO DE ENCERRAMENTO DO EXERCÍCIO DE 2018, EM CUMPRIMENTO AO ART. 42 DA LEI FEDERAL Nº 101/2000 ( LEI DE RESPONSABILIDADE FISCAL).
2017NE00798;;28/12/2017;225119,02;Ativo;ANULAÇÃO DO SALDO DA NE 18 POR ENCERRAMENTO DO EXERCÍCIO, CONFORME INSTRUÇÃO NORMATIVA Nº 0001/2017-GSEFAZ.
2017NE00806;;28/12/2017;4944,85;Ativo;ANULAÇÃO DO SALDO NE 27 POR ENCERRAMENTO DO EXERCÍCIO, CONFORME INSTRUÇÃO NORMATIVA Nº 0001/2017-GSEFAZ.
2017NE00832;;28/12/2017;3,27;Ativo;ANULAÇÃO DO SALDO NE 266 POR ENCERRAMENTO DO EXERCÍCIO, CONFORME INSTRUÇÃO NORMATIVA Nº 0001/2017-GSEFAZ.
2017NE00840;;28/12/2017;214768,71;Ativo;ANULAÇÃO DO SALDO NE 421 POR ENCERRAMENTO DO EXERCÍCIO, CONFORME INSTRUÇÃO NORMATIVA Nº 0001/2017-GSEFAZ.
2017NE00796;;28/12/2017;29065,05;Ativo;ANULAÇÃO DO SALDO DA NE 09 POR ENCERRAMENTO DO EXERCÍCIO, CONFORME INSTRUÇÃO NORMATIVA Nº 0001/2017-GSEFAZ.
2017NE00820;;28/12/2017;0,55;Ativo;ANULAÇÃO DO SALDO NE 095 POR ENCERRAMENTO DO EXERCÍCIO, CONFORME INSTRUÇÃO NORMATIVA Nº 0001/2017-GSEFAZ.
2017NE00803;;28/12/2017;128,84;Ativo;ANULAÇÃO DO SALDO DA NE Nº 17 POR ENCERRAMENTO DO EXERCÍCIO, CONFORME INSTRUÇÃO NORMATIVA Nº 0001/2017-GSEFAZ.
2024NE0000683;4/2024;28/11/2024;1803,3;Ativo;Contratação de solução tecnológica para gestão de margem consignável em folha de pagamento referente às parcelas de financiamentos da casa própria de servidores ativos, aposentados e pensionistas de Ó
2016NE01152;4/2011;28/11/2016;1300,47;Ativo;COMPLEMENTO DO SALDO 5º TERMO ADITIVO AO CONTRATO Nº 04/2011-FEH/SUHAB, COM A EMPRESA PRODAM, REFERENTE AOS SERVIÇOS DE INFORMÁTICA PARA PROCESSAMENTO MENSAL DO SISTEMA CADASTRO E FOLHA DE PAGAMENTO D
2016NE01166;23/2016;28/11/2016;6614,68;Ativo;TERMO DE CONTRATO Nº 023/2016-SUHAB/PRODAM PROCESSAMENTO DE DADOS AMAZONAS S/A, REFERENTE SERVIÇOS DE INFORMÁTICA, REFERENTE A PROCESSAMENTO DE CADASTRO DE FOLHA DE PAGAMENTO DE PESSOAL-SISTEMA CFPP. 
2024NE0000604;9/2022;28/10/2024;4177,02;Ativo;Contratação da PRODAM para prestação de serviço de Firewall, compreendendo a prestação de serviços de gestão continuada em Segurança de Tecnologia da Informação, com a disponibilização de appliance. T
2021NE0000389;23/2016;28/06/2021;25129,32;Ativo;SALDO DO 4º TERMO ADITIVO AO CONTRATO Nº 023/2016 -SUHAB/PRODAM , PELO PRAZO DE 12(DOZE) MESES, REF. A CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA SERVIÇOS DE EXECUÇÃO DO SISTEMA DE FOLHA DE PAGAMENTO D
2021NE0000388;1/2021;28/06/2021;6868,12;Ativo;SALDO DA CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A PRESTAÇÃO DE SERVIÇOS DE LICENÇA DE USO DE SISTEMA DE INFORMAÇÃO COMPREENDENDO A DISPONIBILIDADE DE GESTOR DE CONTEÚDO WEB PARA A PUBLICAÇÃO DE INF
2021NE0000387;28/2017;28/06/2021;8167,4;Ativo;SALDO DO 3º TERMO ADITIVO AO CONTRATO Nº 028/2017 SUHAB/PRODAM PROCESSAMENTO DE DADOS AMAZONAS S/A PELO PRAZO DE 12(DOZE) MESES, PARA CONTINUIDADE DOS SERVIÇOS DE FIREWALL, COMPREENDENDO A PRESTAÇÃO D
2024NE0000775;;27/12/2024;28268,12;Ativo;ANULAÇÃO DO SALDO PARCIAL DA NE Nº 57 DEVIDO ENCERRAMENTO DE EXERCÍCIO CONFORME DECRETO Nº 50.522 DE 22 DE OUTUBRO DE 2024.
