id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
122692;19753;46/2021;02/2021;33380,89;Emitida;COMPLETA;6
122694;19791;46/2021;01/2021;33380,89;Emitida;COMPLETA;2
123185;20315;46/2021;03/2021;33380,89;Emitida;COMPLETA;0
123872;20909;46/2021;04/2021;33380,89;Emitida;COMPLETA;0
124586;21618;46/2021;05/2021;33380,89;Emitida;COMPLETA;0
125289;22293;46/2021;06/2021;33380,89;Emitida;COMPLETA;5
126050;23024;46/2021;07/2021;33380,89;Emitida;COMPLETA;0
126606;23567;46/2021;08/2021;33380,89;Emitida;COMPLETA;0
127412;24327;46/2021;09/2021;33380,89;Emitida;COMPLETA;1
128052;24914;46/2021;10/2021;33380,89;Emitida;COMPLETA;1
92689;18519;25/2013;05/2016;29148,16;Emitida;COMPLETA;4
154323;49556;10/2018;10/2024;1202,2;Parcialmente Paga;COMPLETA;78
166426;724;4/2024;01/2026;300,88;Emitida;FORTE;81
