Cliente;Serviços;Contrato;Número;Comp.;Valor;Atraso;Corrigido;Status;Ações
SUL AMERICA;Execução de sistemas;082/2024;151298;06/2024;920,00;623 dias;0,00;Pendente;
SUL AMERICA;Execução de sistemas;082/2024;152054;07/2024;928,00;589 dias;0,00;Pendente;
SUL AMERICA;Execução de sistemas;082/2024;152817;08/2024;934,00;560 dias;0,00;Pendente;
SUL AMERICA;Execução de sistemas;082/2024;153531;09/2024;904,00;533 dias;0,00;Pendente;
SUL AMERICA;Execução de sistemas;082/2024;154418;10/2024;912,00;497 dias;0,00;Pendente;
SUL AMERICA;Execução de sistemas;082/2024;155167;11/2024;910,00;469 dias;0,00;Pendente;
SUL AMERICA;Execução de sistemas;082/2024;155944;12/2024;874,00;444 dias;0,00;Pendente;
SUL AMERICA;Execução de sistemas;082/2024;156615;01/2025;904,00;414 dias;0,00;Pendente;
SUL AMERICA;Execução de sistemas;082/2024;157525;02/2025;842,00;378 dias;0,00;Pendente;
SUL AMERICA;Execução de sistemas;082/2024;158352;03/2025;840,00;349 dias;0,00;Pendente;
SUL AMERICA;Execução de sistemas;082/2024;159125;04/2025;2.676,00;317 dias;0,00;Pendente;
SUL AMERICA;Execução de sistemas;082/2024;159766;05/2025;860,00;293 dias;0,00;Pendente;
SUL AMERICA;Execução de sistemas;082/2024;160715;06/2025;800,00;259 dias;0,00;Pendente;
SUL AMERICA;Execução de sistemas;082/2024;161380;07/2025;838,00;232 dias;0,00;Pendente;
SUL AMERICA;Execução de sistemas;082/2024;162363;08/2025;814,00;195 dias;0,00;Pendente;
SUL AMERICA;Execução de sistemas;082/2024;163194;09/2025;832,00;163 dias;0,00;Pendente;
SUL AMERICA;Execução de sistemas;082/2024;163847;10/2025;822,00;140 dias;0,00;Pendente;
SUL AMERICA;Execução de sistemas;082/2024;164757;11/2025;814,00;105 dias;0,00;Pendente;
SUL AMERICA;Execução de sistemas;082/2024;165612;12/2025;772,00;79 dias;0,00;Pendente;
SUL AMERICA;Execução de sistemas;082/2024;166440;01/2026;802,00;41 dias;0,00;Pendente;
