id;nf;contrato;competencia;valor_bruto;situacao;cadeia;empenhos_vinc
159125;54225;82/2024;04/2025;2676,0;Emitida;COMPLETA;0
152817;48147;82/2024;08/2024;934,0;Emitida;COMPLETA;0
152054;47443;82/2024;07/2024;928,0;Emitida;COMPLETA;0
151298;46724;82/2024;06/2024;920,0;Emitida;COMPLETA;0
154418;49668;82/2024;10/2024;912,0;Emitida;COMPLETA;0
155167;50372;82/2024;11/2024;910,0;Emitida;COMPLETA;0
153531;48795;82/2024;09/2024;904,0;Emitida;COMPLETA;0
156615;51806;82/2024;01/2025;904,0;Emitida;COMPLETA;0
155944;51003;82/2024;12/2024;874,0;Emitida;COMPLETA;0
159766;54880;82/2024;05/2025;860,0;Emitida;MEDIA;0
157525;52672;82/2024;02/2025;842,0;Emitida;COMPLETA;0
158352;53479;82/2024;03/2025;840,0;Emitida;COMPLETA;0
161380;56418;82/2024;07/2025;838,0;Emitida;COMPLETA;0
163194;58192;82/2024;09/2025;832,0;Emitida;COMPLETA;0
163847;58803;82/2024;10/2025;822,0;Emitida;COMPLETA;0
162363;57378;82/2024;08/2025;814,0;Emitida;COMPLETA;0
164757;59684;82/2024;11/2025;814,0;Emitida;COMPLETA;0
166440;742;82/2024;01/2026;802,0;Emitida;COMPLETA;0
160715;55757;82/2024;06/2025;800,0;Emitida;COMPLETA;0
165612;60525;82/2024;12/2025;772,0;Emitida;MEDIA;0
