nome_original;nome_novo;tipo;numero;orgao;cnpj;data;valor_principal;procedencia;estagio;score;confianca;caminho_original;caminho_novo;erro
30460.pdf;CONTRATO_PRODAM_2026-03-17_b7d7ba.pdf;CONTRATO;;PRODAM;04407920000180;2026-03-17;9624.79;P1-DOC;nativo;1.0;0.8;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\Empresas Privadas\ANOREG\30460.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_Empresas_Priv\CONTRATO_PRODAM_2026-03-17_b7d7ba.pdf;
31142.pdf;CONTRATO_PRODAM_2026-03-17_48937e.pdf;CONTRATO;;PRODAM;04407920000180;2026-03-17;8912.41;P1-DOC;nativo;1.0;0.8;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\Empresas Privadas\ANOREG\31142.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_Empresas_Priv\CONTRATO_PRODAM_2026-03-17_48937e.pdf;
31832.pdf;CONTRATO_PRODAM_2026-03-17_f7ad42.pdf;CONTRATO;;PRODAM;04407920000180;2026-03-17;10206.95;P1-DOC;nativo;1.0;0.8;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\Empresas Privadas\ANOREG\31832.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_Empresas_Priv\CONTRATO_PRODAM_2026-03-17_f7ad42.pdf;
32534.pdf;CONTRATO_PRODAM_2026-03-17_b7cb6e.pdf;CONTRATO;;PRODAM;04407920000180;2026-03-17;7583.40;P1-DOC;nativo;1.0;0.8;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\Empresas Privadas\ANOREG\32534.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_Empresas_Priv\CONTRATO_PRODAM_2026-03-17_b7cb6e.pdf;
33216.pdf;CONTRATO_PRODAM_2026-03-17_6f31c4.pdf;CONTRATO;;PRODAM;04407920000180;2026-03-17;7537.44;P1-DOC;nativo;1.0;0.8;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\Empresas Privadas\ANOREG\33216.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_Empresas_Priv\CONTRATO_PRODAM_2026-03-17_6f31c4.pdf;
33886.pdf;CONTRATO_PRODAM_2026-03-17_425fcd.pdf;CONTRATO;;PRODAM;04407920000180;2026-03-17;7368.00;P1-DOC;nativo;1.0;0.8;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\Empresas Privadas\ANOREG\33886.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_Empresas_Priv\CONTRATO_PRODAM_2026-03-17_425fcd.pdf;
34573.pdf;CONTRATO_PRODAM_2026-03-17_2e4036.pdf;CONTRATO;;PRODAM;04407920000180;2026-03-17;8632.00;P1-DOC;nativo;1.0;0.8;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\Empresas Privadas\ANOREG\34573.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_Empresas_Priv\CONTRATO_PRODAM_2026-03-17_2e4036.pdf;
35267.pdf;CONTRATO_PRODAM_2026-03-17_49a8c6.pdf;CONTRATO;;PRODAM;04407920000180;2026-03-17;9875.84;P1-DOC;nativo;1.0;0.8;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\Empresas Privadas\ANOREG\35267.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_Empresas_Priv\CONTRATO_PRODAM_2026-03-17_49a8c6.pdf;
35924.pdf;CONTRATO_PRODAM_2026-03-17_c47424.pdf;CONTRATO;;PRODAM;04407920000180;2026-03-17;7517.12;P1-DOC;nativo;1.0;0.8;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\Empresas Privadas\ANOREG\35924.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_Empresas_Priv\CONTRATO_PRODAM_2026-03-17_c47424.pdf;
36583.pdf;CONTRATO_PRODAM_2026-03-17_b00f2b.pdf;CONTRATO;;PRODAM;04407920000180;2026-03-17;10192.00;P1-DOC;nativo;1.0;0.8;C:\Users\gabri\Desktop\PROJETO_PRODAM\PRODAM_DOCS\Empresas Privadas\ANOREG\36583.pdf;C:\Users\gabri\Desktop\DETRAN_AUDITORIA_COMPLETA\20_OCR_OUTPUT\pesquisaveis\PRODAM_Empresas_Priv\CONTRATO_PRODAM_2026-03-17_b00f2b.pdf;
