caminho_original;nome_original;nome_proposto;raiz;confianca;tipo;numero;orgao;data;suspeito
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10659_DETRAN.pdf;empenho_10659_DETRAN.pdf;CONTRATO_DETRAN_2018-11-05_98913d.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2018-11-05;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10012_DETRAN.pdf;empenho_10012_DETRAN.pdf;TA_032018_DETRAN_2018-03-26_46999d.pdf;SPCF_EXTRACAO;0.85;TA;03/2018;DETRAN;2018-03-26;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10022_DETRAN.pdf;empenho_10022_DETRAN.pdf;TA_032018_DETRAN_2018-03-26_a2a254.pdf;SPCF_EXTRACAO;0.85;TA;03/2018;DETRAN;2018-03-26;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10001_DETRAN.pdf;empenho_10001_DETRAN.pdf;TA_032018_DETRAN_2018-03-26_49cdf1.pdf;SPCF_EXTRACAO;0.85;TA;03/2018;DETRAN;2018-03-26;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10009_DETRAN.pdf;empenho_10009_DETRAN.pdf;TA_032018_DETRAN_2018-03-26_b37e71.pdf;SPCF_EXTRACAO;0.85;TA;03/2018;DETRAN;2018-03-26;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10000_DETRAN.pdf;empenho_10000_DETRAN.pdf;TA_032018_DETRAN_2018-03-26_db90b4.pdf;SPCF_EXTRACAO;0.85;TA;03/2018;DETRAN;2018-03-26;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10014_DETRAN.pdf;empenho_10014_DETRAN.pdf;TA_032018_DETRAN_2018-03-26_85e49f.pdf;SPCF_EXTRACAO;0.85;TA;03/2018;DETRAN;2018-03-26;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10664_DETRAN.pdf;empenho_10664_DETRAN.pdf;CONTRATO_DETRAN_2018-11-05_62ad39.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2018-11-05;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10663_DETRAN.pdf;empenho_10663_DETRAN.pdf;CONTRATO_DETRAN_2018-11-05_ebfbc1.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2018-11-05;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10952_DETRAN.pdf;empenho_10952_DETRAN.pdf;CONTRATO_0252014_DETRAN_2019-01-02_6310a7.pdf;SPCF_EXTRACAO;0.85;CONTRATO;025/2014;DETRAN;2019-01-02;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10969_DETRAN.pdf;empenho_10969_DETRAN.pdf;CONTRATO_DETRAN_2019-01-02_79d690.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2019-01-02;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10975_DETRAN.pdf;empenho_10975_DETRAN.pdf;CONTRATO_0042016_DETRAN_2019-01-02_f19559.pdf;SPCF_EXTRACAO;0.85;CONTRATO;004/2016;DETRAN;2019-01-02;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10960_DETRAN.pdf;empenho_10960_DETRAN.pdf;CONTRATO_DETRAN_2019-01-02_53f8da.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2019-01-02;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10665_DETRAN.pdf;empenho_10665_DETRAN.pdf;CONTRATO_0172015_DETRAN_2018-11-05_500613.pdf;SPCF_EXTRACAO;0.85;CONTRATO;017/2015;DETRAN;2018-11-05;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10996_DETRAN.pdf;empenho_10996_DETRAN.pdf;CONTRATO_0272014_DETRAN_2019-01-02_3634aa.pdf;SPCF_EXTRACAO;0.85;CONTRATO;027/2014;DETRAN;2019-01-02;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10661_DETRAN.pdf;empenho_10661_DETRAN.pdf;CONTRATO_DETRAN_2018-11-05_9eea9a.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2018-11-05;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10970_DETRAN.pdf;empenho_10970_DETRAN.pdf;CONTRATO_012016_DETRAN_2019-01-02_809958.pdf;SPCF_EXTRACAO;0.85;CONTRATO;01/2016;DETRAN;2019-01-02;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10978_DETRAN.pdf;empenho_10978_DETRAN.pdf;CONTRATO_232014_DETRAN_2019-01-02_b89024.pdf;SPCF_EXTRACAO;0.85;CONTRATO;23/2014;DETRAN;2019-01-02;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11011_DETRAN.pdf;empenho_11011_DETRAN.pdf;CONTRATO_0042016_DETRAN_2019-01-02_fa2ad8.pdf;SPCF_EXTRACAO;0.85;CONTRATO;004/2016;DETRAN;2019-01-02;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10993_DETRAN.pdf;empenho_10993_DETRAN.pdf;CONTRATO_0172015_DETRAN_2019-01-02_f1f9b3.pdf;SPCF_EXTRACAO;0.85;CONTRATO;017/2015;DETRAN;2019-01-02;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11064_DETRAN.pdf;empenho_11064_DETRAN.pdf;CONTRATO_DETRAN_2018-12-28_558f78.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2018-12-28;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11015_DETRAN.pdf;empenho_11015_DETRAN.pdf;CONTRATO_0042016_DETRAN_2019-01-02_6325b7.pdf;SPCF_EXTRACAO;0.85;CONTRATO;004/2016;DETRAN;2019-01-02;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11323_DETRAN.pdf;empenho_11323_DETRAN.pdf;TA_022019_DETRAN_2019-02-25_ae583d.pdf;SPCF_EXTRACAO;0.85;TA;02/2019;DETRAN;2019-02-25;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11074_DETRAN.pdf;empenho_11074_DETRAN.pdf;TA_122018_DETRAN_2018-12-28_466da3.pdf;SPCF_EXTRACAO;0.85;TA;12/2018;DETRAN;2018-12-28;0
