caminho_atual;nome_atual;nome_limpo;caminho_novo;contrato;status_validacao;sha_antes;sha_depois;status;erro
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-00264_CT-028.2012-SUSPEITO_Ordinario.pdf;NE-2018-00264_CT-028.2012-SUSPEITO_Ordinario.pdf;NE-2018-00264_CT-028.2012_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-00264_CT-028.2012_Ordinario.pdf;028/2012;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-00256_CT-023.2014-SUSPEITO_Ordinario.pdf;NE-2018-00256_CT-023.2014-SUSPEITO_Ordinario.pdf;NE-2018-00256_CT-023.2014_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-00256_CT-023.2014_Ordinario.pdf;023/2014;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-00257_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2018-00257_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2018-00257_CT-011.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-00257_CT-011.2016_Ordinario.pdf;011/2016;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-00024_CT-023.2014-SUSPEITO_Ordinario.pdf;NE-2019-00024_CT-023.2014-SUSPEITO_Ordinario.pdf;NE-2019-00024_CT-023.2014_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-00024_CT-023.2014_Ordinario.pdf;023/2014;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-01377_CT-023.2014-SUSPEITO_Ordinario.pdf;NE-2018-01377_CT-023.2014-SUSPEITO_Ordinario.pdf;NE-2018-01377_CT-023.2014_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-01377_CT-023.2014_Ordinario.pdf;023/2014;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-00225_CT-005.2016-SUSPEITO_Ordinario.pdf;NE-2019-00225_CT-005.2016-SUSPEITO_Ordinario.pdf;NE-2019-00225_CT-005.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-00225_CT-005.2016_Ordinario.pdf;005/2016;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-00571_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2019-00571_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2019-00571_CT-011.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-00571_CT-011.2016_Ordinario.pdf;011/2016;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-00245_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2019-00245_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2019-00245_CT-011.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-00245_CT-011.2016_Ordinario.pdf;011/2016;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00010_CT-005.2016-SUSPEITO_Ordinario.pdf;NE-2020-00010_CT-005.2016-SUSPEITO_Ordinario.pdf;NE-2020-00010_CT-005.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00010_CT-005.2016_Ordinario.pdf;005/2016;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00006_CT-005.2016-SUSPEITO_Ordinario.pdf;NE-2020-00006_CT-005.2016-SUSPEITO_Ordinario.pdf;NE-2020-00006_CT-005.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00006_CT-005.2016_Ordinario.pdf;005/2016;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00013_CT-005.2016-SUSPEITO_Ordinario.pdf;NE-2020-00013_CT-005.2016-SUSPEITO_Ordinario.pdf;NE-2020-00013_CT-005.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00013_CT-005.2016_Ordinario.pdf;005/2016;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00055_CT-014.2019-SUSPEITO_Ordinario.pdf;NE-2020-00055_CT-014.2019-SUSPEITO_Ordinario.pdf;NE-2020-00055_CT-014.2019_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00055_CT-014.2019_Ordinario.pdf;014/2019;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00025_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2020-00025_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2020-00025_CT-011.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00025_CT-011.2016_Ordinario.pdf;011/2016;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-01393_CT-014.2019-SUSPEITO_Ordinario.pdf;NE-2019-01393_CT-014.2019-SUSPEITO_Ordinario.pdf;NE-2019-01393_CT-014.2019_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-01393_CT-014.2019_Ordinario.pdf;014/2019;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00679_CT-014.2019-SUSPEITO_Ordinario.pdf;NE-2020-00679_CT-014.2019-SUSPEITO_Ordinario.pdf;NE-2020-00679_CT-014.2019_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00679_CT-014.2019_Ordinario.pdf;014/2019;canonico;;;DRY_RUN;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-01094_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2020-01094_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2020-01094_CT-011.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-01094_CT-011.2016_Ordinario.pdf;011/2016;canonico;;;DRY_RUN;
