caminho;nome;raiz;tipo_original;confianca_original;tipo_reclass;numero_reclass;orgao;data;size_bytes;mudou;fonte_tipo
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10659_DETRAN.pdf;empenho_10659_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;10659;DETRAN;2018-11-05;70484;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10012_DETRAN.pdf;empenho_10012_DETRAN.pdf;SPCF_EXTRACAO;TA;0.85;NE;10012;DETRAN;2018-03-26;72715;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10022_DETRAN.pdf;empenho_10022_DETRAN.pdf;SPCF_EXTRACAO;TA;0.85;NE;10022;DETRAN;2018-03-26;71431;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10001_DETRAN.pdf;empenho_10001_DETRAN.pdf;SPCF_EXTRACAO;TA;0.85;NE;10001;DETRAN;2018-03-26;72253;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10009_DETRAN.pdf;empenho_10009_DETRAN.pdf;SPCF_EXTRACAO;TA;0.85;NE;10009;DETRAN;2018-03-26;71666;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10000_DETRAN.pdf;empenho_10000_DETRAN.pdf;SPCF_EXTRACAO;TA;0.85;NE;10000;DETRAN;2018-03-26;73013;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10014_DETRAN.pdf;empenho_10014_DETRAN.pdf;SPCF_EXTRACAO;TA;0.85;NE;10014;DETRAN;2018-03-26;71224;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10664_DETRAN.pdf;empenho_10664_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;10664;DETRAN;2018-11-05;70475;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10663_DETRAN.pdf;empenho_10663_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;10663;DETRAN;2018-11-05;70645;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10952_DETRAN.pdf;empenho_10952_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;10952;DETRAN;2019-01-02;70796;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10969_DETRAN.pdf;empenho_10969_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;10969;DETRAN;2019-01-02;70498;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10975_DETRAN.pdf;empenho_10975_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;10975;DETRAN;2019-01-02;71353;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10960_DETRAN.pdf;empenho_10960_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;10960;DETRAN;2019-01-02;71847;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10665_DETRAN.pdf;empenho_10665_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;10665;DETRAN;2018-11-05;70660;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10996_DETRAN.pdf;empenho_10996_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;10996;DETRAN;2019-01-02;71313;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10661_DETRAN.pdf;empenho_10661_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;10661;DETRAN;2018-11-05;70649;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10970_DETRAN.pdf;empenho_10970_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;10970;DETRAN;2019-01-02;71500;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10978_DETRAN.pdf;empenho_10978_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;10978;DETRAN;2019-01-02;71855;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11011_DETRAN.pdf;empenho_11011_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;11011;DETRAN;2019-01-02;69905;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10993_DETRAN.pdf;empenho_10993_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;10993;DETRAN;2019-01-02;74394;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11064_DETRAN.pdf;empenho_11064_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.65;NE;11064;DETRAN;2018-12-28;70307;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11015_DETRAN.pdf;empenho_11015_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;0.85;NE;11015;DETRAN;2019-01-02;71349;1;path
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11323_DETRAN.pdf;empenho_11323_DETRAN.pdf;SPCF_EXTRACAO;TA;0.85;NE;11323;DETRAN;2019-02-25;70633;1;path
