contrato_suspeito;qtd;nomes_novos
011.2016;48;NE-2018-00257_CT-011.2016-SUSPEITO_Ordinario.pdf|NE-2019-00571_CT-011.2016-SUSPEITO_Ordinario.pdf|NE-2019-00245_CT-011.2016-SUSPEITO_Ordinario.pdf|NE-2020-00025_CT-011.2016-SUSPEITO_Ordinario.pdf|NE-2020-01094_CT-011.2016-SUSPEITO_Ordinario.pdf
028.2012;36;NE-2018-00264_CT-028.2012-SUSPEITO_Ordinario.pdf|NE-2015-00875_CT-028.2012-SUSPEITO_Ordinario.pdf|NE-2015-00994_CT-028.2012-SUSPEITO_Ordinario.pdf|NE-2015-00996_CT-028.2012-SUSPEITO_Ordinario.pdf|NE-2016-00427_CT-028.2012-SUSPEITO_Ordinario.pdf
023.2014;36;NE-2018-00256_CT-023.2014-SUSPEITO_Ordinario.pdf|NE-2019-00024_CT-023.2014-SUSPEITO_Ordinario.pdf|NE-2018-01377_CT-023.2014-SUSPEITO_Ordinario.pdf|NE-2015-00874_CT-023.2014-SUSPEITO_Ordinario.pdf|NE-2016-00429_CT-023.2014-SUSPEITO_Ordinario.pdf
005.2016;20;NE-2019-00225_CT-005.2016-SUSPEITO_Ordinario.pdf|NE-2020-00010_CT-005.2016-SUSPEITO_Ordinario.pdf|NE-2020-00006_CT-005.2016-SUSPEITO_Ordinario.pdf|NE-2020-00013_CT-005.2016-SUSPEITO_Ordinario.pdf|NE-2021-0000801_CT-005.2016-SUSPEITO_Ordinario.pdf
008.2021;18;NE-2021-0000802_CT-008.2021-SUSPEITO_Ordinario.pdf|NE-2022-0000027_CT-008.2021-SUSPEITO_Ordinario.pdf|NE-2022-0001031_CT-008.2021-SUSPEITO_Ordinario.pdf|NE-2022-0001731_CT-008.2021-SUSPEITO_Ordinario.pdf|NE-2023-0001078_CT-008.2021-SUSPEITO_Ordinario.pdf
001.2011;10;NE-2015-00090_CT-001.2011-SUSPEITO_Ordinario.pdf|NE-2015-00627_CT-001.2011-SUSPEITO_Ordinario.pdf|NE-2015-00055_CT-001.2011-SUSPEITO_Ordinario.pdf|NE-2016-00501_CT-001.2011-SUSPEITO_Ordinario.pdf|NE-2016-00390_CT-001.2011-SUSPEITO_Ordinario.pdf
078.2022;10;NE-2023-0001722_CT-078.2022-SUSPEITO_Ordinario.pdf|NE-2023-0001722_CT-078.2022-SUSPEITO_Ordinario.pdf|NE-2022-0001911_CT-078.2022-SUSPEITO_Ordinario.pdf|NE-2022-0001911_CT-078.2022-SUSPEITO_Ordinario_dup-02.pdf|NE-2023-0000004_CT-078.2022-SUSPEITO_Ordinario.pdf
014.2019;6;NE-2020-00055_CT-014.2019-SUSPEITO_Ordinario.pdf|NE-2019-01393_CT-014.2019-SUSPEITO_Ordinario.pdf|NE-2020-00679_CT-014.2019-SUSPEITO_Ordinario.pdf|NE-2020-00055_CT-014.2019-SUSPEITO_Ordinario.pdf|NE-2019-01393_CT-014.2019-SUSPEITO_Ordinario.pdf
027.201;6;NE-2016-00686_CT-027.201-SUSPEITO_Ordinario.pdf|NE-2016-00686_CT-027.201-SUSPEITO_Ordinario_dup-02.pdf|NE-2016-00686_CT-027.201-SUSPEITO_Ordinario.pdf|NE-2016-00686_CT-027.201-SUSPEITO_Ordinario_dup-02.pdf|NE-2016-00686_CT-027.201-SUSPEITO_Cobertura-Financeira.pdf
026.2014;4;NE-2015-00760_CT-026.2014-SUSPEITO_Ordinario.pdf|NE-2015-00547_CT-026.2014-SUSPEITO_Ordinario.pdf|NE-2015-00760_CT-026.2014-SUSPEITO_Ordinario.pdf|NE-2015-00547_CT-026.2014-SUSPEITO_Ordinario.pdf
017.2016;4;NE-2017-00524_CT-017.2016-SUSPEITO_Ordinario.pdf|NE-2018-00249_CT-017.2016-SUSPEITO_Ordinario.pdf|NE-2017-00524_CT-017.2016-SUSPEITO_Ordinario.pdf|NE-2018-00249_CT-017.2016-SUSPEITO_Ordinario.pdf
001.2016;2;NE-2019-00029_CT-001.2016-SUSPEITO_Ordinario.pdf|NE-2019-00029_CT-001.2016-SUSPEITO_Ordinario.pdf
001.2015;2;NE-2018-01393_CT-001.2015-SUSPEITO_Ordinario.pdf|NE-2018-01393_CT-001.2015-SUSPEITO_Ordinario.pdf
022.201;2;NE-2019-01391_CT-022.201-SUSPEITO_Ordinario.pdf|NE-2019-01391_CT-022.201-SUSPEITO_Ordinario.pdf
021.2014;2;NE-2015-00759_CT-021.2014-SUSPEITO_Ordinario.pdf|NE-2015-00759_CT-021.2014-SUSPEITO_Ordinario.pdf
001.2001;2;NE-2015-00089_CT-001.2001-SUSPEITO_Ordinario.pdf|NE-2015-00089_CT-001.2001-SUSPEITO_Ordinario.pdf
024.2014;2;NE-2016-00314_CT-024.2014-SUSPEITO_Ordinario.pdf|NE-2016-00314_CT-024.2014-SUSPEITO_Ordinario.pdf
002.2017;2;NE-2020-00057_CT-002.2017-SUSPEITO_Ordinario.pdf|NE-2020-00057_CT-002.2017-SUSPEITO_Ordinario.pdf
790.2018;2;NE-2018-00790_CT-790.2018-SUSPEITO_Cobertura-Financeira.pdf|NE-2018-00790_CT-790.2018-SUSPEITO_Cobertura-Financeira_dup-02.pdf
