caminho_original;nome_original;nome_canonico;tipo_hint_path;tipo_final;contrato;numero;objeto;fora_escopo;confianca;tem_texto;tem_texto_util;len_texto;sha256;tamanho_bytes;raiz;status
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10001_DETRAN.pdf;empenho_10001_DETRAN.pdf;NE-2018-00264_CT-028.2012-SUSPEITO_Ordinario.pdf;NE;NE;028/2012;2018NE00264;Ordinario;0;1.00;1;1;1957;6e42313a1fe675b5d3bfd692067af33ebeee4a78912729eac642aebca58d2f9c;72253;SPCF_EXTRACAO;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10659_DETRAN.pdf;empenho_10659_DETRAN.pdf;NE-2018-01131_CT-indefinido_Ordinario.pdf;NE;NE;;2018NE01131;Ordinario;1;0.70;1;1;1802;aafd40a30c3f78934f915f6a66878d74c73ee96ff86819f9146180e8016be3ee;70484;SPCF_EXTRACAO;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10012_DETRAN.pdf;empenho_10012_DETRAN.pdf;NE-2018-00263_CT-022.2014_Ordinario.pdf;NE;NE;022/2014;2018NE00263;Ordinario;0;1.00;1;1;1963;d4810424c0cfddb25d265ddb6f7e2dea45aeaf1bb59d4fe82992f712440c2e1e;72715;SPCF_EXTRACAO;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10022_DETRAN.pdf;empenho_10022_DETRAN.pdf;NE-2018-00256_CT-023.2014-SUSPEITO_Ordinario.pdf;NE;NE;023/2014;2018NE00256;Ordinario;0;1.00;1;1;1941;fd57273b87c0f340fda4b99d2ada5512b2e19ced187db13fe2965281d3007f5f;71431;SPCF_EXTRACAO;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10000_DETRAN.pdf;empenho_10000_DETRAN.pdf;NE-2018-00258_CT-indefinido_Ordinario.pdf;NE;NE;;2018NE00258;Ordinario;1;0.70;1;1;2019;65a4a5f4921a93c5c5bb5be5b3e6f5d4cac19393b09f96073390fee86a0c81b5;73013;SPCF_EXTRACAO;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10009_DETRAN.pdf;empenho_10009_DETRAN.pdf;NE-2018-00257_CT-011.2016-SUSPEITO_Ordinario.pdf;NE;NE;011/2016;2018NE00257;Ordinario;0;1.00;1;1;2009;ae3ba5a4801197575eb15c39060b24e05ba7fc2e00d0289d4153238634fc51fe;71666;SPCF_EXTRACAO;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10664_DETRAN.pdf;empenho_10664_DETRAN.pdf;NE-2018-01128_CT-indefinido_Ordinario.pdf;NE;NE;;2018NE01128;Ordinario;1;0.70;1;1;1801;aa0511e6b7d5ac31a29015e3039d11dcfc1682a92fa6f3e21ed0e7cd1fcdee89;70475;SPCF_EXTRACAO;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10014_DETRAN.pdf;empenho_10014_DETRAN.pdf;NE-2018-00261_CT-027.2014_Ordinario.pdf;NE;NE;027/2014;2018NE00261;Ordinario;0;1.00;1;1;2022;3cba11e4c2dcebd92f6d96d317da61dd577a3b1a6b8a086614d008e583989b5c;71224;SPCF_EXTRACAO;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10952_DETRAN.pdf;empenho_10952_DETRAN.pdf;NE-2019-00018_CT-025.2014_Ordinario.pdf;NE;NE;025/2014;2019NE00018;Ordinario;0;1.00;1;1;1993;76bb214478bad57b6c96ded9b47e308f68713f0e307bf0e8709a83b2899b5b57;70796;SPCF_EXTRACAO;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10663_DETRAN.pdf;empenho_10663_DETRAN.pdf;NE-2018-01127_CT-indefinido_Ordinario.pdf;NE;NE;;2018NE01127;Ordinario;1;0.70;1;1;1802;a9b7e49f29b084b4cb7e8ae266e907dddbf303daeb00660aec0da046df13ee3a;70645;SPCF_EXTRACAO;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10969_DETRAN.pdf;empenho_10969_DETRAN.pdf;NE-2019-00025_CT-indefinido_Ordinario.pdf;NE;NE;;2019NE00025;Ordinario;1;0.70;1;1;1944;0c5a30ee74113ceeec60467ef656ddf86a11739b2c933902251b6df36025dbfa;70498;SPCF_EXTRACAO;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10975_DETRAN.pdf;empenho_10975_DETRAN.pdf;NE-2019-00026_CT-004.2016_Ordinario.pdf;NE;NE;004/2016;2019NE00026;Ordinario;0;1.00;1;1;2095;af35b31cea9b332583170d8a4b2357f2828d28cb13800411bd9929555f71a28f;71353;SPCF_EXTRACAO;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10665_DETRAN.pdf;empenho_10665_DETRAN.pdf;NE-2018-01129_CT-017.2015_Ordinario.pdf;NE;NE;017/2015;2018NE01129;Ordinario;0;1.00;1;1;1803;d4e44269be4cf2e8ae397fcb7699227015a8a825323466c86d48b00cdc00a5fb;70660;SPCF_EXTRACAO;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10996_DETRAN.pdf;empenho_10996_DETRAN.pdf;NE-2019-00031_CT-027.2014_Ordinario.pdf;NE;NE;027/2014;2019NE00031;Ordinario;0;1.00;1;1;2029;c69821fadbe336e3680d709b592d64ce6b82162d9a3b379f0e353fc93dc90cac;71313;SPCF_EXTRACAO;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10978_DETRAN.pdf;empenho_10978_DETRAN.pdf;NE-2019-00024_CT-023.2014-SUSPEITO_Ordinario.pdf;NE;NE;023/2014;2019NE00024;Ordinario;0;1.00;1;1;2100;0cf7aa33f7413e7f20588360efd7a34ae9bf306f697b00692c77a0c062ad0a3c;71855;SPCF_EXTRACAO;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10960_DETRAN.pdf;empenho_10960_DETRAN.pdf;NE-2019-00019_CT-indefinido_Ordinario.pdf;NE;NE;;2019NE00019;Ordinario;1;0.70;1;1;2082;f81078fce1cfa2442a85f0ab84fda2e7b4dd0bcb65953c4f2f9c4141248d3691;71847;SPCF_EXTRACAO;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10661_DETRAN.pdf;empenho_10661_DETRAN.pdf;NE-2018-01130_CT-indefinido_Ordinario.pdf;NE;NE;;2018NE01130;Ordinario;1;0.70;1;1;1807;39514861b008a60d1bc884028551b5f4039e8e434dca4899e00c8e20a6acaa5c;70649;SPCF_EXTRACAO;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10970_DETRAN.pdf;empenho_10970_DETRAN.pdf;NE-2019-00029_CT-001.2016-SUSPEITO_Ordinario.pdf;NE;NE;001/2016;2019NE00029;Ordinario;0;1.00;1;1;2015;dcdb12b32f185caca37a5c34dcccf1d4d33fcbab4744d5e174e3f3ca04034909;71500;SPCF_EXTRACAO;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10993_DETRAN.pdf;empenho_10993_DETRAN.pdf;NE-2019-00030_CT-017.2015_Ordinario.pdf;NE;NE;017/2015;2019NE00030;Ordinario;0;1.00;1;1;2081;5eba14f743ef79fa5e3d65f78bf4d2dd2840734e53ee93274fcf375ef005824b;74394;SPCF_EXTRACAO;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11011_DETRAN.pdf;empenho_11011_DETRAN.pdf;NE-2019-00036_CT-004.2016_Ordinario.pdf;NE;NE;004/2016;2019NE00036;Ordinario;0;1.00;1;1;1818;bf75e18064c1d37b089a0572d16bc7aeff1101b986ba6c674ac3b04923b1b030;69905;SPCF_EXTRACAO;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11064_DETRAN.pdf;empenho_11064_DETRAN.pdf;NE-2018-01398_CT-indefinido_Ordinario.pdf;NE;NE;;2018NE01398;Ordinario;1;0.70;1;1;1794;108b28b16ab6607dd98d482e3d2f67dc4030d9ea9321467f7094b100438312e4;70307;SPCF_EXTRACAO;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11015_DETRAN.pdf;empenho_11015_DETRAN.pdf;NE-2019-00037_CT-004.2016_Ordinario.pdf;NE;NE;004/2016;2019NE00037;Ordinario;0;1.00;1;1;2096;f1b4975e3437c2dc966c9e2e1c8cade3c871a16896971ea2ad1db5334deb441d;71349;SPCF_EXTRACAO;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11074_DETRAN.pdf;empenho_11074_DETRAN.pdf;NE-2018-01378_CT-027.2014_Ordinario.pdf;NE;NE;027/2014;2018NE01378;Ordinario;0;1.00;1;1;1833;8638bcdc6ed7ce1a5d857797a5bd59d044b62942c4778dc9a444e29572145e8f;70380;SPCF_EXTRACAO;OK
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_11323_DETRAN.pdf;empenho_11323_DETRAN.pdf;NE-2019-00139_CT-022.2014_Ordinario.pdf;NE;NE;022/2014;2019NE00139;Ordinario;0;1.00;1;1;2016;b3db2e040ed06ad16e57656e641fa99001e65fefe6eef48502f69e71332e9b4e;70633;SPCF_EXTRACAO;OK
