caminho;nome;raiz;tipo;numero;orgao;cnpj;data;valor;confianca
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10659_DETRAN.pdf;empenho_10659_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2018-11-05;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10012_DETRAN.pdf;empenho_10012_DETRAN.pdf;SPCF_EXTRACAO;TA;03/2018;DETRAN;;2018-03-26;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10022_DETRAN.pdf;empenho_10022_DETRAN.pdf;SPCF_EXTRACAO;TA;03/2018;DETRAN;;2018-03-26;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10001_DETRAN.pdf;empenho_10001_DETRAN.pdf;SPCF_EXTRACAO;TA;03/2018;DETRAN;;2018-03-26;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10009_DETRAN.pdf;empenho_10009_DETRAN.pdf;SPCF_EXTRACAO;TA;03/2018;DETRAN;;2018-03-26;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10000_DETRAN.pdf;empenho_10000_DETRAN.pdf;SPCF_EXTRACAO;TA;03/2018;DETRAN;;2018-03-26;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10014_DETRAN.pdf;empenho_10014_DETRAN.pdf;SPCF_EXTRACAO;TA;03/2018;DETRAN;;2018-03-26;;0.85
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10664_DETRAN.pdf;empenho_10664_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2018-11-05;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10663_DETRAN.pdf;empenho_10663_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;;DETRAN;;2018-11-05;;0.65
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10952_DETRAN.pdf;empenho_10952_DETRAN.pdf;SPCF_EXTRACAO;CONTRATO;025/2014;DETRAN;;2019-01-02;;0.85
