caminho;caminho_rel;raiz;nome;size_bytes;paginas;tem_texto;chars_p1;suspeito
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10001_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_10001_DETRAN.pdf;SPCF_EXTRACAO;empenho_10001_DETRAN.pdf;72253;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10012_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_10012_DETRAN.pdf;SPCF_EXTRACAO;empenho_10012_DETRAN.pdf;72715;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10022_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_10022_DETRAN.pdf;SPCF_EXTRACAO;empenho_10022_DETRAN.pdf;71431;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10659_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_10659_DETRAN.pdf;SPCF_EXTRACAO;empenho_10659_DETRAN.pdf;70484;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10009_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_10009_DETRAN.pdf;SPCF_EXTRACAO;empenho_10009_DETRAN.pdf;71666;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10000_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_10000_DETRAN.pdf;SPCF_EXTRACAO;empenho_10000_DETRAN.pdf;73013;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10014_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_10014_DETRAN.pdf;SPCF_EXTRACAO;empenho_10014_DETRAN.pdf;71224;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10664_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_10664_DETRAN.pdf;SPCF_EXTRACAO;empenho_10664_DETRAN.pdf;70475;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10952_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_10952_DETRAN.pdf;SPCF_EXTRACAO;empenho_10952_DETRAN.pdf;70796;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10969_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_10969_DETRAN.pdf;SPCF_EXTRACAO;empenho_10969_DETRAN.pdf;70498;2;1;1263;0
