caminho_atual;nome_atual;nome_limpo;caminho_novo;contrato;status_validacao;sha_antes;sha_depois;status;erro
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-00264_CT-028.2012-SUSPEITO_Ordinario.pdf;NE-2018-00264_CT-028.2012-SUSPEITO_Ordinario.pdf;NE-2018-00264_CT-028.2012_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-00264_CT-028.2012_Ordinario.pdf;028/2012;canonico;6e42313a1fe675b5d3bfd692067af33ebeee4a78912729eac642aebca58d2f9c;6e42313a1fe675b5d3bfd692067af33ebeee4a78912729eac642aebca58d2f9c;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-00256_CT-023.2014-SUSPEITO_Ordinario.pdf;NE-2018-00256_CT-023.2014-SUSPEITO_Ordinario.pdf;NE-2018-00256_CT-023.2014_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-00256_CT-023.2014_Ordinario.pdf;023/2014;canonico;fd57273b87c0f340fda4b99d2ada5512b2e19ced187db13fe2965281d3007f5f;fd57273b87c0f340fda4b99d2ada5512b2e19ced187db13fe2965281d3007f5f;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-00257_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2018-00257_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2018-00257_CT-011.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-00257_CT-011.2016_Ordinario.pdf;011/2016;canonico;ae3ba5a4801197575eb15c39060b24e05ba7fc2e00d0289d4153238634fc51fe;ae3ba5a4801197575eb15c39060b24e05ba7fc2e00d0289d4153238634fc51fe;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-00024_CT-023.2014-SUSPEITO_Ordinario.pdf;NE-2019-00024_CT-023.2014-SUSPEITO_Ordinario.pdf;NE-2019-00024_CT-023.2014_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-00024_CT-023.2014_Ordinario.pdf;023/2014;canonico;0cf7aa33f7413e7f20588360efd7a34ae9bf306f697b00692c77a0c062ad0a3c;0cf7aa33f7413e7f20588360efd7a34ae9bf306f697b00692c77a0c062ad0a3c;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-01377_CT-023.2014-SUSPEITO_Ordinario.pdf;NE-2018-01377_CT-023.2014-SUSPEITO_Ordinario.pdf;NE-2018-01377_CT-023.2014_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-01377_CT-023.2014_Ordinario.pdf;023/2014;canonico;29d521549bddf9698b6a9025e37687c47cdf7ba5aeb99499939f22483f403ed8;29d521549bddf9698b6a9025e37687c47cdf7ba5aeb99499939f22483f403ed8;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-00225_CT-005.2016-SUSPEITO_Ordinario.pdf;NE-2019-00225_CT-005.2016-SUSPEITO_Ordinario.pdf;NE-2019-00225_CT-005.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-00225_CT-005.2016_Ordinario.pdf;005/2016;canonico;95a2ebfe817e27432a2631e72d172e719db8801ae387b01bc0e77e2f2899e7c7;95a2ebfe817e27432a2631e72d172e719db8801ae387b01bc0e77e2f2899e7c7;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-00571_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2019-00571_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2019-00571_CT-011.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-00571_CT-011.2016_Ordinario.pdf;011/2016;canonico;095cc6a9a51c64b67da9fd730ce145bb3e81d75de3b6c8d41857bf43985366f7;095cc6a9a51c64b67da9fd730ce145bb3e81d75de3b6c8d41857bf43985366f7;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-00245_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2019-00245_CT-011.2016-SUSPEITO_Ordinario.pdf;NE-2019-00245_CT-011.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-00245_CT-011.2016_Ordinario.pdf;011/2016;canonico;78b7270be06c5070d8ccb157ac400bfdb6b843c2fb70d95e373377bc874d5dbe;78b7270be06c5070d8ccb157ac400bfdb6b843c2fb70d95e373377bc874d5dbe;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00010_CT-005.2016-SUSPEITO_Ordinario.pdf;NE-2020-00010_CT-005.2016-SUSPEITO_Ordinario.pdf;NE-2020-00010_CT-005.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00010_CT-005.2016_Ordinario.pdf;005/2016;canonico;e6ffd7d65b208657e8c686aa922570a0e153835f8a4f2bbfe57b1b851b71f2b9;e6ffd7d65b208657e8c686aa922570a0e153835f8a4f2bbfe57b1b851b71f2b9;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00006_CT-005.2016-SUSPEITO_Ordinario.pdf;NE-2020-00006_CT-005.2016-SUSPEITO_Ordinario.pdf;NE-2020-00006_CT-005.2016_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2020-00006_CT-005.2016_Ordinario.pdf;005/2016;canonico;86805ddf79a3f4d9bed347a5dfde35dc8b86b5442ba073aea4076220a951e287;86805ddf79a3f4d9bed347a5dfde35dc8b86b5442ba073aea4076220a951e287;OK;
