caminho_original;nome_original;nome_proposto;raiz;tipo_reclass;tipo_original;mudou_tipo;numero;orgao;data
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10659_DETRAN.pdf;empenho_10659_DETRAN.pdf;NE-2018-ID10659_DETRAN_2018-11-05_193c78.pdf;SPCF_EXTRACAO;NE;CONTRATO;1;10659;DETRAN;2018-11-05
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10012_DETRAN.pdf;empenho_10012_DETRAN.pdf;NE-2018-ID10012_DETRAN_2018-03-26_b4e0bc.pdf;SPCF_EXTRACAO;NE;TA;1;10012;DETRAN;2018-03-26
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10022_DETRAN.pdf;empenho_10022_DETRAN.pdf;NE-2018-ID10022_DETRAN_2018-03-26_209fd6.pdf;SPCF_EXTRACAO;NE;TA;1;10022;DETRAN;2018-03-26
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10001_DETRAN.pdf;empenho_10001_DETRAN.pdf;NE-2018-ID10001_DETRAN_2018-03-26_ca7afb.pdf;SPCF_EXTRACAO;NE;TA;1;10001;DETRAN;2018-03-26
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10009_DETRAN.pdf;empenho_10009_DETRAN.pdf;NE-2018-ID10009_DETRAN_2018-03-26_2c480e.pdf;SPCF_EXTRACAO;NE;TA;1;10009;DETRAN;2018-03-26
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10000_DETRAN.pdf;empenho_10000_DETRAN.pdf;NE-2018-ID10000_DETRAN_2018-03-26_6bf733.pdf;SPCF_EXTRACAO;NE;TA;1;10000;DETRAN;2018-03-26
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10014_DETRAN.pdf;empenho_10014_DETRAN.pdf;NE-2018-ID10014_DETRAN_2018-03-26_341fc7.pdf;SPCF_EXTRACAO;NE;TA;1;10014;DETRAN;2018-03-26
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10664_DETRAN.pdf;empenho_10664_DETRAN.pdf;NE-2018-ID10664_DETRAN_2018-11-05_5ab128.pdf;SPCF_EXTRACAO;NE;CONTRATO;1;10664;DETRAN;2018-11-05
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10663_DETRAN.pdf;empenho_10663_DETRAN.pdf;NE-2018-ID10663_DETRAN_2018-11-05_129604.pdf;SPCF_EXTRACAO;NE;CONTRATO;1;10663;DETRAN;2018-11-05
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10952_DETRAN.pdf;empenho_10952_DETRAN.pdf;NE-2019-ID10952_DETRAN_2019-01-02_97592c.pdf;SPCF_EXTRACAO;NE;CONTRATO;1;10952;DETRAN;2019-01-02
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10969_DETRAN.pdf;empenho_10969_DETRAN.pdf;NE-2019-ID10969_DETRAN_2019-01-02_518dcc.pdf;SPCF_EXTRACAO;NE;CONTRATO;1;10969;DETRAN;2019-01-02
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10975_DETRAN.pdf;empenho_10975_DETRAN.pdf;NE-2019-ID10975_DETRAN_2019-01-02_a30ba8.pdf;SPCF_EXTRACAO;NE;CONTRATO;1;10975;DETRAN;2019-01-02
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10960_DETRAN.pdf;empenho_10960_DETRAN.pdf;NE-2019-ID10960_DETRAN_2019-01-02_ba7e4f.pdf;SPCF_EXTRACAO;NE;CONTRATO;1;10960;DETRAN;2019-01-02
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10665_DETRAN.pdf;empenho_10665_DETRAN.pdf;NE-2018-ID10665_DETRAN_2018-11-05_d746d7.pdf;SPCF_EXTRACAO;NE;CONTRATO;1;10665;DETRAN;2018-11-05
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10996_DETRAN.pdf;empenho_10996_DETRAN.pdf;NE-2019-ID10996_DETRAN_2019-01-02_448adf.pdf;SPCF_EXTRACAO;NE;CONTRATO;1;10996;DETRAN;2019-01-02
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10661_DETRAN.pdf;empenho_10661_DETRAN.pdf;NE-2018-ID10661_DETRAN_2018-11-05_72186d.pdf;SPCF_EXTRACAO;NE;CONTRATO;1;10661;DETRAN;2018-11-05
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10970_DETRAN.pdf;empenho_10970_DETRAN.pdf;NE-2019-ID10970_DETRAN_2019-01-02_18de9f.pdf;SPCF_EXTRACAO;NE;CONTRATO;1;10970;DETRAN;2019-01-02
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10978_DETRAN.pdf;empenho_10978_DETRAN.pdf;NE-2019-ID10978_DETRAN_2019-01-02_211568.pdf;SPCF_EXTRACAO;NE;CONTRATO;1;10978;DETRAN;2019-01-02
