caminho_original;nome_original;nome_novo;caminho_novo;sha256_antes;sha256_depois;tipo_final;status;erro
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10001_DETRAN.pdf;empenho_10001_DETRAN.pdf;NE-2018-00264_CT-028.2012-SUSPEITO_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-00264_CT-028.2012-SUSPEITO_Ordinario.pdf;6e42313a1fe675b5d3bfd692067af33ebeee4a78912729eac642aebca58d2f9c;6e42313a1fe675b5d3bfd692067af33ebeee4a78912729eac642aebca58d2f9c;NE;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10022_DETRAN.pdf;empenho_10022_DETRAN.pdf;NE-2018-00256_CT-023.2014-SUSPEITO_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-00256_CT-023.2014-SUSPEITO_Ordinario.pdf;fd57273b87c0f340fda4b99d2ada5512b2e19ced187db13fe2965281d3007f5f;fd57273b87c0f340fda4b99d2ada5512b2e19ced187db13fe2965281d3007f5f;NE;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10659_DETRAN.pdf;empenho_10659_DETRAN.pdf;NE-2018-01131_CT-indefinido_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-01131_CT-indefinido_Ordinario.pdf;aafd40a30c3f78934f915f6a66878d74c73ee96ff86819f9146180e8016be3ee;aafd40a30c3f78934f915f6a66878d74c73ee96ff86819f9146180e8016be3ee;NE;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10012_DETRAN.pdf;empenho_10012_DETRAN.pdf;NE-2018-00263_CT-022.2014_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-00263_CT-022.2014_Ordinario.pdf;d4810424c0cfddb25d265ddb6f7e2dea45aeaf1bb59d4fe82992f712440c2e1e;d4810424c0cfddb25d265ddb6f7e2dea45aeaf1bb59d4fe82992f712440c2e1e;NE;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10000_DETRAN.pdf;empenho_10000_DETRAN.pdf;NE-2018-00258_CT-indefinido_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-00258_CT-indefinido_Ordinario.pdf;65a4a5f4921a93c5c5bb5be5b3e6f5d4cac19393b09f96073390fee86a0c81b5;65a4a5f4921a93c5c5bb5be5b3e6f5d4cac19393b09f96073390fee86a0c81b5;NE;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10009_DETRAN.pdf;empenho_10009_DETRAN.pdf;NE-2018-00257_CT-011.2016-SUSPEITO_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-00257_CT-011.2016-SUSPEITO_Ordinario.pdf;ae3ba5a4801197575eb15c39060b24e05ba7fc2e00d0289d4153238634fc51fe;ae3ba5a4801197575eb15c39060b24e05ba7fc2e00d0289d4153238634fc51fe;NE;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10664_DETRAN.pdf;empenho_10664_DETRAN.pdf;NE-2018-01128_CT-indefinido_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-01128_CT-indefinido_Ordinario.pdf;aa0511e6b7d5ac31a29015e3039d11dcfc1682a92fa6f3e21ed0e7cd1fcdee89;aa0511e6b7d5ac31a29015e3039d11dcfc1682a92fa6f3e21ed0e7cd1fcdee89;NE;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10014_DETRAN.pdf;empenho_10014_DETRAN.pdf;NE-2018-00261_CT-027.2014_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-00261_CT-027.2014_Ordinario.pdf;3cba11e4c2dcebd92f6d96d317da61dd577a3b1a6b8a086614d008e583989b5c;3cba11e4c2dcebd92f6d96d317da61dd577a3b1a6b8a086614d008e583989b5c;NE;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10952_DETRAN.pdf;empenho_10952_DETRAN.pdf;NE-2019-00018_CT-025.2014_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2019-00018_CT-025.2014_Ordinario.pdf;76bb214478bad57b6c96ded9b47e308f68713f0e307bf0e8709a83b2899b5b57;76bb214478bad57b6c96ded9b47e308f68713f0e307bf0e8709a83b2899b5b57;NE;OK;
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_10663_DETRAN.pdf;empenho_10663_DETRAN.pdf;NE-2018-01127_CT-indefinido_Ordinario.pdf;C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\NE-2018-01127_CT-indefinido_Ordinario.pdf;a9b7e49f29b084b4cb7e8ae266e907dddbf303daeb00660aec0da046df13ee3a;a9b7e49f29b084b4cb7e8ae266e907dddbf303daeb00660aec0da046df13ee3a;NE;OK;
