id;fontes;contrato;comp;emissao;venc_est;valor;situacao;prescrita;exigivel;tem_db;empenhos_qtd
88373;ABERTO+DB;081/2010;05/2015;02/06/2015;2015-07-02;104884,80;Suspenso;SIM;NAO;SIM;14
88593;ABERTO+DB;081/2010;06/2015;25/06/2015;2015-07-25;104884,80;Suspenso;SIM;NAO;SIM;14
89871;ABERTO+DB;116/2013;09/2015;28/09/2015;2015-10-28;56764,21;Suspenso;SIM;NAO;SIM;20
89900;ABERTO+DB;081/2010;09/2015;29/09/2015;2015-10-29;104884,80;Suspenso;SIM;NAO;SIM;14
90291;ABERTO+DB;116/2013;10/2015;27/10/2015;2015-11-26;56764,21;Suspenso;SIM;NAO;SIM;20
90389;ABERTO+DB;081/2010;10/2015;29/10/2015;2015-11-28;104884,80;Suspenso;SIM;NAO;SIM;14
90648;ABERTO+DB;002/2015;11/2015;25/11/2015;2015-12-25;21011,68;Suspenso;SIM;NAO;SIM;137
90644;ABERTO+DB;116/2013;11/2015;25/11/2015;2015-12-25;38949,96;Suspenso;SIM;NAO;SIM;20
90643;ABERTO+DB;116/2013;11/2015;25/11/2015;2015-12-25;56764,21;Suspenso;SIM;NAO;SIM;20
91122;ABERTO+DB;116/2013;12/2015;28/12/2015;2016-01-27;38949,96;Suspenso;SIM;NAO;SIM;20
91127;ABERTO+DB;002/2015;12/2015;28/12/2015;2016-01-27;21011,68;Suspenso;SIM;NAO;SIM;137
93732;ABERTO+DB;024/2016;07/2016;29/07/2016;2016-08-28;238723,03;Suspenso;SIM;NAO;SIM;14
93733;ABERTO+DB;024/2016;07/2016;29/07/2016;2016-08-28;57575,19;Suspenso;SIM;NAO;SIM;14
94457;ABERTO+DB;116/2013;09/2016;30/09/2016;2016-10-30;56764,21;Suspenso;SIM;NAO;SIM;20
94453;ABERTO+DB;116/2013;08/2016;30/09/2016;2016-10-30;56764,21;Suspenso;SIM;NAO;SIM;20
94455;ABERTO+DB;116/2013;08/2016;30/09/2016;2016-10-30;58301,61;Suspenso;SIM;NAO;SIM;20
94459;ABERTO+DB;116/2013;09/2016;30/09/2016;2016-10-30;58301,61;Suspenso;SIM;NAO;SIM;20
94458;ABERTO+DB;116/2013;09/2016;30/09/2016;2016-10-30;38949,96;Suspenso;SIM;NAO;SIM;20
94454;ABERTO+DB;116/2013;08/2016;30/09/2016;2016-10-30;38949,96;Suspenso;SIM;NAO;SIM;20
94827;ABERTO+DB;116/2013;10/2016;31/10/2016;2016-11-30;38949,96;Suspenso;SIM;NAO;SIM;20
94826;ABERTO+DB;116/2013;10/2016;31/10/2016;2016-11-30;56764,21;Suspenso;SIM;NAO;SIM;20
94828;ABERTO+DB;116/2013;10/2016;31/10/2016;2016-11-30;58301,61;Suspenso;SIM;NAO;SIM;20
95771;ABERTO+DB;248/2016;12/2016;29/12/2016;2017-01-28;38949,96;Suspenso;SIM;NAO;SIM;2
95773;ABERTO+DB;248/2016;11/2016;29/12/2016;2017-01-28;38949,96;Suspenso;SIM;NAO;SIM;2
95775;ABERTO+DB;248/2016;11/2016;29/12/2016;2017-01-28;58301,64;Suspenso;SIM;NAO;SIM;2
95789;ABERTO+DB;248/2016;12/2016;29/12/2016;2017-01-28;58301,64;Suspenso;SIM;NAO;SIM;2
96479;ABERTO+DB;248/2016;02/2017;22/02/2017;2017-03-24;58301,64;Suspenso;SIM;NAO;SIM;2
96478;ABERTO+DB;248/2016;02/2017;22/02/2017;2017-03-24;56764,21;Suspenso;SIM;NAO;SIM;2
96480;ABERTO+DB;248/2016;02/2017;22/02/2017;2017-03-24;38949,96;Suspenso;SIM;NAO;SIM;2
96575;ABERTO+DB;125/2016;02/2017;24/02/2017;2017-03-26;112899,15;Suspenso;SIM;NAO;SIM;2
96887;ABERTO+DB;248/2016;03/2017;28/03/2017;2017-04-27;58301,64;Suspenso;SIM;NAO;SIM;2
96953;ABERTO+DB;125/2016;03/2017;28/03/2017;2017-04-27;116763,54;Suspenso;SIM;NAO;SIM;2
96888;ABERTO+DB;248/2016;03/2017;28/03/2017;2017-04-27;38949,96;Suspenso;SIM;NAO;SIM;2
96886;ABERTO+DB;248/2016;03/2017;28/03/2017;2017-04-27;56764,21;Suspenso;SIM;NAO;SIM;2
97372;ABERTO+DB;125/2016;04/2017;26/04/2017;2017-05-26;87978,20;Suspenso;SIM;NAO;SIM;2
97369;ABERTO+DB;248/2016;04/2017;26/04/2017;2017-05-26;38949,96;Suspenso;SIM;NAO;SIM;2
97373;ABERTO+DB;125/2016;04/2017;26/04/2017;2017-05-26;22699,51;Suspenso;SIM;NAO;SIM;2
97370;ABERTO+DB;248/2016;04/2017;26/04/2017;2017-05-26;58301,64;Suspenso;SIM;NAO;SIM;2
97371;ABERTO+DB;248/2016;04/2017;26/04/2017;2017-05-26;56764,21;Suspenso;SIM;NAO;SIM;2
97942;ABERTO+DB;125/2016;05/2017;29/05/2017;2017-06-28;73266,06;Suspenso;SIM;NAO;SIM;2
97943;ABERTO+DB;248/2016;05/2017;29/05/2017;2017-06-28;56764,21;Suspenso;SIM;NAO;SIM;2
97944;ABERTO+DB;248/2016;05/2017;29/05/2017;2017-06-28;58301,64;Suspenso;SIM;NAO;SIM;2
97945;ABERTO+DB;248/2016;05/2017;29/05/2017;2017-06-28;38949,96;Suspenso;SIM;NAO;SIM;2
98320;ABERTO+DB;002/2015;06/2017;27/06/2017;2017-07-27;22858,60;Suspenso;SIM;NAO;SIM;137
98321;ABERTO+DB;002/2015;06/2017;27/06/2017;2017-07-27;120187,00;Suspenso;SIM;NAO;SIM;137
98319;ABERTO+DB;002/2015;06/2017;27/06/2017;2017-07-27;142812,78;Suspenso;SIM;NAO;SIM;137
98811;ABERTO+DB;002/2015;07/2017;28/07/2017;2017-08-27;84130,90;Suspenso;SIM;NAO;SIM;137
98746;ABERTO+DB;002/2015;07/2017;28/07/2017;2017-08-27;22858,60;Suspenso;SIM;NAO;SIM;137
98745;ABERTO+DB;002/2015;07/2017;28/07/2017;2017-08-27;142812,78;Suspenso;SIM;NAO;SIM;137
99269;ABERTO+DB;002/2015;08/2017;25/08/2017;2017-09-24;142812,78;Suspenso;SIM;NAO;SIM;137
99270;ABERTO+DB;002/2015;08/2017;25/08/2017;2017-09-24;22858,60;Suspenso;SIM;NAO;SIM;137
99271;ABERTO+DB;002/2015;08/2017;25/08/2017;2017-09-24;84130,90;Suspenso;SIM;NAO;SIM;137
99701;ABERTO+DB;002/2015;09/2017;25/09/2017;2017-10-25;142812,78;Suspenso;SIM;NAO;SIM;137
99703;ABERTO+DB;002/2015;09/2017;25/09/2017;2017-10-25;84130,90;Suspenso;SIM;NAO;SIM;137
99702;ABERTO+DB;002/2015;09/2017;25/09/2017;2017-10-25;22858,60;Suspenso;SIM;NAO;SIM;137
100205;ABERTO+DB;002/2015;10/2017;27/10/2017;2017-11-26;142812,78;Suspenso;SIM;NAO;SIM;137
100206;ABERTO+DB;002/2015;10/2017;27/10/2017;2017-11-26;22858,60;Suspenso;SIM;NAO;SIM;137
100207;ABERTO+DB;002/2015;10/2017;27/10/2017;2017-11-26;84130,90;Suspenso;SIM;NAO;SIM;137
100919;ABERTO+DB;002/2015;12/2017;05/12/2017;2018-01-04;142812,78;Suspenso;SIM;NAO;SIM;137
100920;ABERTO+DB;002/2015;12/2017;05/12/2017;2018-01-04;22858,60;Suspenso;SIM;NAO;SIM;137
100921;ABERTO+DB;002/2015;12/2017;05/12/2017;2018-01-04;120187,00;Suspenso;SIM;NAO;SIM;137
102109;ABERTO+DB;254/2017;02/2018;28/02/2018;2018-03-30;81848,55;Suspenso;SIM;NAO;SIM;1
122703;ABERTO+DB+GERAL;074/2021;01/2021;27/02/2021;2021-03-29;29001,42;Emitida;SIM;NAO;SIM;1
126765;ABERTO+DB+GERAL;074/2021;08/2021;31/08/2021;2021-09-30;139166,79;Emitida;NAO;SIM;SIM;4
126766;ABERTO+DB+GERAL;074/2021;08/2021;31/08/2021;2021-09-30;48637,50;Emitida;NAO;SIM;SIM;4
126768;ABERTO+DB+GERAL;074/2021;08/2021;31/08/2021;2021-09-30;32215,44;Emitida;NAO;SIM;SIM;4
127265;ABERTO+DB+GERAL;054/2018;09/2021;24/09/2021;2021-10-24;76101,17;Parc. Paga;NAO;SIM;SIM;61
137096;ABERTO+DB+GERAL;054/2018;11/2022;24/11/2022;2022-12-24;146012,35;Emitida;NAO;SIM;SIM;61
160750;ABERTO+DB+GERAL;018/2021;06/2025;26/06/2025;2025-07-26;49109,27;Emitida;NAO;SIM;SIM;150
160661;ABERTO+DB+GERAL;018/2021;06/2025;26/06/2025;2025-07-26;39664,57;Emitida;NAO;SIM;SIM;150
160614;ABERTO+DB+GERAL;018/2021;06/2025;26/06/2025;2025-07-26;9051,64;Emitida;NAO;SIM;SIM;150
160615;ABERTO+DB+GERAL;018/2021;06/2025;26/06/2025;2025-07-26;4856,38;Emitida;NAO;SIM;SIM;150
160660;ABERTO+DB+GERAL;018/2021;06/2025;26/06/2025;2025-07-26;10838,74;Emitida;NAO;SIM;SIM;150
