devedor,arquivos_consolidado,cobertura_consolidado_pct,dossie_existe,dossie_cobertura_pct
ADAF,56,33.3,True,100.0
ADS,48,22.2,True,100.0
ALEAM,13,22.2,True,100.0
AMAZONASTUR,26,22.2,True,100.0
AMAZONPREV,53,55.6,True,100.0
ANOREG,18,11.1,True,100.0
ARSEPAM,65,44.4,True,100.0
ASSOC_SAUDE,6,11.1,True,100.0
B23,3,11.1,True,100.0
BANCO_BMG,10,11.1,True,100.0
BANCO_MASTER,50,11.1,True,100.0
BANCO_SAFRA,5,11.1,True,100.0
BANCO_SICOOB,19,11.1,True,100.0
BMC,6,11.1,True,100.0
CAIXA,59,11.1,True,100.0
CASA_CIVIL,36,33.3,True,100.0
CASA_MILITAR,2,11.1,True,100.0
CBMAM,39,44.4,True,100.0
CETAM,27,22.2,True,100.0
CGE,14,22.2,True,100.0
CIAMA,7,11.1,True,100.0
COSAMA,25,22.2,True,100.0
CPA,10,22.2,True,100.0
DEFESA_CIVIL,7,11.1,True,100.0
DETRAN,455,88.9,True,100.0
DPE,16,22.2,True,100.0
EASYTECH,13,22.2,True,100.0
FAAR,139,55.6,True,100.0
FAPEAM,5,11.1,True,100.0
FCECON,65,22.2,True,100.0
FENIXSOFT,14,11.1,True,100.0
FEPIAM,33,22.2,True,100.0
FHAJ,74,22.2,True,100.0
FHEMOAM,36,44.4,True,100.0
FMT,52,22.2,True,100.0
FUAM,20,11.1,True,100.0
FUHAM,30,22.2,True,100.0
FUNTEA,21,33.3,True,100.0
FVS,43,33.3,True,100.0
IDAM,42,55.6,True,100.0
IKM,19,11.1,True,100.0
IMPRENSA_OFICIAL,18,11.1,True,100.0
IPAAM,83,66.7,True,100.0
ITRANSITO,12,22.2,True,100.0
JUCEA,16,11.1,True,100.0
ODONTOMED,15,11.1,True,100.0
PGE,50,22.2,True,100.0
PGJ,11,22.2,True,100.0
PMAM,36,44.4,True,100.0
POLICIA_CIVIL,85,44.4,True,100.0
PROCON,27,22.2,True,100.0
PROVER,46,11.1,True,100.0
PSA,1,11.1,True,100.0
SEAD,110,22.2,True,100.0
SEAS,44,33.3,True,100.0
SEC,87,33.3,True,100.0
SECOM,15,22.2,True,100.0
SECT,62,44.4,True,100.0
SEDECTI,161,55.6,True,100.0
SEDEL,19,11.1,True,100.0
SEDUC,113,44.4,True,100.0
SEDURB,7,11.1,True,100.0
SEFAZ,30,33.3,True,100.0
SEINFRA,36,22.2,True,100.0
SEJUSC,85,44.4,True,100.0
SEMA,48,44.4,True,100.0
SEMIG,14,44.4,True,100.0
SEPA,63,22.2,True,100.0
SEPROR,34,22.2,True,100.0
SES,151,44.4,True,100.0
SNPH,53,44.4,True,100.0
SSP,337,33.3,True,100.0
SUBCOMADEC,5,11.1,True,100.0
SUHAB,49,44.4,True,100.0
SUL_AMERICA,19,11.1,True,100.0
TCE,64,22.2,True,100.0
UEA,31,22.2,True,100.0
UGPE,27,11.1,True,100.0
