sigla,categoria,forca,val_exig,val_atualizado,proximo_passo,fat_exig,fat_presc,urg_presc,d_plus,p_rec
SES/SUSAM,GOV_DIRETA,FORTE,14748048.96,43921619.17,ENVIAR_TRD,144,180,MEDIA,34,0.75
SSP,GOV_DIRETA,FORTE,4553230.80,29034062.63,PROTOCOLAR_PETICAO,81,115,PRESCRITA,-39,0.93
DETRAN,GOV_INDIRETA,FORTE,0.00,0.00,PROTOCOLAR_PETICAO,179,54,PROTEGIDA_ART202_VI,730,0.95
SEDUC,GOV_DIRETA,FORTE,49215512.48,50263263.56,ANALISAR_DOCUMENTACAO,76,8,PRESCRITA,-20,0.7
SEAD,GOV_DIRETA,FORTE,2339702.20,4296278.76,ENVIAR_TRD,25,44,PRESCRITA,-20,0.7
SEJUSC,GOV_DIRETA,MÉDIA,2589660.12,5262537.82,ANALISAR_DOCUMENTACAO,65,100,PRESCRITA,-20,0.4
FUAM/FUHAM,GOV_INDIRETA,FORTE,44020.01,356355.07,PROTOCOLAR_PETICAO,22,53,PRESCRITA,-20,0.78
POLÍCIA CIVIL,GOV_DIRETA,MÉDIA,960481.71,1908089.75,ANALISAR_DOCUMENTACAO,32,24,PRESCRITA,-20,0.37
SEC,GOV_DIRETA,FORTE,99050.71,248155.42,ANALISAR_DOCUMENTACAO,11,12,PRESCRITA,-20,0.65
SEINFRA,GOV_DIRETA,MÉDIA,379631.55,379631.55,ENVIAR_TRD,38,0,NORMAL,267,0.45
FAAR/SEDEL,GOV_INDIRETA,FRACA,734498.94,1472879.25,ANALISAR_DOCUMENTACAO,113,108,PRESCRITA,-20,0.3
IPAAM,GOV_INDIRETA,MÉDIA,652339.89,652339.89,ENVIAR_TRD,58,0,NORMAL,267,0.52
FMT,GOV_INDIRETA,MÉDIA,272130.68,693107.38,ENVIAR_TRD,41,42,PRESCRITA,-20,0.55
SEDECTI,GOV_DIRETA,MÉDIA,1249203.13,4007244.35,ANALISAR_DOCUMENTACAO,52,176,PRESCRITA,-20,0.32
CBMAM,GOV_DIRETA,FORTE,3134.03,71483.16,ENVIAR_TRD,4,20,PRESCRITA,-20,0.62
SEAS,GOV_DIRETA,FORTE,651041.09,651041.09,PROTOCOLAR_PETICAO,63,0,NORMAL,267,0.78
FHAJ,GOV_INDIRETA,FORTE,259910.78,493519.13,PROTOCOLAR_PETICAO,34,41,PRESCRITA,-20,0.83
